,Provider ID,City,State,ZIP Code,County Name,Measure,Score,Compared to National
0,30007,COTTONWOOD,AZ,86326,YAVAPAI,Central Line Associated Blood Stream Infections (CLABSI),,
1,30010,TUCSON,AZ,85745,PIMA,Central Line Associated Blood Stream Infections (CLABSI),0.49,0.0
2,30011,TUCSON,AZ,85711,PIMA,Central Line Associated Blood Stream Infections (CLABSI),0.23,1.0
3,30012,PRESCOTT,AZ,86301,YAVAPAI,Central Line Associated Blood Stream Infections (CLABSI),1.13,0.0
4,30013,YUMA,AZ,85364,YUMA,Central Line Associated Blood Stream Infections (CLABSI),0.0,1.0
5,30014,PHOENIX,AZ,85020,MARICOPA,Central Line Associated Blood Stream Infections (CLABSI),1.11,0.0
6,30016,CASA GRANDE,AZ,85222,PINAL,Central Line Associated Blood Stream Infections (CLABSI),0.65,0.0
7,30022,PHOENIX,AZ,85008,MARICOPA,Central Line Associated Blood Stream Infections (CLABSI),1.65,-1.0
8,30023,FLAGSTAFF,AZ,86001,COCONINO,Central Line Associated Blood Stream Infections (CLABSI),0.29,0.0
9,30024,PHOENIX,AZ,85013,MARICOPA,Central Line Associated Blood Stream Infections (CLABSI),0.74,0.0
10,30030,PHOENIX,AZ,85015,MARICOPA,Central Line Associated Blood Stream Infections (CLABSI),0.79,0.0
11,30033,PAYSON,AZ,85541,GILA,Central Line Associated Blood Stream Infections (CLABSI),,
12,30036,CHANDLER,AZ,85224,MARICOPA,Central Line Associated Blood Stream Infections (CLABSI),0.79,0.0
13,30037,PHOENIX,AZ,85006,MARICOPA,Central Line Associated Blood Stream Infections (CLABSI),1.25,0.0
14,30038,SCOTTSDALE,AZ,85251,MARICOPA,Central Line Associated Blood Stream Infections (CLABSI),0.08,1.0
15,30043,SIERRA VISTA,AZ,85635,COCHISE,Central Line Associated Blood Stream Infections (CLABSI),0.0,
16,30055,KINGMAN,AZ,86409,MOHAVE,Central Line Associated Blood Stream Infections (CLABSI),0.0,
17,30061,SUN CITY,AZ,85351,MARICOPA,Central Line Associated Blood Stream Infections (CLABSI),0.39,1.0
18,30062,SHOW LOW,AZ,85901,NAVAJO,Central Line Associated Blood Stream Infections (CLABSI),,
19,30064,TUCSON,AZ,85724,PIMA,Central Line Associated Blood Stream Infections (CLABSI),1.02,0.0
