"Measure Name","Condition","Percentile","Score"
"Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Attack","National Average of Hospitals submitting data:","84%"
"Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given Aspirin at Arrival","Heart Attack","National Average of Hospitals submitting data:","93%"
"Heart Attack Patients Given Aspirin at Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given Aspirin at Discharge","Heart Attack","National Average of Hospitals submitting data:","90%"
"Heart Attack Patients Given Aspirin at Discharge","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given Beta Blocker at Arrival","Heart Attack","National Average of Hospitals submitting data:","88%"
"Heart Attack Patients Given Beta Blocker at Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given Beta Blocker at Discharge","Heart Attack","National Average of Hospitals submitting data:","90%"
"Heart Attack Patients Given Beta Blocker at Discharge","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Heart Attack","National Average of Hospitals submitting data:","36%"
"Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Heart Attack","National Average of Hospitals submitting data:","58%"
"Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","88%"
"Heart Attack Patients Given Smoking Cessation Advice/Counseling","Heart Attack","National Average of Hospitals submitting data:","90%"
"Heart Attack Patients Given Smoking Cessation Advice/Counseling","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Failure","National Average of Hospitals submitting data:","83%"
"Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Heart Failure","National Average of Hospitals submitting data:","85%"
"Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","99%"
"Heart Failure Patients Given Discharge Instructions","Heart Failure","National Average of Hospitals submitting data:","65%"
"Heart Failure Patients Given Discharge Instructions","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","94%"
"Heart Failure Patients Given Smoking Cessation Advice/Counseling","Heart Failure","National Average of Hospitals submitting data:","85%"
"Heart Failure Patients Given Smoking Cessation Advice/Counseling","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Pneumonia Patients Assessed and Given Influenza Vaccination","Pneumonia","National Average of Hospitals submitting data:","75%"
"Pneumonia Patients Assessed and Given Influenza Vaccination","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","98%"
"Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Pneumonia","National Average of Hospitals submitting data:","73%"
"Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","95%"
"Pneumonia Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","Pneumonia","National Average of Hospitals submitting data:","81%"
"Pneumonia Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","94%"
"Pneumonia Patients Given Oxygenation Assessment","Pneumonia","National Average of Hospitals submitting data:","99%"
"Pneumonia Patients Given Oxygenation Assessment","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Pneumonia Patients Given Smoking Cessation Advice/Counseling","Pneumonia","National Average of Hospitals submitting data:","83%"
"Pneumonia Patients Given Smoking Cessation Advice/Counseling","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Pneumonia","National Average of Hospitals submitting data:","85%"
"Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","95%"
"Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","Pneumonia","National Average of Hospitals submitting data:","90%"
"Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","Surgical Infection Prevention","National Average of Hospitals submitting data:","81%"
"Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","96%"
"Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","Surgical Infection Prevention","National Average of Hospitals submitting data:","90%"
"Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","Surgical Infection Prevention","National Average of Hospitals submitting data:","75%"
"Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","97%"
"Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","Surgical Infection Prevention","National Average of Hospitals submitting data:","79%"
"Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","99%"
"Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","Surgical Infection Prevention","National Average of Hospitals submitting data:","76%"
"Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","95%"
