"State","Condition","Measure Name","Category","Number of Hospitals"
"AK      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Better than U.S. National Rate",0
"AK      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",16
"AK      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Worse than U.S. National Rate",0
"AK      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Better than U.S. National Rate",0
"AK      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",21
"AK      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Worse than U.S. National Rate",0
"AK      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Better than U.S. National Rate",0
"AK      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",22
"AK      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Worse than U.S. National Rate",0
"AL      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Better than U.S. National Rate",0
"AL      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",93
"AL      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Worse than U.S. National Rate",0
"AL      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Better than U.S. National Rate",0
"AL      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",100
"AL      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Worse than U.S. National Rate",0
"AL      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Better than U.S. National Rate",0
"AL      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",99
"AL      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Worse than U.S. National Rate",1
"AR      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Better than U.S. National Rate",0
"AR      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",72
"AR      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Worse than U.S. National Rate",0
"AR      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Better than U.S. National Rate",0
"AR      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",74
"AR      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Worse than U.S. National Rate",1
"AR      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Better than U.S. National Rate",1
"AR      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",70
"AR      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Worse than U.S. National Rate",4
"AS      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Better than U.S. National Rate",0
"AS      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",0
"AS      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Worse than U.S. National Rate",0
"AS      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Better than U.S. National Rate",0
"AS      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",1
"AS      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Worse than U.S. National Rate",0
"AS      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Better than U.S. National Rate",0
"AS      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",1
"AS      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Worse than U.S. National Rate",0
"AZ      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Better than U.S. National Rate",0
"AZ      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",63
"AZ      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Worse than U.S. National Rate",0
"AZ      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Better than U.S. National Rate",0
"AZ      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","No different than U.S. National Rate",73
"AZ      ","Heart Failure","Hospital 30-Day Death (Mortality) Rates from Heart Failure","Worse than U.S. National Rate",0
"AZ      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Better than U.S. National Rate",0
"AZ      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","No different than U.S. National Rate",74
"AZ      ","Pneumonia","Hospital 30-Day Death (Mortality) Rates from Pneumonia","Worse than U.S. National Rate",0
"CA      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","Better than U.S. National Rate",0
"CA      ","Heart Attack","Hospital 30-Day Death (Mortality) Rates from Heart Attack","No different than U.S. National Rate",315
