"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Payment Range","Number Of Cases"
"AK","088","Chronic Lung Disease","6996 - 9013","378"
"AL","088","Chronic Lung Disease","4416 - 4837","9947"
"AR","088","Chronic Lung Disease","4612 - 5000","4805"
"AZ","088","Chronic Lung Disease","4945 - 5697","3792"
"CA","088","Chronic Lung Disease","5820 - 7463","20025"
"CO","088","Chronic Lung Disease","4929 - 5490","2558"
"CT","088","Chronic Lung Disease","5689 - 6651","4339"
"DC","088","Chronic Lung Disease","6502 - 7213","610"
"DE","088","Chronic Lung Disease","5124 - 5873","1349"
"FL","088","Chronic Lung Disease","4633 - 5167","26738"
"GA","088","Chronic Lung Disease","4776 - 5413","11084"
"HI","088","Chronic Lung Disease","5749 - 6703","534"
"IA","088","Chronic Lung Disease","4606 - 4847","3125"
"ID","088","Chronic Lung Disease","4856 - 5160","695"
"IL","088","Chronic Lung Disease","4898 - 5763","16530"
"IN","088","Chronic Lung Disease","4672 - 5060","10789"
"KS","088","Chronic Lung Disease","4527 - 4906","2943"
"KY","088","Chronic Lung Disease","4753 - 5211","11118"
"LA","088","Chronic Lung Disease","4531 - 5117","6224"
"MA","088","Chronic Lung Disease","5434 - 6351","9388"
"MD","088","Chronic Lung Disease","4172 - 8889","9057"
"ME","088","Chronic Lung Disease","5037 - 5459","1846"
"MI","088","Chronic Lung Disease","5013 - 6003","15424"
"MN","088","Chronic Lung Disease","5053 - 5395","3237"
"MO","088","Chronic Lung Disease","4539 - 5208","8726"
"MS","088","Chronic Lung Disease","4546 - 5101","5948"
"MT","088","Chronic Lung Disease","4399 - 4993","853"
"NC","088","Chronic Lung Disease","4778 - 5234","12590"
"ND","088","Chronic Lung Disease","4388 - 4921","625"
"NE","088","Chronic Lung Disease","4621 - 5111","1560"
"NH","088","Chronic Lung Disease","5391 - 5654","1595"
"NJ","088","Chronic Lung Disease","5449 - 6590","12511"
"NM","088","Chronic Lung Disease","4879 - 5689","1317"
"NV","088","Chronic Lung Disease","5240 - 5961","1759"
"NY","088","Chronic Lung Disease","4900 - 8160","20864"
"OH","088","Chronic Lung Disease","4596 - 5193","18797"
"OK","088","Chronic Lung Disease","4521 - 5021","6247"
"OR","088","Chronic Lung Disease","5159 - 5563","1907"
"PA","088","Chronic Lung Disease","4656 - 5553","16926"
"PR","088","Chronic Lung Disease","2919 - 3168","1988"
"RI","088","Chronic Lung Disease","5165 - 6752","1435"
"SC","088","Chronic Lung Disease","4747 - 5201","6324"
"SD","088","Chronic Lung Disease","4727 - 5011","736"
"TN","088","Chronic Lung Disease","4611 - 5212","12541"
"TX","088","Chronic Lung Disease","4779 - 5473","25256"
"UT","088","Chronic Lung Disease","4774 - 5242","612"
"VA","088","Chronic Lung Disease","4604 - 5050","9250"
"VT","088","Chronic Lung Disease","5267 - 6338","620"
"WA","088","Chronic Lung Disease","5378 - 5931","3736"
"WI","088","Chronic Lung Disease","4826 - 5454","4494"
"WV","088","Chronic Lung Disease","4490 - 4898","5959"
"WY","088","Chronic Lung Disease","4805 - 6201","551"
"AK","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","8020 - 10534","487"
"AL","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5144 - 5648","10256"
"AR","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5221 - 5824","6390"
"AZ","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5759 - 6647","5718"
"CA","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","6640 - 8370","30521"
"CO","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5501 - 6303","4229"
"CT","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","6466 - 7767","7066"
"DC","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","7592 - 8430","820"
"DE","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5916 - 6864","1505"
"FL","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5356 - 5988","25192"
"GA","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5443 - 6267","13101"
"HI","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","6636 - 7704","956"
"IA","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5177 - 5588","5026"
"ID","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5560 - 6008","1489"
"IL","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5472 - 6489","22835"
"IN","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5434 - 5877","12155"
"KS","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5162 - 5787","4308"
"KY","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5298 - 6074","10788"
"LA","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5212 - 5952","8265"
"MA","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","6198 - 7285","12014"
"MD","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","4561 - 9890","7675"
"ME","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5592 - 6161","2295"
"MI","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5801 - 6943","16282"
"MN","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5822 - 6302","5286"
"MO","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5297 - 5980","11250"
"MS","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5264 - 5883","6394"
"MT","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5093 - 5618","1457"
"NC","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5584 - 6112","14345"
"ND","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5033 - 5751","1132"
"NE","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5369 - 5974","2691"
"NH","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","6199 - 6608","2006"
"NJ","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","6363 - 7638","13493"
"NM","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5656 - 6852","2699"
"NV","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5968 - 6884","2365"
"NY","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5615 - 9269","27540"
"OH","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5318 - 6020","21655"
"OK","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5255 - 5657","8339"
"OR","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5988 - 6426","3322"
"PA","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5310 - 6256","19029"
"PR","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","3344 - 3724","1952"
"RI","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5810 - 7510","1726"
"SC","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5510 - 6045","7748"
"SD","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5239 - 5856","1566"
"TN","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5331 - 6025","14505"
"TX","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5475 - 6271","34352"
"UT","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5331 - 5954","2162"
"VA","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5209 - 5902","10804"
"VT","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","6156 - 7407","1070"
"WA","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","6184 - 6952","6201"
"WI","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5551 - 6262","7683"
"WV","089","Pneumonia and Pleurisy in Adults With Complications or Preexisting Conditions","5205 - 5783","5246"
