"State","Condition","Measure Name","State Average"
"AK","Children&#8217;s Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"AK","Children&#8217;s Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"AK","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","97"
"AK","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","79"
"AK","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","82"
"AK","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival","84"
"AK","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","87"
"AK","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","3"
"AK","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","63"
"AK","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","83"
"AK","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","98"
"AK","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","78"
"AK","Heart Failure","Heart Failure Patients Given Discharge Instructions","52"
"AK","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","76"
"AK","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","67"
"AK","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","77"
"AK","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","91"
"AK","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","100"
"AK","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","73"
"AK","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","84"
"AK","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","92"
"AK","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","82"
"AK","Surgical Infection Prevention","Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","90"
"AK","Surgical Infection Prevention","Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","66"
"AK","Surgical Infection Prevention","Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","70"
"AK","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","85"
"AL","Children&#8217;s Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"AL","Children&#8217;s Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"AL","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","82"
"AL","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","87"
"AL","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","90"
"AL","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival","84"
"AL","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","86"
"AL","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","40"
"AL","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","69"
"AL","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","93"
"AL","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","87"
"AL","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","85"
"AL","Heart Failure","Heart Failure Patients Given Discharge Instructions","69"
"AL","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","87"
"AL","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","72"
"AL","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","75"
"AL","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","92"
"AL","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","99"
"AL","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","88"
"AL","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","84"
"AL","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","90"
"AL","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","84"
"AL","Surgical Infection Prevention","Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","88"
"AL","Surgical Infection Prevention","Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","73"
"AL","Surgical Infection Prevention","Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","76"
"AL","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","80"
"AR","Children&#8217;s Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"AR","Children&#8217;s Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"AR","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","89"
"AR","Heart Attack","Heart Attack Patients Given Aspirin at Arrival","90"
"AR","Heart Attack","Heart Attack Patients Given Aspirin at Discharge","84"
"AR","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival","89"
"AR","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge","86"
"AR","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","38"
"AR","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","60"
"AR","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling","87"
"AR","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","85"
"AR","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","88"
"AR","Heart Failure","Heart Failure Patients Given Discharge Instructions","77"
"AR","Heart Failure","Heart Failure Patients Given Smoking Cessation Advice/Counseling","93"
"AR","Pneumonia","Pneumonia Patients Assessed and Given Influenza Vaccination","74"
"AR","Pneumonia","Pneumonia Patients Assessed and Given Pneumococcal Vaccination","82"
"AR","Pneumonia","Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","94"
"AR","Pneumonia","Pneumonia Patients Given Oxygenation Assessment","99"
"AR","Pneumonia","Pneumonia Patients Given Smoking Cessation Advice/Counseling","92"
"AR","Pneumonia","Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","87"
"AR","Pneumonia","Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics","90"
"AR","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","83"
"AR","Surgical Infection Prevention","Surgery Patients Who Received the Appropriate Preventative Antibiotic(s) for Their Surgery","92"
"AR","Surgical Infection Prevention","Surgery Patients Who Received Treatment To Prevent Blood Clots Within 24 Hours Before or After Selected Surgeries to Prevent Blood Clots","73"
"AR","Surgical Infection Prevention","Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots (Venous Thromboembolism) For Certain Types of Surgeries","76"
"AR","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","80"
"AS","Children&#8217;s Asthma Care","Children Who Received Reliever Medication While Hospitalized for Asthma",
"AS","Children&#8217;s Asthma Care","Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma",
"AS","Heart Attack","Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)",
"AS","Heart Attack","Heart Attack Patients Given Aspirin at Arrival",
"AS","Heart Attack","Heart Attack Patients Given Aspirin at Discharge",
"AS","Heart Attack","Heart Attack Patients Given Beta Blocker at Arrival",
"AS","Heart Attack","Heart Attack Patients Given Beta Blocker at Discharge",
"AS","Heart Attack","Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival",
"AS","Heart Attack","Heart Attack Patients Given PCI Within 90 Minutes Of Arrival",
"AS","Heart Attack","Heart Attack Patients Given Smoking Cessation Advice/Counseling",
"AS","Heart Failure","Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)",
"AS","Heart Failure","Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function",
