"State","HCAHPS Measures","HCAHPS Measure Code","HCAHPS Response Categories","HCAHPS Response Category Percent"
"ID","How often was patients&#39; pain well controlled?","H_COMP_4_SN_P","Pain was sometimes or never well controlled",5
"ID","How often was patients&#39; pain well controlled?","H_COMP_4_U_P","Pain was usually well controlled",24
"ID","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_A_P","Always quiet at night",60
"ID","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_SN_P","Sometimes or never quiet at night",10
"ID","How often was the area around patients&#39; rooms kept quiet at night?","H_QUIET_HSP_U_P","Usually quiet at night",30
"ID","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_A_P","Room was always clean",74
"ID","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_SN_P","Room was sometimes or never clean",8
"ID","How often were the patients&#39; rooms and bathrooms kept clean?","H_CLEAN_HSP_U_P","Room was usually clean",18
"ID","Were patients given information about what to do during their recovery at home?","H_COMP_6_N_P","No, staff did not give patients this information",16
"ID","Were patients given information about what to do during their recovery at home?","H_COMP_6_Y_P","Yes, staff did give patients this information",84
"ID","Would patients recommend the hospital to friends and family?","H_RECMND_DN","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",5
"ID","Would patients recommend the hospital to friends and family?","H_RECMND_DY","YES, patients would definitely recommend the hospital",74
"ID","Would patients recommend the hospital to friends and family?","H_RECMND_PY","YES, patients would probably recommend the hospital",21
"IL","How do patients rate the hospital overall?","H_HSP_RATING_0_6","Patients who gave a rating of 6 or lower (low)",12
"IL","How do patients rate the hospital overall?","H_HSP_RATING_7_8","Patients who gave a rating of 7 or 8 (medium)",26
"IL","How do patients rate the hospital overall?","H_HSP_RATING_9_10","Patients who gave a rating of 9 or 10 (high)",62
"IL","How often did doctors communicate well with patients?","H_COMP_2_A_P","Doctors always communicated well",79
"IL","How often did doctors communicate well with patients?","H_COMP_2_SN_P","Doctors sometimes or never communicated well",5
"IL","How often did doctors communicate well with patients?","H_COMP_2_U_P","Doctors usually communicated well",16
"IL","How often did nurses communicate well with patients?","H_COMP_1_A_P","Nurses always communicated well",73
"IL","How often did nurses communicate well with patients?","H_COMP_1_SN_P","Nurses sometimes or never communicated well",7
"IL","How often did nurses communicate well with patients?","H_COMP_1_U_P","Nurses usually communicated well",20
"IL","How often did patients receive help quickly from hospital staff?","H_COMP_3_A_P","Patients always received help as soon as they wanted",59
"IL","How often did patients receive help quickly from hospital staff?","H_COMP_3_SN_P","Patients sometimes or never received help as soon as they wanted",14
"IL","How often did patients receive help quickly from hospital staff?","H_COMP_3_U_P","Patients usually received help as soon as they wanted",27
"IL","How often did staff explain about medicines before giving them to patients?","H_COMP_5_A_P","Staff always explained",57
"IL","How often did staff explain about medicines before giving them to patients?","H_COMP_5_SN_P","Staff sometimes or never explained",24
"IL","How often did staff explain about medicines before giving them to patients?","H_COMP_5_U_P","Staff usually explained",19
"IL","How often was patients&#39; pain well controlled?","H_COMP_4_A_P","Pain was always well controlled",67
