"Provider Number","Hospital Name","State","Measure Code","Measure Name","Measure Response"
"'010001'","SOUTHEAST ALABAMA MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010005'","MARSHALL MEDICAL CENTER SOUTH","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010006'","ELIZA COFFEE MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010007'","MIZELL MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010008'","CRENSHAW COMMUNITY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010009'","HARTSELLE MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010010'","MARSHALL MEDICAL CENTER NORTH","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010011'","ST VINCENT'S EAST","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010012'","DEKALB REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010015'","SOUTHWEST ALABAMA MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010016'","SHELBY BAPTIST MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010018'","CALLAHAN EYE FOUNDATION HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010019'","HELEN KELLER MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010021'","DALE MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010022'","CHEROKEE MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010023'","BAPTIST MEDICAL CENTER SOUTH","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010024'","JACKSON HOSPITAL & CLINIC INC","AL","SM_PART_CARD","Cardiac Surgery Registry","No"
"'010025'","G H LANIER MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010027'","ELBA GENERAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010029'","EAST ALABAMA MEDICAL CENTER AND SNF","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010032'","WEDOWEE HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010033'","UNIVERSITY OF ALABAMA HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010034'","COMMUNITY HOSPITAL INC","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010035'","CULLMAN REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010036'","ANDALUSIA REGIONAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010038'","STRINGFELLOW MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010039'","HUNTSVILLE HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Yes"
"'010040'","GADSDEN REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010043'","CHILTON MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010044'","MARION REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010045'","FAYETTE MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010046'","RIVERVIEW REGIONAL MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010047'","GEORGIANA HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010049'","MEDICAL CENTER ENTERPRISE","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010050'","ST VINCENTS BLOUNT","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010051'","GREENE COUNTY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010052'","LAKE MARTIN COMMUNITY HOSPITAL","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
"'010054'","PARKWAY MEDICAL CENTER","AL","SM_PART_CARD","Cardiac Surgery Registry","Does not have a Cardiac Surgery Program"
