"State","Condition","Measure Code","Measure Name","Score"
"AK","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","38.7"
"AL","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","34.9"
"AR","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","37.4"
"AS","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","N/A"
"AZ","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","30.9"
"CA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","28.4"
"CO","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","35.8"
"CT","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","26.9"
"DC","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","31.9"
"DE","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","25.8"
"FL","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","28.3"
"GA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","31.0"
"GU","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","N/A"
"HI","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","30.1"
"IA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","30.2"
"ID","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","37.3"
"IL","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","33.4"
"IN","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","35.2"
"KS","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","34.5"
"KY","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","35.6"
"LA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","36.8"
"MA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","30.1"
"MD","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","31.7"
"ME","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","36.7"
"MI","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","32.0"
"MN","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","39.7"
"MO","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","36.0"
"MP","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","N/A"
"MS","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","37.1"
"MT","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","37.3"
"NC","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","30.6"
"ND","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","31.9"
"NE","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","33.8"
"NH","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","31.5"
"NJ","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","26.4"
"NM","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","33.9"
"NV","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","33.2"
"NY","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","26.9"
"OH","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","30.2"
"OK","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","34.3"
"OR","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","36.2"
"PA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","32.4"
"PR","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","31.7"
"RI","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","31.8"
"SC","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","34.4"
"SD","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","31.3"
"TN","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","30.7"
"TX","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","34.7"
"UT","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","34.8"
"VA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","31.5"
"VI","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","N/A"
"VT","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","27.1"
"WA","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","35.6"
"WI","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","31.8"
"WV","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","38.5"
"WY","Use of Medical Imaging","OP_8","Outpatients with low back pain who had an MRI without trying recommended treatments first, such as physical therapy. (If a number is high, it may mean the facility is doing too many unnecessary MRIs for low back pain.)","40.8"
"AK","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","11.0"
"AL","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.6"
"AR","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","10.1"
"AS","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","N/A"
"AZ","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","9.2"
"CA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.3"
"CO","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","9.3"
"CT","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","9.2"
"DC","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","6.8"
"DE","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.3"
"FL","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","9.8"
"GA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.9"
"GU","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","N/A"
"HI","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","9.4"
"IA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.1"
"ID","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.2"
"IL","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.4"
"IN","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.3"
"KS","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.3"
"KY","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.9"
"LA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.1"
"MA","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","9.2"
"MD","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.6"
"ME","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.6"
"MI","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.4"
"MN","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","6.4"
"MO","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.4"
"MP","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","N/A"
"MS","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.9"
"MT","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.2"
"NC","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.9"
"ND","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.0"
"NE","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.1"
"NH","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.1"
"NJ","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","10.6"
"NM","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","7.1"
"NV","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.5"
"NY","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","9.8"
"OH","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.4"
"OK","Use of Medical Imaging","OP_9","Outpatients who had a follow-up mammogram or ultrasound within 45 days after a screening mammogram. (A number that is much lower than 8% may mean there’s not enough follow-up. A number much higher than 14% may mean there’s too much unnecessary follow-up.)","8.0"
