"State","Condition","Measure Name","Category","Number of Hospitals"
"AL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","4"
"AK","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"AZ","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"AR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","5"
"CA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"CO","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"CT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","4"
"DE","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"DC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"FL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"GA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"HI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"ID","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"IL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","18"
"IN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"IA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"KS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"KY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","11"
"LA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"ME","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"MD","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","5"
"MA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","4"
"MI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","5"
"MN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"MS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","4"
"MO","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","5"
"MT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NE","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NV","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NH","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NJ","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","12"
"NM","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","30"
"NC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"ND","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"OH","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","10"
"OK","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","4"
"OR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"PA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","7"
"PR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"RI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"SC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"SD","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"TN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","8"
"TX","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","4"
"UT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"VT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"VI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"VA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
