"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Average Payment Range","Number Of Cases"
"Nation","282","Acute myocardial infarction, discharged alive w/o CC/MCC","4531 - 5689","32943"
"Nation","281","Acute myocardial infarction, discharged alive w CC","6481 - 8137","38875"
"Nation","280","Acute myocardial infarction, discharged alive w MCC","10116 - 12857","79780"
"Nation","292","Heart failure and shock w CC","5500 - 6845","176344"
"Nation","291","Heart failure and shock w MCC","8240 - 10351","241821"
"Nation","293","Heart failure and shock w/o CC/MCC","3944 - 4900","104820"
"Nation","192","Chronic obstructive pulmonary disease w/o CC/MCC","4062 - 4991","122873"
"Nation","193","Simple pneumonia and pleurisy w MCC","8077 - 10013","151057"
"Nation","191","Chronic obstructive pulmonary disease w CC","5439 - 6667","130651"
"Nation","190","Chronic obstructive pulmonary disease w MCC","6797 - 8387","154270"
"Nation","637","Diabetes w MCC","7592 - 9766","28790"
"Nation","313","Chest Pain","3139 - 4006","161260"
"Nation","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","25846 - 34302","4332"
"Nation","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","29819 - 41483","24280"
"Nation","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","30384 - 41101","15543"
"Nation","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","46057 - 65147","15392"
"Nation","226","Cardiac defibrillator implant w/o cardiac cath w MCC","39281 - 52196","7946"
"Nation","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","34483 - 44902","3823"
"Nation","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","29828 - 39377","24962"
"Nation","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","45441 - 60020","2893"
"Nation","039","Extracranial procedures w/o CC/MCC","5724 - 6959","40741"
"Nation","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6479 - 7997","26991"
"Nation","247","Perc cardiovasc proc w drug-eluting stent w/o MCC","11051 - 14077","125573"
"Nation","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9352 - 11328","24717"
"Nation","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","13792 - 17017","20866"
"Nation","355","Hernia procedures except inguinal and femoral w/o CC/MCC","5729 - 7293","12750"
"Nation","414","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","20233 - 26420","5011"
"Nation","243","Permanent cardiac pacemaker implant w CC","14803 - 18444","32373"
"Nation","244","Permanent cardiac pacemaker implant w/o CC/MCC","11505 - 14244","38957"
"Nation","235","Coronary bypass w/o cardiac cath w MCC","31346 - 43425","10735"
"Nation","236","Coronary bypass w/o cardiac cath w/o MCC","20489 - 26342","22165"
"Nation","038","Extracranial procedures w CC","8470 - 10403","12655"
"Nation","460","Spinal fusion except cervical w/o MCC","21163 - 27327","65508"
"Nation","491","Back and neck proc exc spinal fusion w/o CC/MCC","5504 - 6951","41960"
"Nation","459","Spinal fusion except cervical w MCC","33634 - 45709","5099"
"Nation","490","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","10294 - 13081","21458"
"Nation","471","Cervical spinal fusion w MCC","27717 - 38185","3180"
"Nation","473","Cervical spinal fusion w/o CC/MCC","11402 - 14386","26762"
"Nation","472","Cervical spinal fusion w CC","16147 - 21219","9196"
"Nation","329","Major small and large bowel procedures w MCC","28386 - 38058","48991"
"Nation","328","Stomach, esophageal duodenal proc w/o CC/MCC","8178 - 10922","9310"
"Nation","331","Major small and large bowel procedures w/o CC/MCC","9155 - 11614","24283"
"Nation","330","Major small and large bowel procedures w CC","14190 - 18127","54152"
"Nation","353","Hernia procedures except inguinal and femoral w MCC","14762 - 19283","4100"
"Nation","354","Hernia procedures except inguinal and femoral w CC","8338 - 10673","9171"
"Nation","508","Major shoulder or elbow joint procedures w/o CC/MCC","7167 - 9214","1056"
"Nation","507","Major shoulder or elbow joint procedures w CC/MCC","10644 - 13405","682"
"Nation","659","Kidney and ureter procedures for non-neoplasm w MCC","19291 - 27640","5822"
"Nation","668","Transurethral procedures w MCC","13044 - 16261","6009"
"Nation","675","Other kidney and urinary tract procedures w/o CC/MCC","7629 - 9986","2309"
"Nation","673","Other kidney and urinary tract procedures w MCC","17258 - 23136","12209"
"Nation","656","Kidney and ureter procedures for neoplasm w MCC","19262 - 25876","5217"
"Nation","657","Kidney and ureter procedures for neoplasm w CC","10896 - 14606","7012"
"Nation","467","Revision of hip or knee replacement w CC","17305 - 22198","19715"
"Nation","479","Biopsies of musculoskeletal system and connective tissue w/o CC/MCC","8667 - 10676","4142"
"Nation","477","Biopsies of musculoskeletal system and connective tissue w MCC","17449 - 22970","3368"
"Nation","478","Biopsies of musculoskeletal system and connective tissue w CC","12160 - 15239","7295"
"Nation","515","Other musculoskelet sys and conn tiss O.R. proc w MCC","16955 - 22040","4829"
"Nation","658","Kidney and ureter procedures for neoplasm w/o CC/MCC","8034 - 10830","6972"
"Nation","748","Female reproductive system reconstructive procedures","5060 - 6254","15555"
"Nation","743","Uterine and adnexa proc for non-malignancy w/o CC/MCC","5112 - 6505","26726"
"Nation","713","Transurethral prostatectomy w CC/MCC","6545 - 8240","8981"
"Nation","674","Other kidney and urinary tract procedures w CC","12091 - 15905","7894"
"Nation","714","Transurethral prostatectomy w/o CC/MCC","3690 - 4668","20117"
"Nation","469","Major joint replacement or reattachment of lower extremity w MCC","17079 - 22381","36621"
"Nation","468","Revision of hip or knee replacement w/o CC/MCC","14379 - 18876","15702"
"Nation","466","Revision of hip or knee replacement w MCC","24331 - 33337","4953"
"Nation","470","Major joint replacement or reattachment of lower extremity w/o MCC","11649 - 14438","423627"
"Nation","461","Bilateral or multiple major joint procs of lower extremity w MCC","26142 - 34113","972"
"Nation","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","18528 - 23967","10756"
