"State","PSI_4_SURG_COMP_WORSE","PSI_4_SURG_COMP_SAME","PSI_4_SURG_COMP_BETTER","PSI_4_SURG_COMP_TOOFEW","PSI_6_IAT_PTX_WORSE","PSI_6_IAT_PTX_SAME","PSI_6_IAT_PTX_BETTER","PSI_6_IAT_PTX_TOOFEW","PSI_11_POSTOP_RESPFAIL_WORSE","PSI_11_POSTOP_RESPFAIL_SAME","PSI_11_POSTOP_RESPFAIL_BETTER","PSI_11_POSTOP_RESPFAIL_TOOFEW","PSI_12_POSTOP_PULMEMB_DVT_WORSE","PSI_12_POSTOP_PULMEMB_DVT_SAME","PSI_12_POSTOP_PULMEMB_DVT_BETTER","PSI_12_POSTOP_PULMEMB_DVT_TOOFEW","PSI_14_POSTOP_DEHIS_WORSE","PSI_14_POSTOP_DEHIS_SAME","PSI_14_POSTOP_DEHIS_BETTER","PSI_14_POSTOP_DEHIS_TOOFEW","PSI_15_ACC_LAC_WORSE","PSI_15_ACC_LAC_SAME","PSI_15_ACC_LAC_BETTER","PSI_15_ACC_LAC_TOOFEW","PSI_90_SAFETY_WORSE","PSI_90_SAFETY_SAME","PSI_90_SAFETY_BETTER","PSI_90_SAFETY_TOOFEW","IQI_11_AAA_WORSE","IQI_11_AAA_SAME","IQI_11_AAA_BETTER","IQI_11_AAA_TOOFEW","IQI_19_HIP_FX_WORSE","IQI_19_HIP_FX_SAME","IQI_19_HIP_FX_BETTER","IQI_19_HIP_FX_TOOFEW","IQI_91_CONDS_WORSE","IQI_91_CONDS_SAME","IQI_91_CONDS_BETTER","IQI_91_CONDS_TOOFEW"
"AK","0","4","0","3","0","9","0","0","6","0","1","0","0","8","0","0","0","6","0","2","3","6","0","0","1","8","0","N/A","0","0","0","2","0","5","0","2","1","8","0","N/A"
"AL","4","35","0","31","3","95","0","0","44","12","2","8","1","75","3","8","0","58","0","19","7","90","1","0","4","91","3","N/A","0","13","0","12","0","50","0","14","22","74","0","N/A"
"AR","1","19","1","16","3","45","0","1","29","4","2","8","0","41","4","2","0","36","0","7","1","47","0","1","1","47","1","N/A","0","13","0","7","0","28","0","7","10","34","2","N/A"
"AS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AZ","1","41","3","13","7","56","0","2","47","1","6","2","2","56","2","1","0","48","0","10","8","53","2","2","7","57","1","N/A","0","10","0","28","0","45","0","4","1","45","15","N/A"
"CA","2","166","5","107","2","312","0","2","245","8","27","19","8","281","10","7","0","246","0","53","22","288","4","2","18","293","5","N/A","0","31","0","91","1","207","1","69","27","259","19","N/A"
"CO","1","23","1","15","1","44","0","3","36","4","4","1","5","39","0","0","0","40","0","3","5","40","0","3","6","42","0","N/A","0","7","0","14","0","36","0","6","1","39","4","N/A"
"CT","1","24","1","3","1","30","0","1","26","2","1","0","1","28","0","0","0","29","0","0","2","28","1","1","2","29","1","N/A","0","6","0","15","0","29","0","0","7","22","2","N/A"
"DC","0","6","0","1","1","6","0","0","5","1","1","0","1","5","1","0","0","7","0","0","2","4","1","0","2","4","1","N/A","0","2","0","2","0","6","0","1","1","5","1","N/A"
"DE","0","5","0","0","0","5","0","0","4","0","1","0","1","4","0","0","0","5","0","0","0","4","1","0","0","3","2","N/A","0","2","0","1","0","5","0","0","0","2","3","N/A"
"FL","2","121","4","33","4","163","0","4","119","14","19","3","16","141","4","2","0","156","0","4","11","144","13","3","10","150","11","N/A","0","56","0","52","0","147","5","3","6","125","33","N/A"
"GA","5","49","0","37","4","104","0","1","67","7","4","12","3","96","1","6","0","84","0","19","12","93","3","1","9","98","2","N/A","0","15","0","24","1","73","0","17","6","92","9","N/A"
"GU","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"HI","0","7","0","6","0","14","0","0","13","0","0","1","0","14","0","0","0","13","0","1","0","14","0","0","0","14","0","N/A","0","1","0","6","0","11","0","3","3","11","0","N/A"
"IA","0","22","1","10","0","35","0","0","30","0","2","1","0","31","3","0","0","32","0","2","3","32","0","0","2","31","2","N/A","0","8","0","8","0","31","0","2","4","25","5","N/A"
"ID","0","8","0","4","1","12","0","3","11","0","1","2","1","12","0","2","0","10","0","3","2","11","0","3","1","15","0","N/A","0","1","0","5","0","9","0","2","3","8","0","N/A"
"IL","1","91","5","26","3","130","0","1","99","16","3","6","16","110","1","4","0","121","0","7","8","109","16","1","9","117","8","N/A","0","33","0","38","0","107","0","12","10","90","29","N/A"
"IN","0","54","2","26","2","87","0","1","73","8","4","3","1","83","5","0","0","76","0","7","3","85","1","1","0","87","3","N/A","0","18","0","21","0","66","0","8","9","72","3","N/A"
"KS","0","24","0","22","2","51","0","1","41","4","4","4","2","48","1","2","0","38","0","10","2","52","0","0","0","54","0","N/A","0","9","0","10","1","30","0","8","5","38","2","N/A"
"KY","2","33","2","22","0","65","0","0","34","14","0","10","2","58","4","1","0","54","0","9","2","61","2","0","1","62","2","N/A","0","12","0","9","0","46","0","10","11","49","5","N/A"
"LA","2","35","0","33","0","99","0","3","57","7","0","14","0","86","2","8","0","63","0","22","3","94","1","4","2","99","1","N/A","0","13","0","18","0","42","0","10","13","71","1","N/A"
"MA","0","42","2","13","2","59","1","0","50","0","6","2","2","54","2","2","0","55","0","3","5","54","3","0","3","57","2","N/A","0","12","0","19","0","54","0","3","3","52","5","N/A"
"MD","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ME","1","8","0","11","0","21","0","0","18","1","2","0","0","21","0","0","1","19","0","1","2","19","0","0","1","20","0","N/A","0","2","0","4","1","17","0","3","1","19","1","N/A"
"MI","1","54","4","31","3","96","0","1","68","12","11","5","6","86","3","1","1","86","0","5","6","85","8","1","2","96","2","N/A","0","27","0","20","0","84","1","6","4","64","26","N/A"
"MN","0","23","1","23","1","51","0","0","43","3","3","1","1","46","3","1","0","43","0","7","6","44","2","0","2","48","2","N/A","0","9","1","7","1","37","0","9","0","48","3","N/A"
"MO","0","49","0","20","5","75","0","2","49","12","5","6","4","70","1","2","0","67","0","8","6","73","1","2","5","77","0","N/A","0","23","0","14","0","56","0","10","7","63","9","N/A"
"MP","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"MS","4","19","0","17","0","66","0","1","28","8","2","8","3","40","1","9","0","37","0","8","3","60","3","1","3","62","2","N/A","0","8","0","11","1","31","0","3","19","44","0","N/A"
"MT","0","9","0","4","0","14","0","0","11","0","2","0","0","12","1","1","0","12","0","1","1","12","1","0","0","13","1","N/A","0","3","0","3","0","11","0","0","1","13","0","N/A"
"NC","4","54","0","28","1","90","0","1","60","8","5","6","3","81","3","1","0","80","0","5","6","81","4","1","4","82","6","N/A","0","18","0","18","1","77","0","6","15","59","13","N/A"
"ND","0","6","0","0","1","6","0","1","4","1","1","0","0","5","1","0","0","6","0","0","3","4","0","1","0","8","0","N/A","0","4","0","2","1","5","0","0","1","6","0","N/A"
"NE","0","15","1","4","2","20","0","1","18","0","3","0","1","19","1","1","0","18","0","0","1","20","1","1","2","21","0","N/A","0","6","0","6","0","17","0","0","5","13","1","N/A"
"NH","0","11","0","2","1","12","0","0","12","0","1","0","1","12","0","0","1","12","0","0","2","11","0","0","1","12","0","N/A","0","3","0","9","1","12","0","0","2","11","0","N/A"
"NJ","3","54","2","6","2","64","0","1","53","3","6","4","13","51","2","0","0","62","0","4","3","57","7","0","9","55","3","N/A","0","18","0","30","1","59","0","3","11","48","7","N/A"
"NM","1","10","0","17","3","33","0","1","23","0","1","4","1","28","0","5","0","25","0","5","2","34","0","1","2","34","1","N/A","0","4","0","3","0","21","0","4","2","33","0","N/A"
"NV","4","12","0","5","0","25","0","0","17","3","1","1","1","20","0","1","0","21","0","0","2","23","0","0","3","22","0","N/A","0","4","0","8","1","17","0","2","3","20","0","N/A"
"NY","4","90","4","61","4","170","0","3","138","7","5","17","12","150","2","6","0","151","0","14","7","150","17","3","8","163","6","N/A","0","27","0","42","1","138","0","21","56","110","3","N/A"
"OH","0","87","2","35","5","131","0","2","106","21","2","3","16","114","1","2","0","117","0","10","6","126","4","2","12","125","1","N/A","0","29","0","48","0","113","0","11","3","87","36","N/A"
"OK","0","31","0","30","5","87","0","1","50","7","4","14","1","75","1","10","0","50","0","22","6","84","1","2","1","92","0","N/A","0","9","0","8","1","40","0","15","11","73","0","N/A"
"OR","0","19","0","13","3","30","0","0","25","2","5","0","1","31","0","0","0","31","0","1","8","25","0","0","5","28","0","N/A","0","6","0","12","1","27","0","4","2","31","0","N/A"
"PA","2","82","1","59","7","148","0","2","136","5","5","4","19","130","1","1","0","132","0","16","14","131","10","2","18","134","5","N/A","0","27","0","53","1","127","0","16","23","110","15","N/A"
"PR","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"RI","1","8","0","2","0","11","0","0","10","0","1","0","0","11","0","0","0","11","0","0","3","8","0","0","1","10","0","N/A","0","2","0","3","0","10","0","0","2","9","0","N/A"
"SC","0","31","0","20","2","53","0","0","35","3","3","8","1","54","0","0","0","45","0","8","2","53","0","0","2","53","0","N/A","1","12","0","11","0","41","0","9","11","42","1","N/A"
"SD","0","7","0","7","0","21","0","2","15","0","2","1","0","17","1","1","0","10","0","7","2","20","0","1","0","23","0","N/A","0","3","0","2","0","10","0","0","1","15","0","N/A"
"TN","2","43","1","32","2","98","0","1","60","14","2","16","2","80","4","12","0","65","0","22","2","92","6","1","2","96","3","N/A","0","19","0","19","0","61","0","19","15","80","3","N/A"
"TX","3","146","1","77","7","312","1","7","211","25","4","39","10","264","8","22","0","205","0","56","14","294","10","9","12","308","7","N/A","0","45","0","63","1","175","1","45","4","263","25","N/A"
"UT","0","13","1","10","0","31","0","1","25","0","0","3","1","26","0","3","0","20","0","7","5","26","0","1","4","28","0","N/A","0","4","0","4","0","20","0","8","0","30","0","N/A"
"VA","3","41","0","25","1","77","0","2","53","6","5","8","6","65","1","1","0","66","0","6","4","69","5","2","4","75","1","N/A","1","17","0","16","0","59","0","6","13","59","5","N/A"
