"prvdr_id","msr_cd","scr","footnote","Sample"
"010001","IMM_2","85","2","271"
"010001","IMM_1a","90","2","187"
"010005","IMM_2","66","","550"
"010005","IMM_1a","79","","327"
"010006","IMM_2","92","","271"
"010006","IMM_1a","93","","166"
"010007","IMM_2","82","2","62"
"010007","IMM_1a","89","2","55"
"010008","IMM_2","83","2","82"
"010008","IMM_1a","77","2","57"
"010011","IMM_2","92","2","266"
"010011","IMM_1a","94","2","181"
"010012","IMM_2","95","2","230"
"010012","IMM_1a","98","2","138"
"010016","IMM_2","86","","285"
"010016","IMM_1a","90","","188"
"010018","IMM_2","65","1","20"
"010018","IMM_1a","31","1","16"
"010019","IMM_2","98","2","253"
"010019","IMM_1a","98","2","157"
"010021","IMM_2","87","2","149"
"010021","IMM_1a","91","2","101"
"010022","IMM_2","95","2","159"
"010022","IMM_1a","95","2","125"
"010023","IMM_2","89","","343"
"010023","IMM_1a","90","","187"
"010024","IMM_2","95","2","288"
"010024","IMM_1a","94","2","209"
"010025","IMM_2","90","2","145"
"010025","IMM_1a","96","2","91"
"010027","IMM_2","97","2","37"
"010027","IMM_1a","97","2","30"
"010029","IMM_2","63","2","1076"
"010029","IMM_1a","70","2","655"
"010032","IMM_2","36","","179"
"010032","IMM_1a","43","","127"
"010033","IMM_2","87","2","287"
"010033","IMM_1a","91","2","133"
"010034","IMM_2","81","2","169"
"010034","IMM_1a","84","2","133"
"010035","IMM_2","100","2","300"
"010035","IMM_1a","99","2","234"
"010036","IMM_2","94","2","183"
"010036","IMM_1a","97","2","109"
"010038","IMM_2","97","2","216"
"010038","IMM_1a","99","2","152"
"010039","IMM_2","96","2","301"
"010039","IMM_1a","93","2","155"
"010040","IMM_2","98","2","285"
"010040","IMM_1a","99","2","168"
"010043","IMM_2","90","2","155"
"010043","IMM_1a","91","2","119"
"010044","IMM_2","93","2","164"
"010044","IMM_1a","96","2","126"
"010045","IMM_2","97","","152"
"010045","IMM_1a","91","","129"
"010046","IMM_2","99","2","290"
"010046","IMM_1a","100","2","233"
"010047","IMM_2","95","","166"
"010047","IMM_1a","95","","105"
"010049","IMM_2","97","2","260"
"010049","IMM_1a","96","2","142"
"010050","IMM_2","93","2","148"
"010050","IMM_1a","94","2","119"
"010051","IMM_2","5","2","116"
"010051","IMM_1a","8","2","91"
"010052","IMM_2","40","2","149"
"010052","IMM_1a","31","2","109"
"010054","IMM_2","98","2","168"
"010054","IMM_1a","95","2","100"
"010055","IMM_2","100","2","315"
"010055","IMM_1a","99","2","187"
"010056","IMM_2","79","2","255"
"010056","IMM_1a","88","2","155"
"010058","IMM_2","82","1","22"
"010058","IMM_1a","95","1","19"
"010059","IMM_2","93","","154"
"010059","IMM_1a","96","","109"
"010061","IMM_2","98","2","199"
"010061","IMM_1a","97","2","141"
"010062","IMM_2","72","2","169"
"010062","IMM_1a","65","2","128"
"010065","IMM_2","77","","182"
"010065","IMM_1a","88","","105"
