"Measure Name","Condition","Measure Code","Percentile","Score"
"Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better"," Process of Care Measures","OP_3b","National Average of Hospitals submitting data:","59"
"Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better"," Process of Care Measures","OP_3b","Top 10% of Hospitals submitting data scored equal to or higher than:","39"
"Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better"," Process of Care Measures","OP_5","National Average of Hospitals submitting data:","7"
"Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better"," Process of Care Measures","OP_5","Top 10% of Hospitals submitting data scored equal to or higher than:","3"
"Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better"," Process of Care Measures","OP_2","National Average of Hospitals submitting data:","60"
"Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better"," Process of Care Measures","OP_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better"," Process of Care Measures","OP_4","National Average of Hospitals submitting data:","97"
"Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better"," Process of Care Measures","OP_4","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart attack patients given aspirin at discharge Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_2","National Average of Hospitals submitting data:","99"
"Heart attack patients given aspirin at discharge Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart attack patients given fibrinolytic medication within 30 minutes of arrival Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_7a","National Average of Hospitals submitting data:","60"
"Heart attack patients given fibrinolytic medication within 30 minutes of arrival Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_7a","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart attack patients given PCI within 90 minutes of arrival Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_8a","National Average of Hospitals submitting data:","94"
"Heart attack patients given PCI within 90 minutes of arrival Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_8a","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Median Time to Fibrinolysis"," Process of Care Measures","OP_1","National Average of Hospitals submitting data:","28"
"Median Time to Fibrinolysis"," Process of Care Measures","OP_1","Top 10% of Hospitals submitting data scored equal to or higher than:","19"
"Heart attack patients given a prescription for a statin at discharge Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_10","National Average of Hospitals submitting data:","98"
"Heart attack patients given a prescription for a statin at discharge Higher percentages are better","Heart Attack or Chest Pain Process of Care Measures","AMI_10","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart failure patients given discharge instructions Higher percentages are better","Heart Failure Process of Care Measures","HF_1","National Average of Hospitals submitting data:","93"
"Heart failure patients given discharge instructions Higher percentages are better","Heart Failure Process of Care Measures","HF_1","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart failure patients given an evaluation of Left Ventricular Systolic (LVS) function Higher percentages are better","Heart Failure Process of Care Measures","HF_2","National Average of Hospitals submitting data:","99"
"Heart failure patients given an evaluation of Left Ventricular Systolic (LVS) function Higher percentages are better","Heart Failure Process of Care Measures","HF_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart failure patients given ACE inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD) Higher percentages are better","Heart Failure Process of Care Measures","HF_3","National Average of Hospitals submitting data:","96"
"Heart failure patients given ACE inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD) Higher percentages are better","Heart Failure Process of Care Measures","HF_3","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics Higher percentages are better","Pneumonia Process of Care Measures","PN_3b","National Average of Hospitals submitting data:","97"
"Pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics Higher percentages are better","Pneumonia Process of Care Measures","PN_3b","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Pneumonia patients given the most appropriate initial antibiotic(s) Higher percentages are better","Pneumonia Process of Care Measures","PN_6","National Average of Hospitals submitting data:","95"
"Pneumonia patients given the most appropriate initial antibiotic(s) Higher percentages are better","Pneumonia Process of Care Measures","PN_6","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Outpatients having surgery who got an antibiotic at the right time (within one hour before surgery) Higher percentages are better"," Process of Care Measures","OP_6","National Average of Hospitals submitting data:","96"
"Outpatients having surgery who got an antibiotic at the right time (within one hour before surgery) Higher percentages are better"," Process of Care Measures","OP_6","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Outpatients having surgery who got the right kind of antibiotic Higher percentages are better"," Process of Care Measures","OP_7","National Average of Hospitals submitting data:","97"
"Outpatients having surgery who got the right kind of antibiotic Higher percentages are better"," Process of Care Measures","OP_7","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Surgery patients who were taking heart drugs called beta blockers before coming to the hospital, who were kept on the beta blockers during the period just before and after their surgery Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_CARD_2","National Average of Hospitals submitting data:","96"
"Surgery patients who were taking heart drugs called beta blockers before coming to the hospital, who were kept on the beta blockers during the period just before and after their surgery Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_CARD_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_1","National Average of Hospitals submitting data:","98"
"Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_1","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Surgery patients who were given the right kind of antibiotic to help prevent infection Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_2","National Average of Hospitals submitting data:","98"
"Surgery patients who were given the right kind of antibiotic to help prevent infection Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery) Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_3","National Average of Hospitals submitting data:","97"
"Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery) Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_3","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_4","National Average of Hospitals submitting data:","96"
"Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_4","Top 10% of Hospitals submitting data scored equal to or higher than:","99"
"Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_VTE_1","National Average of Hospitals submitting data:","98"
"Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_VTE_1","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_VTE_2","National Average of Hospitals submitting data:","97"
"Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_VTE_2","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_9","National Average of Hospitals submitting data:","95"
"Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_9","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal by the end of surgery Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_10","National Average of Hospitals submitting data:","100"
"Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal by the end of surgery Higher percentages are better","Surgical Care Improvement Project Process of Care Measures","SCIP_INF_10","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Children who received reliever medication while hospitalized for asthma Higher percentages are better","Children's Asthma Process of Care Measures","CAC_1","National Average of Hospitals submitting data:","100"
"Children who received systemic corticosteroid medication (oral and IV medication that reduces inflammation and controls symptoms) while hospitalized for asthma Higher percentages are better","Children's Asthma Process of Care Measures","CAC_2","National Average of Hospitals submitting data:","100"
"Children and their caregivers who received a home management plan of care document while hospitalized for asthma Higher percentages are better","Children's Asthma Process of Care Measures","CAC_3","National Average of Hospitals submitting data:","85"
"Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better","Emergency Department Care Process of Care Measures","ED_1b","National Average of Hospitals submitting data:","277"
"Average (median) time patients spent in the emergency department, before they were admitted to the hospital as an inpatient A lower number of minutes is better","Emergency Department Care Process of Care Measures","ED_1b","Top 10% of Hospitals submitting data scored equal to or higher than:","175"
"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","Emergency Department Care Process of Care Measures","ED_2b","National Average of Hospitals submitting data:","98"
"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better","Emergency Department Care Process of Care Measures","ED_2b","Top 10% of Hospitals submitting data scored equal to or higher than:","43"
"Average time patients spent in the emergency department before being sent home A lower number of minutes is better"," Process of Care Measures","OP_18b","National Average of Hospitals submitting data:","140"
"Average time patients spent in the emergency department before being sent home A lower number of minutes is better"," Process of Care Measures","OP_18b","Top 10% of Hospitals submitting data scored equal to or higher than:","93"
"Average time patients spent in the emergency department before they were seen by a healthcare professional A lower number of minutes is better"," Process of Care Measures","OP_20","National Average of Hospitals submitting data:","30"
"Average time patients spent in the emergency department before they were seen by a healthcare professional A lower number of minutes is better"," Process of Care Measures","OP_20","Top 10% of Hospitals submitting data scored equal to or higher than:","14"
"Average time patients who came to the emergency department with broken bones had to wait before receiving pain medication A lower number of minutes is better"," Process of Care Measures","OP_21","National Average of Hospitals submitting data:","62"
"Average time patients who came to the emergency department with broken bones had to wait before receiving pain medication A lower number of minutes is better"," Process of Care Measures","OP_21","Top 10% of Hospitals submitting data scored equal to or higher than:","36"
"Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better"," Process of Care Measures","OP_23","National Average of Hospitals submitting data:","43"
"Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better"," Process of Care Measures","OP_23","Top 10% of Hospitals submitting data scored equal to or higher than:","100"
"Patients assessed and given influenza vaccination Higher percentages are better","Preventive Care Process of Care Measures","IMM_2","National Average of Hospitals submitting data:","86"
"Patients assessed and given influenza vaccination Higher percentages are better","Preventive Care Process of Care Measures","IMM_2","Top 10% of Hospitals submitting data scored equal to or higher than:","98"
"Patients assessed and given pneumonia vaccination Higher percentages are better","Preventive Care Process of Care Measures","IMM_1a","National Average of Hospitals submitting data:","88"
"Patients assessed and given pneumonia vaccination Higher percentages are better","Preventive Care Process of Care Measures","IMM_1a","Top 10% of Hospitals submitting data scored equal to or higher than:","98"
