"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Number Of Cases"
"AK","282","Acute myocardial infarction, discharged alive w/o CC/MCC","42"
"AL","282","Acute myocardial infarction, discharged alive w/o CC/MCC","642"
"AR","282","Acute myocardial infarction, discharged alive w/o CC/MCC","377"
"AZ","282","Acute myocardial infarction, discharged alive w/o CC/MCC","399"
"CA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1980"
"CO","282","Acute myocardial infarction, discharged alive w/o CC/MCC","246"
"CT","282","Acute myocardial infarction, discharged alive w/o CC/MCC","371"
"DC","282","Acute myocardial infarction, discharged alive w/o CC/MCC","65"
"DE","282","Acute myocardial infarction, discharged alive w/o CC/MCC","101"
"FL","282","Acute myocardial infarction, discharged alive w/o CC/MCC","2219"
"GA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","824"
"GU","282","Acute myocardial infarction, discharged alive w/o CC/MCC","27"
"HI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","136"
"IA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","332"
"ID","282","Acute myocardial infarction, discharged alive w/o CC/MCC","88"
"IL","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1199"
"IN","282","Acute myocardial infarction, discharged alive w/o CC/MCC","683"
"KS","282","Acute myocardial infarction, discharged alive w/o CC/MCC","238"
"KY","282","Acute myocardial infarction, discharged alive w/o CC/MCC","652"
"LA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","428"
"MA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","901"
"MD","282","Acute myocardial infarction, discharged alive w/o CC/MCC","849"
"ME","282","Acute myocardial infarction, discharged alive w/o CC/MCC","342"
"MI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1372"
"MN","282","Acute myocardial infarction, discharged alive w/o CC/MCC","401"
"MO","282","Acute myocardial infarction, discharged alive w/o CC/MCC","595"
"MS","282","Acute myocardial infarction, discharged alive w/o CC/MCC","471"
"MT","282","Acute myocardial infarction, discharged alive w/o CC/MCC","66"
"NC","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1223"
"ND","282","Acute myocardial infarction, discharged alive w/o CC/MCC","67"
"NE","282","Acute myocardial infarction, discharged alive w/o CC/MCC","202"
"NH","282","Acute myocardial infarction, discharged alive w/o CC/MCC","196"
"NJ","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1393"
"NM","282","Acute myocardial infarction, discharged alive w/o CC/MCC","166"
"NV","282","Acute myocardial infarction, discharged alive w/o CC/MCC","166"
"NY","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1915"
"OH","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1086"
"OK","282","Acute myocardial infarction, discharged alive w/o CC/MCC","452"
"OR","282","Acute myocardial infarction, discharged alive w/o CC/MCC","284"
"PA","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1427"
"PR","282","Acute myocardial infarction, discharged alive w/o CC/MCC","460"
"RI","282","Acute myocardial infarction, discharged alive w/o CC/MCC","129"
"SC","282","Acute myocardial infarction, discharged alive w/o CC/MCC","571"
"SD","282","Acute myocardial infarction, discharged alive w/o CC/MCC","107"
"TN","282","Acute myocardial infarction, discharged alive w/o CC/MCC","920"
"TX","282","Acute myocardial infarction, discharged alive w/o CC/MCC","1850"
"UT","282","Acute myocardial infarction, discharged alive w/o CC/MCC","75"
