"State","Condition","Measure Name","Measure Code","Score"
"AK"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","150"
"AL"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","65"
"AR"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","48"
"AS"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"AZ"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","51"
"CA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60"
"CO"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","50"
"CT"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","66"
"DC"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","75"
"DE"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","67"
"FL"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54"
"GA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60"
"GU"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"HI"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","211"
"IA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","63"
"ID"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","53"
"IL"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","63"
"IN"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","45"
"KS"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","68"
"KY"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","60"
"LA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","107"
"MA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","59"
"MD"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"ME"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","50"
"MI"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","55"
"MN"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","52"
"MO"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","71"
"MP"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"MS"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","63"
"MT"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","151"
"NC"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","47"
"ND"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","120"
"NE"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","71"
"NH"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","50"
"NJ"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","80"
"NM"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","79"
"NV"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","145"
"NY"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","74"
"OH"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","62"
"OK"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","72"
"OR"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","52"
"PA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","66"
"PR"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"RI"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","66"
"SC"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","56"
"SD"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","61"
"TN"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","50"
"TX"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","63"
"UT"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","43"
"VA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","58"
"VI"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","Not Available"
"VT"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","27"
"WA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","50"
"WI"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","54"
"WV"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","97"
"WY"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","OP_3b","186"
"AK"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"AL"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","6"
"AR"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"AS"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","Not Available"
"AZ"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"CA"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","8"
"CO"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","7"
"CT"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","9"
"DC"," Process of Care Measures","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","OP_5","12"
