"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Number Of Cases"
"Nation","282","Acute myocardial infarction, discharged alive w/o CC/MCC","31069"
"Nation","280","Acute myocardial infarction, discharged alive w MCC","69641"
"Nation","281","Acute myocardial infarction, discharged alive w CC","48180"
"Nation","293","Heart failure and shock w/o CC/MCC","93489"
"Nation","291","Heart failure and shock w MCC","188525"
"Nation","292","Heart failure and shock w CC","223328"
"Nation","192","Chronic obstructive pulmonary disease w/o CC/MCC","118071"
"Nation","190","Chronic obstructive pulmonary disease w MCC","152206"
"Nation","191","Chronic obstructive pulmonary disease w CC","151233"
"Nation","193","Simple pneumonia and pleurisy w MCC","131486"
"Nation","637","Diabetes w MCC","21756"
"Nation","313","Chest Pain","135174"
"Nation","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","4224"
"Nation","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","14654"
"Nation","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","18186"
"Nation","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","22690"
"Nation","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","21899"
"Nation","226","Cardiac defibrillator implant w/o cardiac cath w MCC","5703"
"Nation","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","3497"
"Nation","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","2575"
"Nation","039","Extracranial procedures w/o CC/MCC","37818"
"Nation","038","Extracranial procedures w CC","12753"
"Nation","236","Coronary bypass w/o cardiac cath w/o MCC","21947"
"Nation","235","Coronary bypass w/o cardiac cath w MCC","8876"
"Nation","244","Permanent cardiac pacemaker implant w/o CC/MCC","33668"
"Nation","243","Permanent cardiac pacemaker implant w CC","35099"
"Nation","247","Perc cardiovasc proc w drug-eluting stent w/o MCC","109511"
"Nation","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","25235"
"Nation","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","17931"
"Nation","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","26998"
"Nation","414","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","4153"
"Nation","355","Hernia procedures except inguinal and femoral w/o CC/MCC","11342"
"Nation","353","Hernia procedures except inguinal and femoral w MCC","3532"
"Nation","354","Hernia procedures except inguinal and femoral w CC","9839"
"Nation","331","Major small and large bowel procedures w/o CC/MCC","24339"
"Nation","330","Major small and large bowel procedures w CC","57325"
"Nation","329","Major small and large bowel procedures w MCC","44183"
"Nation","328","Stomach, esophageal duodenal proc w/o CC/MCC","10131"
"Nation","473","Cervical spinal fusion w/o CC/MCC","28216"
"Nation","471","Cervical spinal fusion w MCC","3159"
"Nation","472","Cervical spinal fusion w CC","10196"
"Nation","460","Spinal fusion except cervical w/o MCC","68672"
"Nation","459","Spinal fusion except cervical w MCC","4339"
"Nation","491","Back and neck proc exc spinal fusion w/o CC/MCC","38626"
"Nation","490","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","19789"
"Nation","508","Major shoulder or elbow joint procedures w/o CC/MCC","693"
"Nation","507","Major shoulder or elbow joint procedures w CC/MCC","637"
"Nation","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","10547"
"Nation","461","Bilateral or multiple major joint procs of lower extremity w MCC","472"
"Nation","470","Major joint replacement or reattachment of lower extremity w/o MCC","428263"
"Nation","469","Major joint replacement or reattachment of lower extremity w MCC","26744"
"Nation","468","Revision of hip or knee replacement w/o CC/MCC","16794"
"Nation","466","Revision of hip or knee replacement w MCC","3960"
"Nation","467","Revision of hip or knee replacement w CC","22752"
"Nation","479","Biopsies of musculoskeletal system and connective tissue w/o CC/MCC","3631"
"Nation","477","Biopsies of musculoskeletal system and connective tissue w MCC","2697"
"Nation","478","Biopsies of musculoskeletal system and connective tissue w CC","7532"
"Nation","515","Other musculoskelet sys and conn tiss O.R. proc w MCC","3876"
"Nation","658","Kidney and ureter procedures for neoplasm w/o CC/MCC","6968"
"Nation","656","Kidney and ureter procedures for neoplasm w MCC","3460"
"Nation","657","Kidney and ureter procedures for neoplasm w CC","8796"
"Nation","659","Kidney and ureter procedures for non-neoplasm w MCC","4214"
"Nation","668","Transurethral procedures w MCC","3515"
"Nation","675","Other kidney and urinary tract procedures w/o CC/MCC","1777"
"Nation","673","Other kidney and urinary tract procedures w MCC","11283"
"Nation","674","Other kidney and urinary tract procedures w CC","8089"
"Nation","714","Transurethral prostatectomy w/o CC/MCC","15105"
"Nation","713","Transurethral prostatectomy w CC/MCC","7845"
"Nation","748","Female reproductive system reconstructive procedures","12841"
"Nation","743","Uterine and adnexa proc for non-malignancy w/o CC/MCC","23693"
