"Provider Number","Condition","Measure Name","Score"
"Nation","Heart Attack or Chest Pain","Heart attack patients given fibrinolytic medication within 30 minutes of arrival Higher percentages are better","60"
"Nation","Heart Attack or Chest Pain","Heart attack patients given PCI within 90 minutes of arrival Higher percentages are better","94"
"Nation","Heart Attack or Chest Pain","Heart attack patients given aspirin at discharge Higher percentages are better","99"
"Nation","Heart Attack or Chest Pain","Heart attack patients given a prescription for a statin at discharge Higher percentages are better","98"
"Nation","Heart Failure","Heart failure patients given discharge instructions Higher percentages are better","93"
"Nation","Heart Failure","Heart failure patients given an evaluation of Left Ventricular Systolic (LVS) function Higher percentages are better","99"
"Nation","Heart Failure","Heart failure patients given ACE inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD) Higher percentages are better","96"
"Nation","Pneumonia","Pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics Higher percentages are better","97"
"Nation","Pneumonia","Pneumonia patients given the most appropriate initial antibiotic(s) Higher percentages are better","95"
"Nation","Surgical Care Improvement Project","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection Higher percentages are better","98"
"Nation","Surgical Care Improvement Project","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery) Higher percentages are better","97"
"Nation","Surgical Care Improvement Project","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery Higher percentages are better","97"
"Nation","Surgical Care Improvement Project","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital, who were kept on the beta blockers during the period just before and after their surgery Higher percentages are better","96"
"Nation","Surgical Care Improvement Project","Surgery patients who were given the right kind of antibiotic to help prevent infection Higher percentages are better","98"
"Nation","Surgical Care Improvement Project","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery Higher percentages are better","96"
"Nation","Surgical Care Improvement Project","Surgery patients whose urinary catheters were removed on the first or second day after surgery Higher percentages are better","95"
"Nation","Surgical Care Improvement Project","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal by the end of surgery Higher percentages are better","100"
"Nation","Surgical Care Improvement Project","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries Higher percentages are better","98"
"Nation","Children's Asthma","Children who received reliever medication while hospitalized for asthma Higher percentages are better","100"
"Nation","Children's Asthma","Children who received systemic corticosteroid medication (oral and IV medication that reduces inflammation and controls symptoms) while hospitalized for asthma Higher percentages are better","100"
"Nation","Children's Asthma","Children and their caregivers who received a home management plan of care document while hospitalized for asthma Higher percentages are better","85"
"Nation","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better","59"
"Nation","Heart Attack or Chest Pain","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG A lower number of minutes is better","7"
"Nation","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better","60"
"Nation","Heart Attack or Chest Pain","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival Higher percentages are better","97"
"Nation","Surgical Care Improvement Project","Outpatients having surgery who got an antibiotic at the right time (within one hour before surgery) Higher percentages are better","96"
"Nation","Surgical Care Improvement Project","Outpatients having surgery who got the right kind of antibiotic Higher percentages are better","97"
"Nation","Heart Attack or Chest Pain","Median Time to Fibrinolysis","28"
