"prvdr_id","msr_cd","scr","footnote"
"AK","ED_1b","274",""
"AK","ED_2b","102",""
"AK","OP_18b","125",""
"AK","OP_20","22",""
"AK","OP_21","53",""
"AK","OP_23","42",""
"AL","ED_1b","240",""
"AL","ED_2b","74",""
"AL","OP_18b","138",""
"AL","OP_20","36",""
"AL","OP_21","71",""
"AL","OP_23","31",""
"AR","ED_1b","223",""
"AR","ED_2b","70",""
"AR","OP_18b","129",""
"AR","OP_20","31",""
"AR","OP_21","70",""
"AR","OP_23","43",""
"AS","ED_1b","Not Available",""
"AS","ED_2b","Not Available",""
"AS","OP_18b","Not Available",""
"AS","OP_20","Not Available",""
"AS","OP_21","Not Available",""
"AS","OP_23","Not Available",""
"AZ","ED_1b","292",""
"AZ","ED_2b","102",""
"AZ","OP_18b","170",""
"AZ","OP_20","28",""
"AZ","OP_21","60",""
"AZ","OP_23","36",""
"CA","ED_1b","334",""
"CA","ED_2b","124",""
"CA","OP_18b","173",""
"CA","OP_20","33",""
"CA","OP_21","69",""
"CA","OP_23","37",""
"CO","ED_1b","244",""
"CO","ED_2b","92",""
"CO","OP_18b","141",""
"CO","OP_20","21",""
"CO","OP_21","48",""
"CO","OP_23","49",""
"CT","ED_1b","351",""
"CT","ED_2b","145",""
"CT","OP_18b","135",""
"CT","OP_20","31",""
"CT","OP_21","61",""
"CT","OP_23","51",""
"DC","ED_1b","452",""
"DC","ED_2b","214",""
"DC","OP_18b","200",""
"DC","OP_20","63",""
"DC","OP_21","83",""
"DC","OP_23","0",""
"DE","ED_1b","387",""
"DE","ED_2b","174",""
"DE","OP_18b","156",""
"DE","OP_20","41",""
"DE","OP_21","78",""
"DE","OP_23","44",""
"FL","ED_1b","315",""
"FL","ED_2b","124",""
"FL","OP_18b","160",""
"FL","OP_20","30",""
"FL","OP_21","69",""
"FL","OP_23","49",""
"GA","ED_1b","279",""
"GA","ED_2b","92",""
"GA","OP_18b","148",""
"GA","OP_20","35",""
"GA","OP_21","70",""
"GA","OP_23","29",""
"GU","ED_1b","Not Available",""
"GU","ED_2b","Not Available",""
"GU","OP_18b","Not Available",""
"GU","OP_20","Not Available",""
"GU","OP_21","Not Available",""
"GU","OP_23","Not Available",""
"HI","ED_1b","330",""
"HI","ED_2b","149",""
"HI","OP_18b","142",""
"HI","OP_20","25",""
"HI","OP_21","61",""
"HI","OP_23","36",""
"IA","ED_1b","198",""
"IA","ED_2b","55",""
"IA","OP_18b","108",""
"IA","OP_20","21",""
"IA","OP_21","47",""
"IA","OP_23","52",""
"ID","ED_1b","238",""
"ID","ED_2b","84",""
"ID","OP_18b","130",""
"ID","OP_20","19",""
"ID","OP_21","51",""
"ID","OP_23","20",""
"IL","ED_1b","265",""
"IL","ED_2b","92",""
"IL","OP_18b","142",""
"IL","OP_20","33",""
"IL","OP_21","57",""
"IL","OP_23","52",""
"IN","ED_1b","239",""
"IN","ED_2b","80",""
"IN","OP_18b","133",""
"IN","OP_20","27",""
"IN","OP_21","55",""
"IN","OP_23","51",""
"KS","ED_1b","180",""
"KS","ED_2b","55",""
"KS","OP_18b","107",""
"KS","OP_20","21",""
"KS","OP_21","48",""
"KS","OP_23","38",""
"KY","ED_1b","244",""
"KY","ED_2b","78",""
"KY","OP_18b","133",""
"KY","OP_20","28",""
"KY","OP_21","61",""
"KY","OP_23","37",""
"LA","ED_1b","266",""
"LA","ED_2b","87",""
"LA","OP_18b","132",""
"LA","OP_20","32",""
"LA","OP_21","66",""
"LA","OP_23","36",""
"MA","ED_1b","311",""
"MA","ED_2b","117",""
"MA","OP_18b","152",""
"MA","OP_20","40",""
"MA","OP_21","61",""
"MA","OP_23","60",""
"MD","ED_1b","367",""
"MD","ED_2b","151",""
"MD","OP_18b","Not Available",""
"MD","OP_20","Not Available",""
"MD","OP_21","Not Available",""
"MD","OP_23","Not Available",""
"ME","ED_1b","281",""
"ME","ED_2b","116",""
"ME","OP_18b","119",""
"ME","OP_20","28",""
"ME","OP_21","57",""
"ME","OP_23","31",""
"MI","ED_1b","291",""
"MI","ED_2b","106",""
"MI","OP_18b","134",""
"MI","OP_20","24",""
"MI","OP_21","57",""
"MI","OP_23","40",""
"MN","ED_1b","202",""
"MN","ED_2b","61",""
"MN","OP_18b","126",""
"MN","OP_20","27",""
"MN","OP_21","48",""
"MN","OP_23","39",""
"MO","ED_1b","239",""
"MO","ED_2b","77",""
"MO","OP_18b","138",""
"MO","OP_20","30",""
"MO","OP_21","59",""
"MO","OP_23","54",""
"MP","ED_1b","Not Available",""
"MP","ED_2b","Not Available",""
"MP","OP_18b","Not Available",""
"MP","OP_20","Not Available",""
"MP","OP_21","Not Available",""
"MP","OP_23","Not Available",""
"MS","ED_1b","217",""
"MS","ED_2b","60",""
"MS","OP_18b","122",""
"MS","OP_20","35",""
"MS","OP_21","70",""
"MS","OP_23","31",""
"MT","ED_1b","219",""
"MT","ED_2b","64",""
