"prvdr_id","msr_cd","scr","footnote"
,,,
"340002","HAI_1_SIR","0.22",""
"340002","HAI_1_ELIGCASES","27.646",""
"340002","HAI_1_NUMERATOR","6",""
"340002","HAI_1_DEVICEDAYS","Not Available","4"
"340002","HAI_1_CI_UPPER","0.472",""
"340002","HAI_1_CI_LOWER","0.080",""
"340002","HAI_2_SIR","0.59",""
"340002","HAI_2_ELIGCASES","8.422",""
"340002","HAI_2_NUMERATOR","5",""
"340002","HAI_2_DEVICEDAYS","3781",""
"340002","HAI_2_CI_UPPER","1.385",""
"340002","HAI_2_CI_LOWER","0.193",""
"340002","HAI_3_SIR","0.65",""
"340002","HAI_3_ELIGCASES","3.069",""
"340002","HAI_3_NUMERATOR","2",""
"340002","HAI_3_PROCDAYS","97",""
"340002","HAI_3_CI_UPPER","2.354",""
"340002","HAI_3_CI_LOWER","0.079",""
"340002","HAI_4_SIR","Not Available","5"
"340002","HAI_4_ELIGCASES","0.703","5"
"340002","HAI_4_NUMERATOR","1","5"
"340002","HAI_4_PROCDAYS","76","5"
"340002","HAI_4_CI_UPPER",,"5"
"340002","HAI_4_CI_LOWER",,"5"
"340004","HAI_1_SIR","0.55",""
"340004","HAI_1_ELIGCASES","3.643",""
"340004","HAI_1_NUMERATOR","2",""
"340004","HAI_1_DEVICEDAYS","Not Available","4"
"340004","HAI_1_CI_UPPER","1.983",""
"340004","HAI_1_CI_LOWER","0.066",""
"340004","HAI_2_SIR","0.00",""
"340004","HAI_2_ELIGCASES","1.771",""
"340004","HAI_2_NUMERATOR","0",""
"340004","HAI_2_DEVICEDAYS","1185",""
"340004","HAI_2_CI_UPPER","2.083",""
"340004","HAI_2_CI_LOWER",,""
"340004","HAI_3_SIR","Not Available","5"
"340004","HAI_3_ELIGCASES","0.978","5"
"340004","HAI_3_NUMERATOR","0","5"
"340004","HAI_3_PROCDAYS","30","5"
"340004","HAI_3_CI_UPPER",,"5"
"340004","HAI_3_CI_LOWER",,"5"
"340004","HAI_4_SIR","Not Available","5"
"340004","HAI_4_ELIGCASES","0.301","5"
"340004","HAI_4_NUMERATOR","0","5"
"340004","HAI_4_PROCDAYS","25","5"
"340004","HAI_4_CI_UPPER",,"5"
"340004","HAI_4_CI_LOWER",,"5"
"340027","HAI_1_SIR","2.70",""
"340027","HAI_1_ELIGCASES","1.853",""
"340027","HAI_1_NUMERATOR","5",""
"340027","HAI_1_DEVICEDAYS","Not Available","4"
"340027","HAI_1_CI_UPPER","6.297",""
"340027","HAI_1_CI_LOWER","0.876",""
"340027","HAI_2_SIR","Not Available","5"
"340027","HAI_2_ELIGCASES","0.888","5"
"340027","HAI_2_NUMERATOR","0","5"
"340027","HAI_2_DEVICEDAYS","683","5"
"340027","HAI_2_CI_UPPER",,"5"
"340027","HAI_2_CI_LOWER",,"5"
"340027","HAI_3_SIR","Not Available","5"
"340027","HAI_3_ELIGCASES","0.509","5"
"340027","HAI_3_NUMERATOR","1","5"
"340027","HAI_3_PROCDAYS","15","5"
"340027","HAI_3_CI_UPPER",,"5"
"340027","HAI_3_CI_LOWER",,"5"
"340027","HAI_4_SIR","Not Available","5"
"340027","HAI_4_ELIGCASES","0.227","5"
"340027","HAI_4_NUMERATOR","0","5"
"340027","HAI_4_PROCDAYS","18","5"
"340027","HAI_4_CI_UPPER",,"5"
"340027","HAI_4_CI_LOWER",,"5"
"500064","HAI_1_SIR","0.59",""
"500064","HAI_1_ELIGCASES","40.791",""
"500064","HAI_1_NUMERATOR","24",""
"500064","HAI_1_DEVICEDAYS","Not Available","4"
"500064","HAI_1_CI_UPPER","0.875",""
"500064","HAI_1_CI_LOWER","0.377",""
"500064","HAI_2_SIR","0.95",""
"500064","HAI_2_ELIGCASES","16.835",""
"500064","HAI_2_NUMERATOR","16",""
"500064","HAI_2_DEVICEDAYS","4445",""
"500064","HAI_2_CI_UPPER","1.543",""
"500064","HAI_2_CI_LOWER","0.543",""
"500064","HAI_3_SIR","Not Available","5"
"500064","HAI_3_ELIGCASES","0.914","5"
"500064","HAI_3_NUMERATOR","3","5"
"500064","HAI_3_PROCDAYS","29","5"
"500064","HAI_3_CI_UPPER",,"5"
"500064","HAI_3_CI_LOWER",,"5"
"500064","HAI_4_SIR","Not Available","5"
"500064","HAI_4_ELIGCASES","0.069","5"
"500064","HAI_4_NUMERATOR","0","5"
"500064","HAI_4_PROCDAYS","7","5"
"500064","HAI_4_CI_UPPER",,"5"
"500064","HAI_4_CI_LOWER",,"5"
"500124","HAI_1_SIR","0.21",""
"500124","HAI_1_ELIGCASES","4.760",""
"500124","HAI_1_NUMERATOR","1",""
"500124","HAI_1_DEVICEDAYS","Not Available","4"
"500124","HAI_1_CI_UPPER","1.171",""
"500124","HAI_1_CI_LOWER","0.005",""
"500124","HAI_2_SIR","Not Available","5"
"500124","HAI_2_ELIGCASES","0.850","5"
"500124","HAI_2_NUMERATOR","1","5"
"500124","HAI_2_DEVICEDAYS","708","5"
"500124","HAI_2_CI_UPPER",,"5"
"500124","HAI_2_CI_LOWER",,"5"
"500124","HAI_3_SIR","Not Available","5"
"500124","HAI_3_ELIGCASES","0.340","5"
"500124","HAI_3_NUMERATOR","0","5"
"500124","HAI_3_PROCDAYS","11","5"
"500124","HAI_3_CI_UPPER",,"5"
"500124","HAI_3_CI_LOWER",,"5"
"500124","HAI_4_SIR","Not Available","5"
"500124","HAI_4_ELIGCASES","0.232","5"
"500124","HAI_4_NUMERATOR","0","5"
"500124","HAI_4_PROCDAYS","40","5"
"500124","HAI_4_CI_UPPER",,"5"
"500124","HAI_4_CI_LOWER",,"5"
"501303","HAI_1_SIR","Not Available","5"
"501303","HAI_1_ELIGCASES","Not Available","5"
"501303","HAI_1_NUMERATOR","Not Available","5"
"501303","HAI_1_DEVICEDAYS","Not Available","4"
"501303","HAI_1_CI_UPPER",,"5"
