"prvdr_id","scr","msr_cd","ftnt_id"
"010001","1","SPP_1",""
"010005","1.03","SPP_1",""
"010006","1","SPP_1",""
"010007","1.03","SPP_1",""
"010008","1.15","SPP_1",""
"010011","0.99","SPP_1",""
"010012","1.03","SPP_1",""
"010016","1.01","SPP_1",""
"010018","Not Available","SPP_1","16"
"010019","1.09","SPP_1",""
"010021","1","SPP_1",""
"010022","0.98","SPP_1",""
"010023","1.01","SPP_1",""
"010024","1.03","SPP_1",""
"010025","0.94","SPP_1",""
"010027","0.87","SPP_1",""
"010029","0.89","SPP_1",""
"010032","0.91","SPP_1",""
"010033","0.97","SPP_1",""
"010034","0.92","SPP_1",""
"010035","1","SPP_1",""
"010036","0.97","SPP_1",""
"010038","0.99","SPP_1",""
"010039","1","SPP_1",""
"010040","1.06","SPP_1",""
"010043","0.85","SPP_1",""
"010044","0.9","SPP_1",""
"010045","0.94","SPP_1",""
"010046","1.03","SPP_1",""
"010047","0.93","SPP_1",""
"010049","0.95","SPP_1",""
"010050","1.07","SPP_1",""
"010051","0.74","SPP_1",""
"010054","0.97","SPP_1",""
"010055","0.97","SPP_1",""
"010056","1.04","SPP_1",""
"010058","1.04","SPP_1",""
"010059","0.89","SPP_1",""
"010061","0.87","SPP_1",""
"010062","1.06","SPP_1",""
"010065","0.96","SPP_1",""
"010066","0.94","SPP_1",""
"010069","1.01","SPP_1",""
"010073","1.03","SPP_1",""
"010078","1","SPP_1",""
"010079","0.97","SPP_1",""
"010083","1.01","SPP_1",""
"010085","0.97","SPP_1",""
"010086","1.02","SPP_1",""
"010087","0.96","SPP_1",""
"010089","0.97","SPP_1",""
"010090","0.98","SPP_1",""
"010091","0.9","SPP_1",""
"010092","0.99","SPP_1",""
"010095","1.07","SPP_1",""
"010097","1.16","SPP_1",""
"010099","0.98","SPP_1",""
"010100","0.96","SPP_1",""
"010101","0.98","SPP_1",""
"010102","0.92","SPP_1",""
"010103","0.98","SPP_1",""
"010104","1.01","SPP_1",""
"010108","1.05","SPP_1",""
"010109","0.96","SPP_1",""
"010110","1.12","SPP_1",""
"010112","0.99","SPP_1",""
"010113","0.98","SPP_1",""
"010114","0.97","SPP_1",""
"010118","1","SPP_1",""
"010120","0.98","SPP_1",""
"010125","0.94","SPP_1",""
"010126","0.97","SPP_1",""
"010128","0.96","SPP_1",""
"010129","0.87","SPP_1",""
"010130","0.95","SPP_1",""
"010131","0.99","SPP_1",""
"010137","0.97","SPP_1",""
"010138","1.1","SPP_1",""
"010139","1.04","SPP_1",""
"010144","0.99","SPP_1",""
"010146","1.06","SPP_1",""
"010148","0.92","SPP_1",""
"010149","1.01","SPP_1",""
"010150","0.96","SPP_1",""
"010152","1.05","SPP_1",""
"010157","1.07","SPP_1",""
"010158","0.91","SPP_1",""
"010164","0.96","SPP_1",""
"010168","0.94","SPP_1",""
"010169","0.95","SPP_1",""
"020001","0.88","SPP_1",""
"020006","0.78","SPP_1",""
"020008","0.84","SPP_1",""
"020012","0.8","SPP_1",""
"020017","0.85","SPP_1",""
"020018","0.77","SPP_1",""
"020024","0.87","SPP_1",""
"020026","0.77","SPP_1",""
"020027","0.93","SPP_1",""
"030001","0.99","SPP_1",""
"030002","0.98","SPP_1",""
"030006","1","SPP_1",""
"030007","0.95","SPP_1",""
"030010","0.98","SPP_1",""
"030011","1.01","SPP_1",""
"030012","0.95","SPP_1",""
"030013","0.99","SPP_1",""
"030014","0.96","SPP_1",""
"030016","0.96","SPP_1",""
"030022","1.05","SPP_1",""
"030023","0.92","SPP_1",""
"030024","1.01","SPP_1",""
"030030","1","SPP_1",""
"030033","0.91","SPP_1",""
"030036","0.95","SPP_1",""
"030037","0.98","SPP_1",""
"030038","1.05","SPP_1",""
"030043","0.94","SPP_1",""
"030055","0.92","SPP_1",""
"030061","0.96","SPP_1",""
"030062","0.89","SPP_1",""
"030064","0.96","SPP_1",""
"030065","0.97","SPP_1",""
"030067","0.87","SPP_1",""
"030068","0.93","SPP_1",""
"030069","0.89","SPP_1",""
"030071","0.72","SPP_1",""
"030073","0.68","SPP_1",""
"030074","Not Available","SPP_1","16"
"030077","Not Available","SPP_1","16"
"030078","0.73","SPP_1",""
"030083","0.97","SPP_1",""
"030084","0.68","SPP_1",""
"030085","1.04","SPP_1",""
"030087","1.02","SPP_1",""
"030088","0.98","SPP_1",""
"030089","0.99","SPP_1",""
"030092","0.93","SPP_1",""
"030093","0.98","SPP_1",""
"030094","1","SPP_1",""
"030100","0.97","SPP_1",""
"030101","0.91","SPP_1",""
"030103","0.94","SPP_1",""
"030105","0.98","SPP_1",""
"030107","0.96","SPP_1",""
"030108","0.92","SPP_1",""
"030110","0.95","SPP_1",""
