"msr_cd","msr_strt_qtr","msr_strt_dt","msr_end_qtr","msr_end_dt"
"AMI-10","2Q2011","4/1/2011","1Q2012","3/31/2012"
"SCIP-Inf-3","2Q2011","4/1/2011","1Q2012","3/31/2012"
"SCIP-Inf-4","2Q2011","4/1/2011","1Q2012","3/31/2012"
"SCIP-Inf-9","2Q2011","4/1/2011","1Q2012","3/31/2012"
"SCIP-Inf-10","2Q2011","4/1/2011","1Q2012","3/31/2012"
"SCIP-Card-2","2Q2011","4/1/2011","1Q2012","3/31/2012"
"SCIP-VTE-1","2Q2011","4/1/2011","1Q2012","3/31/2012"
"SCIP-VTE-2","2Q2011","4/1/2011","1Q2012","3/31/2012"
"CAC-1","2Q2011","4/1/2011","1Q2012","3/31/2012"
"CAC-2","2Q2011","4/1/2011","1Q2012","3/31/2012"
"CAC-3","2Q2011","4/1/2011","1Q2012","3/31/2012"
"ED-1b","1Q2012","1/1/2012","1Q2012","3/31/2012"
"ED-2b","1Q2012","1/1/2012","1Q2012","3/31/2012"
"IMM-1a","1Q2012","1/1/2012","1Q2012","3/31/2012"
"IMM-2","1Q2012","1/1/2012","1Q2012","3/31/2012"
"N/A","1Q2011","1/1/2011","4Q2011","12/31/2011"
"N/A","1Q2011","1/1/2011","4Q2011","12/31/2011"
"N/A","1Q2011","1/1/2011","4Q2011","12/31/2011"
"HCAHPS","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Q8","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Q9","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Composite 6 (Q19 & Q20)","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Q21","2Q2011","4/1/2011","1Q2012","3/31/2012"
"Q22","2Q2011","4/1/2011","1Q2012","3/31/2012"
"MORT-30-AMI","3Q2008","7/1/2008","2Q2011","6/30/2011"
"MORT-30-HF","3Q2008","7/1/2008","2Q2011","6/30/2011"
"MORT-30-PN","3Q2008","7/1/2008","2Q2011","6/30/2011"
"READM-30-AMI","3Q2008","7/1/2008","2Q2011","6/30/2011"
"READM-30-HF","3Q2008","7/1/2008","2Q2011","6/30/2011"
"READM-30-PN","3Q2008","7/1/2008","2Q2011","6/30/2011"
"PSI-4","3Q2009","7/1/2009","2Q2011","6/30/2011"
"PSI-6","3Q2009","7/1/2009","2Q2011","6/30/2011"
"PSI-11","3Q2009","7/1/2009","2Q2011","6/30/2011"
"PSI-12","3Q2009","7/1/2009","2Q2011","6/30/2011"
"PSI-14","3Q2009","7/1/2009","2Q2011","6/30/2011"
"PSI-15","3Q2009","7/1/2009","2Q2011","6/30/2011"
"PSI-90","3Q2009","7/1/2009","2Q2011","6/30/2011"
"IQI-11","3Q2009","7/1/2009","2Q2011","6/30/2011"
"IQI-19","3Q2009","7/1/2009","2Q2011","6/30/2011"
"IQI-91","3Q2009","7/1/2009","2Q2011","6/30/2011"
"MPV","4Q2010","10/1/2010","3Q2011","9/30/2011"
"HAC-1","3Q2009","7/1/2009","2Q2011","6/30/2011"
"HAC-2","3Q2009","7/1/2009","2Q2011","6/30/2011"
"HAC-3","3Q2009","7/1/2009","2Q2011","6/30/2011"
"HAC-4","3Q2009","7/1/2009","2Q2011","6/30/2011"
"HAC-5","3Q2009","7/1/2009","2Q2011","6/30/2011"
"HAC-6","3Q2009","7/1/2009","2Q2011","6/30/2011"
"HAC-7","3Q2009","7/1/2009","2Q2011","6/30/2011"
"HAC-8","3Q2009","7/1/2009","2Q2011","6/30/2011"
"HAI-1","2Q2011","4/1/2011","1Q2012","3/31/2012"
"HAI-2","1Q2012","1/1/2012","1Q2012","3/31/2012"
"HAI-3","1Q2012","1/1/2012","1Q2012","3/31/2012"
"HAI-4","1Q2012","1/1/2012","1Q2012","3/31/2012"
"AMI-2","2Q2011","4/1/2011","1Q2012","3/31/2012"
"AMI-7a","2Q2011","4/1/2011","1Q2012","3/31/2012"
"AMI-8a","2Q2011","4/1/2011","1Q2012","3/31/2012"
"HF-1","2Q2011","4/1/2011","1Q2012","3/31/2012"
"HF-2","2Q2011","4/1/2011","1Q2012","3/31/2012"
"HF-3","2Q2011","4/1/2011","1Q2012","3/31/2012"
"PN-3b","2Q2011","4/1/2011","1Q2012","3/31/2012"
"PN-6","2Q2011","4/1/2011","1Q2012","3/31/2012"
"SCIP-Inf-1","2Q2011","4/1/2011","1Q2012","3/31/2012"
"SCIP-Inf-2","2Q2011","4/1/2011","1Q2012","3/31/2012"
"OP-23","1Q2012","1/1/2012","1Q2012","3/31/2012"
"OP-1","2Q2011","4/1/2011","1Q2012","3/31/2012"
"OP-2","2Q2011","4/1/2011","1Q2012","3/31/2012"
"OP-3b","2Q2011","4/1/2011","1Q2012","3/31/2012"
"OP-4","2Q2011","4/1/2011","1Q2012","3/31/2012"
"OP-5","2Q2011","4/1/2011","1Q2012","3/31/2012"
"OP-6","2Q2011","4/1/2011","1Q2012","3/31/2012"
"OP-7","2Q2011","4/1/2011","1Q2012","3/31/2012"
"OP-18b","1Q2012","1/1/2012","1Q2012","3/31/2012"
"OP-20","1Q2012","1/1/2012","1Q2012","3/31/2012"
"OP-21","1Q2012","1/1/2012","1Q2012","3/31/2012"
"OP-8","1Q2010","1/1/2010","4Q2010","12/31/2010"
"OP-9","1Q2010","1/1/2010","4Q2010","12/31/2010"
"OP-10","1Q2010","1/1/2010","4Q2010","12/31/2010"
"OP-11","1Q2010","1/1/2010","4Q2010","12/31/2010"
"OP-13","1Q2010","1/1/2010","4Q2010","12/31/2010"
"OP-14","1Q2010","1/1/2010","4Q2010","12/31/2010"
"OP-12","1Q2011","1/1/2011","4Q2011","12/31/2011"
"OP-17","1Q2011","1/1/2011","4Q2011","12/31/2011"
"OP-22","1Q2011","1/1/2011","4Q2011","12/31/2011"
