"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","AMI-7a Performance Rate","AMI-7a Achievement Points","AMI-7a Improvement Points","AMI-7a Measure Score","AMI-8a Performance Rate","AMI-8a Achievement Points","AMI Condition/Procedure Score","AMI-8a Improvement Points","AMI-8a Measure Score"
1,"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","MOBILE","MOBILE","AL","36652","N/A","N/A","N/A","N/A","0.8333","0 out of 10","1","1 out of 9","1 out of 10"
2,"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","JEFFERSON","AL","35021","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
3,"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","DALLAS","AL","36701","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
4,"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","MONROEVILLE","MONROE","AL","36461","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
5,"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","HALEYVILLE","WINSTON","AL","35565","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
6,"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","PIKE","AL","36081","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
7,"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","BALDWIN","AL","36507","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
8,"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","MADISON","AL","35801","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
9,"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","BIRMINGHAM","JEFFERSON","AL","35233","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
10,"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","JEFFERSON","AL","35209","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
11,"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","MOBILE","MOBILE","AL","36608","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
12,"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","JACKSONVILLE","CALHOUN","AL","36265","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
13,"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","MONTGOMERY","AL","36117","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
14,"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","BUTLER","AL","36037","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
15,"010152","INFIRMARY WEST","5600 GIRBY RD","MOBILE","MOBILE","AL","36693","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
16,"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","COLBERT","AL","35661","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
17,"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","FRANKLIN","AL","35653","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
18,"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","TALLADEGA","AL","35150","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
19,"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","RUSSELL","AL","36867","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
20,"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","ANCHORAGE","ANCHORAGE","AK","99519","N/A","N/A","N/A","N/A","0.8780","0 out of 10","0","0 out of 9","0 out of 10"
21,"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","MATANUSKA-SUSITNA","AK","99645","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
22,"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","JUNEAU","AK","99801","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
23,"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","FAIRBANKS","AK","99701","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
24,"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","ANCHORAGE","ANCHORAGE","AK","99508","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
25,"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","SOLDOTNA","KENAI-COOK INLET","AK","99669","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
26,"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","ANCHORAGE","AK","99508","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
27,"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","PHOENIX","MARICOPA","AZ","85031","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
28,"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","PHOENIX","MARICOPA","AZ","85006","N/A","N/A","N/A","N/A","0.9310","2 out of 10","5","5 out of 9","5 out of 10"
29,"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","PIMA","AZ","85712","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
30,"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","COTTONWOOD","YAVAPAI","AZ","86326","N/A","N/A","N/A","N/A","0.9412","3 out of 10","3","2 out of 9","3 out of 10"
31,"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","TUCSON","PIMA","AZ","85745","N/A","N/A","N/A","N/A","0.9423","3 out of 10","3","0 out of 9","3 out of 10"
32,"030011","CARONDELET ST JOSEPHS HOSPITAL","350 NORTH WILMOT ROAD","TUCSON","PIMA","AZ","85711","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
33,"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","PRESCOTT","YAVAPAI","AZ","86301","N/A","N/A","N/A","N/A","0.8800","0 out of 10","7","7 out of 9","7 out of 10"
34,"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","YUMA","YUMA","AZ","85364","N/A","N/A","N/A","N/A","0.8545","0 out of 10","0","0 out of 9","0 out of 10"
35,"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","PHOENIX","MARICOPA","AZ","85020","N/A","N/A","N/A","N/A","0.8621","0 out of 10","0","0 out of 9","0 out of 10"
36,"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","CASA GRANDE","PINAL","AZ","85222","N/A","N/A","N/A","N/A","0.9091","0 out of 10","0","N/A","0 out of 10"
37,"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","MARICOPA","AZ","85008","N/A","N/A","N/A","N/A","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
38,"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","FLAGSTAFF","COCONINO","AZ","86001","N/A","N/A","N/A","N/A","0.8824","0 out of 10","7","7 out of 9","7 out of 10"
39,"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","PHOENIX","MARICOPA","AZ","85013","N/A","N/A","N/A","N/A","0.9730","7 out of 10","7","3 out of 9","7 out of 10"
