"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","Communication with Nurses Achievement Points","Communication with Nurses Improvement Points","Communication with Nurses Dimension Score","Communication with Doctors Achievement Points","Communication with Doctors Improvement Points","Communication with Doctors Dimension Score","Responsiveness of Hospital Staff Achievement Points","Responsiveness of Hospital Staff Improvement Points","Responsiveness of Hospital Staff Dimension Score","Pain Management Achievement Points","Pain Management Improvement Points","Pain Management Dimension Score","Communication about Medicines Achievement Points","Communication about Medicines Improvement Points","Communication about Medicines Dimension Score","Cleanliness and Quietness of Hospital Environment Achievement Po","Cleanliness and Quietness of Hospital Environment Improvement Po","Cleanliness and Quietness of Hospital Environment Dimension Scor","Discharge Information Achievement Points","Discharge Information Improvement Points","Discharge Information Dimension Score","Overall Rating of Hospital Achievement Points","Overall Rating of Hospital Improvement Points","Overall Rating of Hospital Dimension Score","HCAHPS Base Score","HCAHPS Consistency Score"
1,"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","MADISON","AL","35801","3 out of 10","0 out of 9","3 out of 10","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","2 out of 10","0 out of 9","2 out of 10","3 out of 10","4 out of 9","4 out of 10","3 out of 10","0 out of 9","3 out of 10","4 out of 10","5 out of 9","5 out of 10","5 out of 10","0 out of 9","5 out of 10","23","19"
2,"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","ETOWAH","AL","35903","3 out of 10","2 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","3 out of 9","3 out of 10","3 out of 10","0 out of 9","3 out of 10","3 out of 10","2 out of 9","3 out of 10","4 out of 10","2 out of 9","4 out of 10","21","19"
3,"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","FAYETTE","FAYETTE","AL","35555","10 out of 10","9 out of 9","10 out of 10","10 out of 10","0 out of 9","10 out of 10","9 out of 10","4 out of 9","9 out of 10","10 out of 10","0 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","10 out of 10","9 out of 9","10 out of 10","5 out of 10","7 out of 9","7 out of 10","9 out of 10","7 out of 9","9 out of 10","75","20"
4,"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","ETOWAH","AL","35901","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0 out of 9","0 out of 10","8","14"
5,"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE","COFFEE","AL","36330","6 out of 10","3 out of 9","6 out of 10","8 out of 10","3 out of 9","8 out of 10","1 out of 10","0 out of 9","1 out of 10","4 out of 10","2 out of 9","4 out of 10","5 out of 10","2 out of 9","5 out of 10","4 out of 10","3 out of 9","4 out of 10","4 out of 10","5 out of 9","5 out of 10","5 out of 10","3 out of 9","5 out of 10","38","20"
6,"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","ONEONTA","BLOUNT","AL","35121","7 out of 10","0 out of 9","7 out of 10","9 out of 10","0 out of 9","9 out of 10","7 out of 10","0 out of 9","7 out of 10","8 out of 10","0 out of 9","8 out of 10","6 out of 10","0 out of 9","6 out of 10","7 out of 10","0 out of 9","7 out of 10","0 out of 10","0 out of 9","0 out of 10","4 out of 10","0 out of 9","4 out of 10","48","17"
7,"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","DECATUR","MORGAN","AL","35601","2 out of 10","1 out of 9","2 out of 10","5 out of 10","0 out of 9","5 out of 10","2 out of 10","3 out of 9","3 out of 10","3 out of 10","3 out of 9","3 out of 10","3 out of 10","4 out of 9","4 out of 10","5 out of 10","3 out of 9","5 out of 10","0 out of 10","2 out of 9","2 out of 10","3 out of 10","3 out of 9","3 out of 10","27","18"
8,"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","DOTHAN","HOUSTON","AL","36305","6 out of 10","2 out of 9","6 out of 10","6 out of 10","4 out of 9","6 out of 10","2 out of 10","0 out of 9","2 out of 10","9 out of 10","8 out of 9","9 out of 10","10 out of 10","9 out of 9","10 out of 10","5 out of 10","0 out of 9","5 out of 10","6 out of 10","3 out of 9","6 out of 10","8 out of 10","0 out of 9","8 out of 10","52","20"
9,"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","JEFFERSON","AL","35205","4 out of 10","1 out of 9","4 out of 10","6 out of 10","0 out of 9","6 out of 10","1 out of 10","0 out of 9","1 out of 10","3 out of 10","0 out of 9","3 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","0 out of 9","2 out of 10","2 out of 10","3 out of 9","3 out of 10","6 out of 10","0 out of 9","6 out of 10","27","20"
10,"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","SCOTTSBORO","JACKSON","AL","35768","1 out of 10","1 out of 9","1 out of 10","10 out of 10","9 out of 9","10 out of 10","7 out of 10","7 out of 9","7 out of 10","2 out of 10","3 out of 9","3 out of 10","4 out of 10","6 out of 9","6 out of 10","4 out of 10","1 out of 9","4 out of 10","0 out of 10","2 out of 9","2 out of 10","0 out of 10","1 out of 9","1 out of 10","34","18"
