"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","HF-1 Performance Rate","HF-1 Achievement Points","HF Condition/Procedure Score","HF-1 Improvement Points","HF-1 Measure Score"
1,"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","JEFFERSON","AL","35021","0.8917","0 out of 10","0","0 out of 9","0 out of 10"
2,"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","DALLAS","AL","36701","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
3,"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","MONROEVILLE","MONROE","AL","36461","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
4,"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","HALEYVILLE","WINSTON","AL","35565","0.9375","3 out of 10","6","6 out of 9","6 out of 10"
5,"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","PIKE","AL","36081","0.8605","0 out of 10","3","3 out of 9","3 out of 10"
6,"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","BALDWIN","AL","36507","0.9091","1 out of 10","2","2 out of 9","2 out of 10"
7,"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","MADISON","AL","35801","0.9421","4 out of 10","4","4 out of 9","4 out of 10"
8,"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","BIRMINGHAM","JEFFERSON","AL","35233","0.7333","0 out of 10","5","5 out of 9","5 out of 10"
9,"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","JEFFERSON","AL","35209","0.9896","8 out of 10","8","0 out of 9","8 out of 10"
10,"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","MOBILE","MOBILE","AL","36608","0.9659","6 out of 10","7","7 out of 9","7 out of 10"
11,"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","JACKSONVILLE","CALHOUN","AL","36265","0.7500","0 out of 10","0","0 out of 9","0 out of 10"
12,"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","MONTGOMERY","AL","36117","0.9552","5 out of 10","6","6 out of 9","6 out of 10"
13,"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","BUTLER","AL","36037","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
14,"010152","INFIRMARY WEST","5600 GIRBY RD","MOBILE","MOBILE","AL","36693","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
15,"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","COLBERT","AL","35661","0.5769","0 out of 10","0","0 out of 9","0 out of 10"
16,"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","FRANKLIN","AL","35653","0.9667","6 out of 10","6","0 out of 9","6 out of 10"
17,"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","TALLADEGA","AL","35150","0.9565","5 out of 10","8","8 out of 9","8 out of 10"
18,"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","RUSSELL","AL","36867","N/A","N/A","N/A","N/A","N/A"
19,"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","ANCHORAGE","ANCHORAGE","AK","99519","0.9956","9 out of 10","9","9 out of 9","9 out of 10"
20,"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","MATANUSKA-SUSITNA","AK","99645","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
21,"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","JUNEAU","AK","99801","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
22,"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","FAIRBANKS","AK","99701","0.9815","8 out of 10","8","8 out of 9","8 out of 10"
23,"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","ANCHORAGE","ANCHORAGE","AK","99508","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
24,"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","SOLDOTNA","KENAI-COOK INLET","AK","99669","0.9394","4 out of 10","4","0 out of 9","4 out of 10"
25,"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","ANCHORAGE","AK","99508","0.8841","0 out of 10","6","6 out of 9","6 out of 10"
26,"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","PHOENIX","MARICOPA","AZ","85031","1.0000","10 out of 10","10","9 out of 9","10 out of 10"
27,"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","PHOENIX","MARICOPA","AZ","85006","0.9890","8 out of 10","8","8 out of 9","8 out of 10"
28,"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","PIMA","AZ","85712","0.9825","8 out of 10","8","7 out of 9","8 out of 10"
29,"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","COTTONWOOD","YAVAPAI","AZ","86326","0.9000","0 out of 10","2","2 out of 9","2 out of 10"
30,"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","TUCSON","PIMA","AZ","85745","0.9741","7 out of 10","7","7 out of 9","7 out of 10"
31,"030011","CARONDELET ST JOSEPHS HOSPITAL","350 NORTH WILMOT ROAD","TUCSON","PIMA","AZ","85711","0.9689","6 out of 10","9","9 out of 9","9 out of 10"
32,"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","PRESCOTT","YAVAPAI","AZ","86301","0.7436","0 out of 10","0","0 out of 9","0 out of 10"
33,"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","YUMA","YUMA","AZ","85364","0.9958","9 out of 10","9","9 out of 9","9 out of 10"
34,"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","PHOENIX","MARICOPA","AZ","85020","0.9882","8 out of 10","8","8 out of 9","8 out of 10"
35,"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","CASA GRANDE","PINAL","AZ","85222","0.9310","3 out of 10","3","0 out of 9","3 out of 10"
36,"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","MARICOPA","AZ","85008","0.9519","5 out of 10","7","7 out of 9","7 out of 10"
37,"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","FLAGSTAFF","COCONINO","AZ","86001","0.9100","1 out of 10","7","7 out of 9","7 out of 10"
38,"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","PHOENIX","MARICOPA","AZ","85013","0.9468","4 out of 10","6","6 out of 9","6 out of 10"
39,"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","PHOENIX","MARICOPA","AZ","85015","0.9798","8 out of 10","8","8 out of 9","8 out of 10"
40,"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","PAYSON","GILA","AZ","85541","1.0000","10 out of 10","10","0 out of 9","10 out of 10"
41,"030036","CHANDLER REGIONAL MEDICAL CENTER","475 SOUTH DOBSON ROAD","CHANDLER","MARICOPA","AZ","85224","0.9545","5 out of 10","5","0 out of 9","5 out of 10"
42,"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","PHOENIX","MARICOPA","AZ","85006","0.8929","0 out of 10","0","0 out of 9","0 out of 10"
43,"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","SCOTTSDALE","MARICOPA","AZ","85251","0.8072","0 out of 10","2","2 out of 9","2 out of 10"
44,"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","SIERRA VISTA","COCHISE","AZ","85635","0.8889","0 out of 10","5","5 out of 9","5 out of 10"
45,"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","KINGMAN","MOHAVE","AZ","86409","0.7205","0 out of 10","2","2 out of 9","2 out of 10"
46,"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","MARICOPA","AZ","85351","0.9879","8 out of 10","9","9 out of 9","9 out of 10"
47,"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","SHOW LOW","NAVAJO","AZ","85901","0.9388","4 out of 10","9","9 out of 9","9 out of 10"
48,"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","TUCSON","PIMA","AZ","85724","0.9337","3 out of 10","6","6 out of 9","6 out of 10"
49,"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","MARICOPA","AZ","85202","0.9837","8 out of 10","8","8 out of 9","8 out of 10"
