"ID","Provider Number","Hospital Name","Address","City","County Name","State","ZIP Code","Unweighted Normalized Clinical Process of Care Domain Score","Weighted Clinical Process of Care Domain Score","Unweighted Patient Experience of Care Domain Score","Weighted Patient Experience of Care Domain Score","Total Performance Score"
1,"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","TUSCALOOSA","AL","35401","62.727272727273","43.909090909091","45.000000000000","13.500000000000","57.409090909091"
2,"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","BREWTON","ESCAMBIA","AL","36426","53.333333333333","37.333333333333","68.000000000000","20.400000000000","57.733333333333"
3,"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","FAIRHOPE","BALDWIN","AL","36532","60.909090909091","42.636363636364","56.000000000000","16.800000000000","59.436363636364"
4,"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","TALLADEGA","TALLADEGA","AL","35161","56.250000000000","39.375000000000","38.000000000000","11.400000000000","50.775000000000"
5,"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","JEFFERSON","AL","35211","81.818181818182","57.272727272727","58.000000000000","17.400000000000","74.672727272727"
6,"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","BIRMINGHAM","JEFFERSON","AL","35213","94.545454545455","66.181818181818","62.000000000000","18.600000000000","84.781818181818"
7,"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","PRATTVILLE","AUTAUGA","AL","36067","90.000000000000","63.000000000000","77.000000000000","23.100000000000","86.100000000000"
8,"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON","CARROLLTON","PICKENS","AL","35447","78.000000000000","54.600000000000","81.000000000000","24.300000000000","78.900000000000"
9,"010112","BRYAN W WHITFIELD MEM HOSP INC","105 HIGHWAY 80 EAST","DEMOPOLIS","MARENGO","AL","36732","31.250000000000","21.875000000000","26.000000000000","7.800000000000","29.675000000000"
10,"010113","MOBILE INFIRMARY","5 MOBILE INFIRMARY CIRCLE","MOBILE","MOBILE","AL","36652","54.545454545455","38.181818181818","51.000000000000","15.300000000000","53.481818181818"
11,"010114","MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST","BESSEMER","JEFFERSON","AL","35021","52.222222222222","36.555555555556","26.000000000000","7.800000000000","44.355555555556"
12,"010118","VAUGHAN REG MED CENTER PARKWAY CAMPUS","1015 MEDICAL CENTER PARKWAY","SELMA","DALLAS","AL","36701","97.777777777778","68.444444444444","23.000000000000","6.900000000000","75.344444444444"
13,"010120","MONROE COUNTY HOSPITAL","2016 SOUTH ALABAMA AVENUE","MONROEVILLE","MONROE","AL","36461","67.500000000000","47.250000000000","69.000000000000","20.700000000000","67.950000000000"
14,"010125","LAKELAND COMMUNITY HOSPITAL","42024 HIGHWAY 195 E     POST OFFICE BOX 780","HALEYVILLE","WINSTON","AL","35565","46.000000000000","32.200000000000","41.000000000000","12.300000000000","44.500000000000"
15,"010126","TROY REGIONAL MEDICAL CENTER","1330 HIGHWAY 231 SOUTH","TROY","PIKE","AL","36081","30.000000000000","21.000000000000","33.000000000000","9.900000000000","30.900000000000"
16,"010129","NORTH BALDWIN INFIRMARY","1815 HAND AVENUE","BAY MINETTE","BALDWIN","AL","36507","10.000000000000","7.000000000000","70.000000000000","21.000000000000","28.000000000000"
17,"010131","CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","MADISON","AL","35801","82.000000000000","57.400000000000","48.000000000000","14.400000000000","71.800000000000"
18,"010137","COOPER GREEN MERCY HOSPITAL","1515 6TH AVENUE SOUTH","BIRMINGHAM","JEFFERSON","AL","35233","40.000000000000","28.000000000000","25.000000000000","7.500000000000","35.500000000000"
19,"010139","BROOKWOOD MEDICAL CENTER","2010 BROOKWOOD MEDICAL CENTER DRIVE","BIRMINGHAM","JEFFERSON","AL","35209","77.272727272727","54.090909090909","50.000000000000","15.000000000000","69.090909090909"
20,"010144","SPRINGHILL MEDICAL CENTER","3719 DAUPHIN STREET","MOBILE","MOBILE","AL","36608","75.454545454545","52.818181818182","54.000000000000","16.200000000000","69.018181818182"
21,"010146","JACKSONVILLE MEDICAL CENTER","1701 SOUTH PELHAM ROAD","JACKSONVILLE","CALHOUN","AL","36265","24.285714285714","17.000000000000","60.000000000000","18.000000000000","35.000000000000"
22,"010149","BAPTIST MEDICAL CENTER EAST","400 TAYLOR ROAD","MONTGOMERY","MONTGOMERY","AL","36117","65.555555555556","45.888888888889","55.000000000000","16.500000000000","62.388888888889"
23,"010150","L V STABLER MEMORIAL HOSPITAL","29 L V STABLER DRIVE","GREENVILLE","BUTLER","AL","36037","92.222222222222","64.555555555556","62.000000000000","18.600000000000","83.155555555556"
24,"010152","INFIRMARY WEST","5600 GIRBY RD","MOBILE","MOBILE","AL","36693","62.222222222222","43.555555555556","34.000000000000","10.200000000000","53.755555555556"
25,"010157","SHOALS HOSPITAL","201 WEST AVALON AVENUE","MUSCLE SHOALS","COLBERT","AL","35661","62.222222222222","43.555555555556","27.000000000000","8.100000000000","51.655555555556"
26,"010158","RUSSELLVILLE HOSPITAL","15155 HIGHWAY 43","RUSSELLVILLE","FRANKLIN","AL","35653","82.222222222222","57.555555555556","50.000000000000","15.000000000000","72.555555555556"
27,"010164","COOSA VALLEY MEDICAL CENTER","315 W HICKORY ST","SYLACAUGA","TALLADEGA","AL","35150","65.555555555556","45.888888888889","62.000000000000","18.600000000000","64.488888888889"
28,"010168","JACK HUGHSTON MEMORIAL HOSPITAL","4401 RIVER CHASE DRIVE","PHENIX CITY","RUSSELL","AL","36867","83.750000000000","58.625000000000","80.000000000000","24.000000000000","82.625000000000"
29,"020001","PROVIDENCE ALASKA MEDICAL CENTER","BOX 196604","ANCHORAGE","ANCHORAGE","AK","99519","38.181818181818","26.727272727273","35.000000000000","10.500000000000","37.227272727273"
30,"020006","MAT-SU REGIONAL MEDICAL CENTER","2500 SOUTH WOODWORTH LOOP","PALMER","MATANUSKA-SUSITNA","AK","99645","85.555555555556","59.888888888889","51.000000000000","15.300000000000","75.188888888889"
31,"020008","BARTLETT REGIONAL HOSPITAL","3260 HOSPITAL DR","JUNEAU","JUNEAU","AK","99801","58.888888888889","41.222222222222","58.000000000000","17.400000000000","58.622222222222"
32,"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","FAIRBANKS","FAIRBANKS","AK","99701","55.000000000000","38.500000000000","49.000000000000","14.700000000000","53.200000000000"
33,"020017","ALASKA REGIONAL HOSPITAL","2801 DEBARR ROAD","ANCHORAGE","ANCHORAGE","AK","99508","69.090909090909","48.363636363636","35.000000000000","10.500000000000","58.863636363636"
34,"020024","CENTRAL PENINSULA GENERAL HOSPITAL","250 HOSPITAL PLACE","SOLDOTNA","KENAI-COOK INLET","AK","99669","83.333333333333","58.333333333333","59.000000000000","17.700000000000","76.033333333333"
35,"020026","ALASKA NATIVE MEDICAL CENTER","4315 DIPLOMACY DR","ANCHORAGE","ANCHORAGE","AK","99508","22.222222222222","15.555555555556","39.000000000000","11.700000000000","27.255555555556"
36,"030001","MARYVALE HOSPITAL","5102 WEST CAMPBELL AVENUE","PHOENIX","MARICOPA","AZ","85031","81.250000000000","56.875000000000","40.000000000000","12.000000000000","68.875000000000"
37,"030002","BANNER GOOD SAMARITAN MEDICAL CENTER","1111 EAST MCDOWELL ROAD","PHOENIX","MARICOPA","AZ","85006","67.272727272727","47.090909090909","39.000000000000","11.700000000000","58.790909090909"
38,"030006","TUCSON MEDICAL CENTER","5301 EAST GRANT ROAD","TUCSON","PIMA","AZ","85712","71.818181818182","50.272727272727","40.000000000000","12.000000000000","62.272727272727"
39,"030007","VERDE VALLEY MEDICAL CENTER","269 SOUTH CANDY LANE","COTTONWOOD","YAVAPAI","AZ","86326","54.000000000000","37.800000000000","59.000000000000","17.700000000000","55.500000000000"
40,"030010","CARONDELET ST  MARYS HOSPITAL","1601 WEST ST MARY'S ROAD","TUCSON","PIMA","AZ","85745","76.000000000000","53.200000000000","36.000000000000","10.800000000000","64.000000000000"
41,"030011","CARONDELET ST JOSEPHS HOSPITAL","350 NORTH WILMOT ROAD","TUCSON","PIMA","AZ","85711","74.000000000000","51.800000000000","42.000000000000","12.600000000000","64.400000000000"
42,"030012","YAVAPAI REGIONAL MEDICAL CENTER","1003 WILLOW CREEK ROAD","PRESCOTT","YAVAPAI","AZ","86301","53.636363636364","37.545454545455","20.000000000000","6.000000000000","43.545454545455"
43,"030013","YUMA REGIONAL MEDICAL CENTER","2400 SOUTH AVENUE A","YUMA","YUMA","AZ","85364","41.818181818182","29.272727272727","18.000000000000","5.400000000000","34.672727272727"
44,"030014","JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL","250 EAST DUNLAP AVENUE","PHOENIX","MARICOPA","AZ","85020","63.636363636364","44.545454545455","24.000000000000","7.200000000000","51.745454545455"
45,"030016","CASA GRANDE REGIONAL MEDICAL CENTER","1800 EAST FLORENCE BOULEVARD","CASA GRANDE","PINAL","AZ","85222","47.000000000000","32.900000000000","37.000000000000","11.100000000000","44.000000000000"
46,"030022","MARICOPA MEDICAL CENTER","2601 EAST ROOSEVELT STREET","PHOENIX","MARICOPA","AZ","85008","68.000000000000","47.600000000000","36.000000000000","10.800000000000","58.400000000000"
47,"030023","FLAGSTAFF MEDICAL CENTER","1200 NORTH BEAVER STREET","FLAGSTAFF","COCONINO","AZ","86001","56.363636363636","39.454545454545","30.000000000000","9.000000000000","48.454545454545"
48,"030024","ST JOSEPH'S HOSPITAL AND MEDICAL CENTER","350 WEST THOMAS ROAD","PHOENIX","MARICOPA","AZ","85013","62.727272727273","43.909090909091","30.000000000000","9.000000000000","52.909090909091"
49,"030030","PHOENIX BAPTIST HOSPITAL","2000 WEST BETHANY HOME ROAD","PHOENIX","MARICOPA","AZ","85015","61.818181818182","43.272727272727","44.000000000000","13.200000000000","56.472727272727"
50,"030033","PAYSON REGIONAL MEDICAL CENTER","807 SOUTH PONDEROSA DRIVE","PAYSON","GILA","AZ","85541","75.555555555556","52.888888888889","52.000000000000","15.600000000000","68.488888888889"
51,"030036","CHANDLER REGIONAL MEDICAL CENTER","475 SOUTH DOBSON ROAD","CHANDLER","MARICOPA","AZ","85224","54.545454545455","38.181818181818","34.000000000000","10.200000000000","48.381818181818"
52,"030037","ST LUKES MEDICAL CENTER","1800 EAST VAN BUREN STREET","PHOENIX","MARICOPA","AZ","85006","62.727272727273","43.909090909091","58.000000000000","17.400000000000","61.309090909091"
53,"030038","SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER","7400 EAST OSBORN ROAD","SCOTTSDALE","MARICOPA","AZ","85251","57.272727272727","40.090909090909","34.000000000000","10.200000000000","50.290909090909"
54,"030043","SIERRA VISTA REGIONAL HEALTH CENTER INC","300 EL CAMINO REAL","SIERRA VISTA","COCHISE","AZ","85635","42.222222222222","29.555555555556","31.000000000000","9.300000000000","38.855555555556"
55,"030055","KINGMAN REGIONAL MEDICAL CENTER","3269 STOCKTON HILL ROAD","KINGMAN","MOHAVE","AZ","86409","60.909090909091","42.636363636364","55.000000000000","16.500000000000","59.136363636364"
56,"030061","BANNER BOSWELL MEDICAL CENTER","10401 WEST THUNDERBIRD BOULEVARD","SUN CITY","MARICOPA","AZ","85351","53.636363636364","37.545454545455","47.000000000000","14.100000000000","51.645454545455"
57,"030062","SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER","2200 SHOW LOW LAKE ROAD","SHOW LOW","NAVAJO","AZ","85901","47.777777777778","33.444444444444","37.000000000000","11.100000000000","44.544444444444"
58,"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","TUCSON","PIMA","AZ","85724","45.454545454545","31.818181818182","35.000000000000","10.500000000000","42.318181818182"
59,"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","MESA","MARICOPA","AZ","85202","60.000000000000","42.000000000000","35.000000000000","10.500000000000","52.500000000000"
60,"030067","LA PAZ REGIONAL HOSPITAL","1200 WEST MOHAVE ROAD","PARKER","LAPAZ","AZ","85344","37.500000000000","26.250000000000","41.000000000000","12.300000000000","38.550000000000"
61,"030068","MT GRAHAM REGIONAL MEDICAL CENTER","1600  SOUTH 20TH AVENUE","SAFFORD","GRAHAM","AZ","85546","67.777777777778","47.444444444444","41.000000000000","12.300000000000","59.744444444444"
62,"030069","HAVASU REGIONAL MEDICAL CENTER","101 CIVIC CENTER LANE","LAKE HAVASU CITY","MOHAVE","AZ","86403","44.545454545455","31.181818181818","24.000000000000","7.200000000000","38.381818181818"
63,"030071","FORT DEFIANCE INDIAN HOSPITAL","PO BOX 649","FORT DEFIANCE","APACHE","AZ","86504","28.333333333333","19.833333333333","15.000000000000","4.500000000000","24.333333333333"
64,"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","TUBA CITY","COCONINO","AZ","86045","26.666666666667","18.666666666667","45.000000000000","13.500000000000","32.166666666667"
65,"030078","PHOENIX INDIAN MEDICAL CENTER","4212 NORTH 16TH STREET","PHOENIX","MARICOPA","AZ","85016","11.428571428571","8.000000000000","27.000000000000","8.100000000000","16.100000000000"
66,"030083","PARADISE VALLEY HOSPITAL","3929 EAST BELL ROAD","PHOENIX","MARICOPA","AZ","85032","66.000000000000","46.200000000000","42.000000000000","12.600000000000","58.800000000000"
67,"030085","NORTHWEST MEDICAL CENTER","6200 NORTH LA CHOLLA BOULEVARD","TUCSON","PIMA","AZ","85741","63.636363636364","44.545454545455","43.000000000000","12.900000000000","57.445454545455"
