"prvdr_id","msr_cd","scr","footnote","Sample"
"010001","ED_1b","258","2","578"
"010001","ED_2b","69","2","578"
"010001","OP_18b","188","","812"
"010001","OP_20","62","","842"
"010001","OP_21","88","","133"
"010001","OP_23","Not Available","1","Not Available"
"010001","OP_22","4","","30663"
"010005","ED_1b","239","2","1258"
"010005","ED_2b","65","2","1145"
"010005","OP_18b","127","","1447"
"010005","OP_20","33","","1496"
"010005","OP_21","70","","330"
"010005","OP_23","32","","28"
"010005","OP_22","3","","37822"
"010006","ED_1b","225","2","455"
"010006","ED_2b","58","2","356"
"010006","OP_18b","148","","675"
"010006","OP_20","33","","549"
"010006","OP_21","61","","109"
"010006","OP_23","35","","26"
"010006","OP_22","2","","20695"
"010007","ED_1b","201","2","341"
"010007","ED_2b","55","2","319"
"010007","OP_18b","102","","417"
"010007","OP_20","32","","428"
"010007","OP_21","76","","25"
"010007","OP_23","Not Available","5","Not Available"
"010007","OP_22","2","","5146"
"010008","ED_1b","180","2","510"
"010008","ED_2b","52","2","510"
"010008","OP_18b","100","","580"
"010008","OP_20","34","","612"
"010008","OP_21","61","1, 3","11"
"010008","OP_23","Not Available","5","Not Available"
"010008","OP_22","0","","3161"
"010011","ED_1b","255","2","430"
"010011","ED_2b","77","2","413"
"010011","OP_18b","156","","857"
"010011","OP_20","56","","917"
"010011","OP_21","87","","237"
"010011","OP_23","0","1","21"
"010011","OP_22","3","","26003"
"010012","ED_1b","220","2","528"
"010012","ED_2b","94","2","521"
"010012","OP_18b","112","","977"
"010012","OP_20","17","","1012"
"010012","OP_21","52","","149"
"010012","OP_23","67","1","12"
"010012","OP_22","1","","12129"
"010016","ED_1b","290","2","719"
"010016","ED_2b","97","2","615"
"010016","OP_18b","149","","676"
"010016","OP_20","34","","526"
"010016","OP_21","63","","289"
"010016","OP_23","Not Available","1","Not Available"
"010016","OP_22","2","","24522"
"010018","ED_1b","200","1","24"
"010018","ED_2b","32","1","23"
"010018","OP_18b","90","","578"
"010018","OP_20","47","","526"
"010018","OP_21","Not Available","5","Not Available"
"010018","OP_23","Not Available","5","Not Available"
"010018","OP_22","1","","2453"
"010019","ED_1b","212","2","533"
"010019","ED_2b","67","2","531"
"010019","OP_18b","129","","821"
"010019","OP_20","27","","839"
"010019","OP_21","63","","161"
"010019","OP_23","75","1","20"
"010019","OP_22","3","","17420"
"010021","ED_1b","175","2","476"
"010021","ED_2b","52","2","474"
"010021","OP_18b","85","","618"
"010021","OP_20","20","","241"
"010021","OP_21","46","","47"
"010021","OP_23","Not Available","1","Not Available"
"010021","OP_22","2","","8434"
"010022","ED_1b","213","2","491"
"010022","ED_2b","70","2","490"
"010022","OP_18b","82","","996"
"010022","OP_20","13","","1060"
"010022","OP_21","56","","42"
"010022","OP_23","Not Available","1, 3","Not Available"
"010022","OP_22","1","","4367"
"010023","ED_1b","520","2","537"
"010023","ED_2b","296","2","446"
"010023","OP_18b","234","","662"
"010023","OP_20","62","","611"
"010023","OP_21","79","","139"
"010023","OP_23","Not Available","1","Not Available"
"010023","OP_22","6","","31547"
"010024","ED_1b","314","2","748"
"010024","ED_2b","149","2","745"
"010024","OP_18b","185","","1211"
"010024","OP_20","80","","1252"
"010024","OP_21","95","","64"
"010024","OP_23","Not Available","1","Not Available"
"010024","OP_22","5","","22481"
"010025","ED_1b","252","2","279"
"010025","ED_2b","79","2","263"
"010025","OP_18b","111","","933"
"010025","OP_20","24","","963"
"010025","OP_21","58","","58"
"010025","OP_23","31","1","16"
"010025","OP_22","1","","9124"
"010029","ED_1b","237","2","1466"
"010029","ED_2b","49","2","1459"
"010029","OP_18b","167","","28042"
"010029","OP_20","49","","28783"
"010029","OP_21","78","","212"
"010029","OP_23","Not Available","1, 3","Not Available"
"010029","OP_22","3","","23402"
"010032","ED_1b","221","2","159"
"010032","ED_2b","97","1, 2","14"
"010032","OP_18b","107","","475"
"010032","OP_20","22","","522"
"010032","OP_21","65","","37"
"010032","OP_23","Not Available","7","0"
"010032","OP_22","4","","2203"
"010033","ED_1b","381","2","400"
"010033","ED_2b","224","2","287"
"010033","OP_18b","183","","821"
"010033","OP_20","64","","878"
"010033","OP_21","82","","174"
"010033","OP_23","Not Available","1","Not Available"
"010033","OP_22","5","","32893"
"010034","ED_1b","230","2","663"
"010034","ED_2b","65","2","427"
"010034","OP_18b","97","","955"
"010034","OP_20","33","","777"
"010034","OP_21","62","","56"
"010034","OP_23","Not Available","1","Not Available"
"010034","OP_22","2","","6435"
"010035","ED_1b","235","2","806"
"010035","ED_2b","85","2","806"
"010035","OP_18b","124","","942"
"010035","OP_20","30","","990"
"010035","OP_21","80","","170"
"010035","OP_23","73","1","15"
"010035","OP_22","1","","23195"
"010036","ED_1b","187","2","310"
"010036","ED_2b","42","2","310"
"010036","OP_18b","116","","1123"
"010036","OP_20","31","","1170"
"010036","OP_21","63","","66"
"010036","OP_23","75","1","12"
"010036","OP_22","2","","8089"
"010038","ED_1b","210","2","561"
"010038","ED_2b","79","2","561"
"010038","OP_18b","103","","661"
"010038","OP_20","32","","661"
"010038","OP_21","54","","81"
"010038","OP_23","Not Available","1","Not Available"
"010038","OP_22","1","","12246"
"010039","ED_1b","336","2","564"
"010039","ED_2b","109","2","561"
"010039","OP_18b","184","","943"
"010039","OP_20","65","","669"
"010039","OP_21","70","","532"
"010039","OP_23","Not Available","1","Not Available"
"010039","OP_22","4","","71087"
"010040","ED_1b","342","2","719"
"010040","ED_2b","113","2","690"
"010040","OP_18b","177","","941"
"010040","OP_20","49","","1008"
"010040","OP_21","78","","137"
"010040","OP_23","Not Available","1","Not Available"
"010040","OP_22","2","","20642"
"010044","ED_1b","168","2","488"
"010044","ED_2b","34","2","356"
"010044","OP_18b","107","","628"
"010044","OP_20","30","","613"
"010044","OP_21","82","","33"
"010044","OP_23","Not Available","1","Not Available"
"010044","OP_22","1","","2313"
"010045","ED_1b","206","2","460"
"010045","ED_2b","70","2","362"
"010045","OP_18b","122","","890"
"010045","OP_20","25","","879"
"010045","OP_21","75","","63"
"010045","OP_23","Not Available","1","Not Available"
"010045","OP_22","5","","6634"
"010046","ED_1b","297","2","746"
"010046","ED_2b","104","2","746"
"010046","OP_18b","160","","1238"
"010046","OP_20","32","","1358"
"010046","OP_21","91","","37"
"010046","OP_23","29","1","14"
"010046","OP_22","2","","9873"
"010047","ED_1b","135","2","396"
"010047","ED_2b","40","2","396"
"010047","OP_18b","78","","698"
"010047","OP_20","27","","731"
"010047","OP_21","Not Available","1","Not Available"
"010047","OP_23","Not Available","1, 3","Not Available"
"010047","OP_22","0","","1705"
"010049","ED_1b","218","2","579"
"010049","ED_2b","61","2","569"
"010049","OP_18b","146","","953"
"010049","OP_20","35","","1027"
"010049","OP_21","68","","140"
"010049","OP_23","Not Available","1","Not Available"
"010049","OP_22","4","","14998"
"010050","ED_1b","244","2","471"
"010050","ED_2b","60","2","461"
"010050","OP_18b","110","","596"
"010050","OP_20","30","","509"
"010050","OP_21","57","","66"
"010050","OP_23","15","1","13"
"010050","OP_22","3","","8088"
"010051","ED_1b","164","2","361"
"010051","ED_2b","0","2","353"
"010051","OP_18b","136","3","410"
"010051","OP_20","49","3","363"
"010051","OP_21","Not Available","5","Not Available"
"010051","OP_23","Not Available","5","Not Available"
"010051","OP_22","1","","2624"
"010052","ED_1b","197","2","584"
"010052","ED_2b","40","2","493"
"010052","OP_18b","100","","562"
"010052","OP_20","30","","573"
"010052","OP_21","Not Available","5","Not Available"
"010052","OP_23","Not Available","5","Not Available"
"010052","OP_22","0","","1502"
"010054","ED_1b","244","2","471"
"010054","ED_2b","75","2","469"
"010054","OP_18b","145","","1010"
"010054","OP_20","38","","1044"
"010054","OP_21","83","","115"
"010054","OP_23","Not Available","1","Not Available"
"010054","OP_22","4","","14410"
"010055","ED_1b","267","2","619"
"010055","ED_2b","108","2","609"
"010055","OP_18b","198","","867"
"010055","OP_20","46","","878"
"010055","OP_21","70","","87"
"010055","OP_23","Not Available","1","Not Available"
"010055","OP_22","5","","19527"
"010056","ED_1b","285","2","365"
"010056","ED_2b","104","2","306"
"010056","OP_18b","174","","859"
"010056","OP_20","40","","932"
"010056","OP_21","76","","157"
"010056","OP_23","Not Available","1","Not Available"
"010056","OP_22","2","","24803"
"010058","ED_1b","157","2","67"
"010058","ED_2b","40","2","45"
"010058","OP_18b","76","","426"
"010058","OP_20","10","","328"
"010058","OP_21","65","1, 3","24"
"010058","OP_23","Not Available","5","Not Available"
"010058","OP_22","0","","8797"
"010059","ED_1b","204","2","392"
"010059","ED_2b","46","2","350"
"010059","OP_18b","96","","852"
"010059","OP_20","23","","917"
"010059","OP_21","53","","39"
"010059","OP_23","Not Available","1","Not Available"
"010059","OP_22","2","","4501"
"010061","ED_1b","294","2","319"
"010061","ED_2b","78","2","279"
"010061","OP_18b","139","","925"
"010061","OP_20","44","","877"
"010061","OP_21","81","","124"
"010061","OP_23","20","1","15"
"010061","OP_22","3","","9690"
"010062","ED_1b","157","2","409"
"010062","ED_2b","50","2","342"
"010062","OP_18b","114","","639"
"010062","OP_20","40","","660"
"010062","OP_21","56","","34"
"010062","OP_23","Not Available","1","Not Available"
"010062","OP_22","2","","5434"
"010065","ED_1b","274","2","361"
"010065","ED_2b","107","2","344"
"010065","OP_18b","116","","978"
"010065","OP_20","18","","992"
"010065","OP_21","76","","93"
"010065","OP_23","50","1","12"
"010065","OP_22","1","","11977"
"010066","ED_1b","150","2","66"
"010066","ED_2b","0","2","65"
"010066","OP_18b","80","","312"
"010066","OP_20","15","","335"
"010066","OP_21","Not Available","3, 7","0"
"010066","OP_23","Not Available","1, 3","Not Available"
"010066","OP_22","0","","1340"
"010069","ED_1b","181","2","582"
"010069","ED_2b","40","2","582"
"010069","OP_18b","96","","722"
"010069","OP_20","23","","885"
"010069","OP_21","48","","78"
"010069","OP_23","50","1","14"
"010069","OP_22","1","","7304"
"010073","ED_1b","217","2","143"
"010073","ED_2b","54","2","138"
"010073","OP_18b","114","","684"
"010073","OP_20","37","","730"
"010073","OP_21","72","1","22"
"010073","OP_23","Not Available","1","Not Available"
"010073","OP_22","3","","2372"
"010078","ED_1b","213","2","581"
"010078","ED_2b","61","2","569"
"010078","OP_18b","148","","1411"
"010078","OP_20","59","","1476"
"010078","OP_21","93","","167"
"010078","OP_23","41","","27"
"010078","OP_22","3","","21000"
"010079","ED_1b","277","2","517"
"010079","ED_2b","70","2","503"
"010079","OP_18b","164","","684"
"010079","OP_20","44","","731"
"010079","OP_21","75","","152"
"010079","OP_23","31","1","13"
"010079","OP_22","3","","16643"
"010083","ED_1b","280","2","797"
"010083","ED_2b","99","2","792"
"010083","OP_18b","158","","738"
"010083","OP_20","46","","903"
"010083","OP_21","66","","188"
"010083","OP_23","93","1","15"
"010083","OP_22","5","","14430"
"010085","ED_1b","270","2","509"
"010085","ED_2b","73","2","441"
"010085","OP_18b","146","","618"
"010085","OP_20","43","","630"
"010085","OP_21","77","","152"
"010085","OP_23","37","1","19"
"010085","OP_22","4","","22986"
"010086","ED_1b","210","2","344"
"010086","ED_2b","45","2","323"
"010086","OP_18b","120","","1033"
"010086","OP_20","30","","1042"
"010086","OP_21","70","","49"
"010086","OP_23","Not Available","1","Not Available"
"010086","OP_22","4","","5232"
"010087","ED_1b","472","2","897"
"010087","ED_2b","200","2","871"
"010087","OP_18b","242","3","194"
"010087","OP_20","67","3","287"
"010087","OP_21","81","3","70"
"010087","OP_23","Not Available","1, 3","Not Available"
"010087","OP_22","10","","14884"
"010089","ED_1b","268","2","663"
"010089","ED_2b","87","2","658"
"010089","OP_18b","140","","934"
"010089","OP_20","23","","954"
"010089","OP_21","60","","135"
"010089","OP_23","Not Available","1","Not Available"
"010089","OP_22","2","","18105"
"010090","ED_1b","251","2","471"
"010090","ED_2b","75","2","365"
"010090","OP_18b","225","","798"
"010090","OP_20","66","","849"
"010090","OP_21","80","","83"
"010090","OP_23","Not Available","1","Not Available"
"010090","OP_22","5","","24161"
"010091","ED_1b","200","2","352"
"010091","ED_2b","49","2","154"
"010091","OP_18b","130","","795"
"010091","OP_20","30","","637"
"010091","OP_21","61","3","30"
"010091","OP_23","Not Available","1, 3","Not Available"
"010091","OP_22","0","","2032"
"010092","ED_1b","273","2","649"
"010092","ED_2b","82","2","565"
"010092","OP_18b","161","","990"
"010092","OP_20","38","","1003"
"010092","OP_21","70","","336"
"010092","OP_23","Not Available","1","Not Available"
"010092","OP_22","4","","62977"
"010095","ED_1b","195","2","313"
"010095","ED_2b","34","2","313"
"010095","OP_18b","122","","537"
"010095","OP_20","24","","606"
"010095","OP_21","128","1","17"
"010095","OP_23","Not Available","1, 3","Not Available"
"010095","OP_22","2","","4063"
"010097","ED_1b","198","2","481"
"010097","ED_2b","50","2","404"
"010097","OP_18b","100","","631"
"010097","OP_20","28","","640"
"010097","OP_21","51","","29"
"010097","OP_23","Not Available","1, 3","Not Available"
"010097","OP_22","3","","6544"
"010099","ED_1b","170","2","361"
"010099","ED_2b","56","2","340"
"010099","OP_18b","93","","1074"
"010099","OP_20","24","","852"
"010099","OP_21","65","","53"
"010099","OP_23","Not Available","1","Not Available"
"010099","OP_22","2","","6564"
"010100","ED_1b","326","2","568"
"010100","ED_2b","118","2","568"
"010100","OP_18b","168","","897"
"010100","OP_20","40","","934"
"010100","OP_21","69","","174"
"010100","OP_23","Not Available","1","Not Available"
"010100","OP_22","2","","14447"
"010101","ED_1b","212","2","394"
"010101","ED_2b","52","2","390"
"010101","OP_18b","145","","952"
"010101","OP_20","30","","926"
"010101","OP_21","60","","97"
"010101","OP_23","Not Available","1","Not Available"
"010101","OP_22","1","","11363"
"010102","ED_1b","158","","112"
"010102","ED_2b","0","","38"
"010102","OP_18b","95","","511"
"010102","OP_20","40","","132"
"010102","OP_21","72","1, 3","18"
"010102","OP_23","Not Available","5","Not Available"
"010102","OP_22","0","","2649"
"010103","ED_1b","284","2","719"
"010103","ED_2b","105","2","697"
"010103","OP_18b","164","","897"
"010103","OP_20","36","","937"
"010103","OP_21","84","","67"
"010103","OP_23","Not Available","1","Not Available"
"010103","OP_22","3","","22307"
"010104","ED_1b","180","2","481"
"010104","ED_2b","62","2","479"
"010104","OP_18b","113","","949"
"010104","OP_20","18","","988"
"010104","OP_21","47","","98"
