"prvdr_id","msr_cd","scr","ftnt_value"
"AK","SPP_1","0.91","14"
"AL","SPP_1","0.98",""
"AR","SPP_1","0.98",""
"AS","SPP_1","Not Available","9"
"AZ","SPP_1","0.93",""
"CA","SPP_1","0.98",""
"CO","SPP_1","0.95",""
"CT","SPP_1","1.02",""
"DC","SPP_1","1.00","14"
"DE","SPP_1","1.00","14"
"FL","SPP_1","1.04",""
"GA","SPP_1","0.95",""
"GU","SPP_1","Not Available","9"
"HI","SPP_1","0.87",""
"IA","SPP_1","0.91",""
"ID","SPP_1","0.91",""
"IL","SPP_1","1.00",""
"IN","SPP_1","1.01",""
"KS","SPP_1","0.94",""
"KY","SPP_1","0.97",""
"LA","SPP_1","1.04",""
"MA","SPP_1","1.03",""
"MD","SPP_1","Not Available","9"
"ME","SPP_1","0.95",""
"MI","SPP_1","0.96",""
"MN","SPP_1","0.90",""
"MO","SPP_1","0.95",""
"MS","SPP_1","0.95",""
"MT","SPP_1","0.89",""
"NC","SPP_1","0.94",""
"ND","SPP_1","0.90","14"
"NE","SPP_1","0.97",""
"NH","SPP_1","1.01","14"
"NJ","SPP_1","1.07",""
"NM","SPP_1","0.85",""
"NV","SPP_1","1.04",""
"NY","SPP_1","0.96",""
"OH","SPP_1","1.01",""
"OK","SPP_1","0.93",""
"OR","SPP_1","0.88",""
"PA","SPP_1","1.01",""
"PR","SPP_1","Not Available","9"
"RI","SPP_1","1.02",""
"SC","SPP_1","0.98",""
"SD","SPP_1","0.90","14"
"TN","SPP_1","1.00",""
"TX","SPP_1","1.03",""
"UT","SPP_1","0.98",""
"VA","SPP_1","0.95",""
"VI","SPP_1","Not Available","9"
"VT","SPP_1","1.01","14"
"WA","SPP_1","0.91","14"
"WI","SPP_1","0.94",""
"WV","SPP_1","0.96",""
"WY","SPP_1","0.93",""
