"MSR_CD","NATIONAL","PSI_NATIONAL_SCR"
"PSI_90_SAFETY_NATIONAL_P","0.61","Not Available"
"PSI_6_IAT_PTX_NATIONAL_P","0.32","Not Available"
"PSI_12_POSTOP_PULMEMB_DVT_NATIONAL_P","4.14","Not Available"
"PSI_14_POSTOP_DEHIS_NATIONAL_P","0.92","Not Available"
"PSI_15_ACC_LAC_NATIONAL_P","1.83","Not Available"
"PSI_4_SURG_COMP_NATIONAL_P","110.25","Not Available"
"PSI_12_POSTOP_PULMEMB_DVT_TOOFEW","Not Available","114"
"PSI_4_SURG_COMP_SAME","Not Available","1831"
"PSI_12_POSTOP_PULMEMB_DVT_WORSE","Not Available","203"
"PSI_15_ACC_LAC_BETTER","Not Available","95"
"PSI_12_POSTOP_PULMEMB_DVT_SAME","Not Available","2846"
"PSI_6_IAT_PTX_WORSE","Not Available","60"
"PSI_90_SAFETY_WORSE","Not Available","182"
"PSI_90_SAFETY_SAME","Not Available","3184"
"PSI_15_ACC_LAC_SAME","Not Available","3133"
"PSI_14_POSTOP_DEHIS_TOOFEW","Not Available","391"
"PSI_15_ACC_LAC_WORSE","Not Available","203"
"PSI_6_IAT_PTX_TOOFEW","Not Available","38"
"PSI_15_ACC_LAC_TOOFEW","Not Available","42"
"PSI_14_POSTOP_DEHIS_SAME","Not Available","2703"
"PSI_4_SURG_COMP_BETTER","Not Available","43"
"PSI_12_POSTOP_PULMEMB_DVT_BETTER","Not Available","155"
"PSI_90_SAFETY_TOOFEW","Not Available","0"
"PSI_90_SAFETY_BETTER","Not Available","108"
"PSI_6_IAT_PTX_BETTER","Not Available","9"
"PSI_4_SURG_COMP_WORSE","Not Available","70"
"PSI_14_POSTOP_DEHIS_BETTER","Not Available","0"
"PSI_6_IAT_PTX_SAME","Not Available","3366"
"PSI_14_POSTOP_DEHIS_WORSE","Not Available","42"
"PSI_4_SURG_COMP_TOOFEW","Not Available","1058"
