"prvdr_id","msr_cd","scr"
"'010001'","HAC_1","0.123"
"'010005'","HAC_1","0.000"
"'010006'","HAC_1","0.000"
"'010007'","HAC_1","0.000"
"'010008'","HAC_1","0.000"
"'010011'","HAC_1","0.000"
"'010012'","HAC_1","0.000"
"'010016'","HAC_1","0.000"
"'010018'","HAC_1","0.000"
"'010019'","HAC_1","0.000"
"'010021'","HAC_1","0.000"
"'010022'","HAC_1","0.000"
"'010023'","HAC_1","0.000"
"'010024'","HAC_1","0.000"
"'010025'","HAC_1","0.000"
"'010029'","HAC_1","0.000"
"'010032'","HAC_1","0.000"
"'010033'","HAC_1","0.000"
"'010034'","HAC_1","0.000"
"'010035'","HAC_1","0.000"
"'010036'","HAC_1","0.000"
"'010038'","HAC_1","0.000"
"'010039'","HAC_1","0.000"
"'010040'","HAC_1","0.000"
"'010044'","HAC_1","0.000"
"'010045'","HAC_1","0.000"
"'010046'","HAC_1","0.000"
"'010047'","HAC_1","0.000"
"'010049'","HAC_1","0.000"
"'010050'","HAC_1","0.000"
"'010051'","HAC_1","0.000"
"'010052'","HAC_1","0.000"
"'010054'","HAC_1","0.000"
"'010055'","HAC_1","0.096"
"'010056'","HAC_1","0.000"
"'010058'","HAC_1","0.000"
"'010059'","HAC_1","0.000"
"'010061'","HAC_1","0.000"
"'010062'","HAC_1","0.000"
"'010065'","HAC_1","0.000"
"'010066'","HAC_1","0.000"
"'010069'","HAC_1","0.000"
"'010073'","HAC_1","0.000"
"'010078'","HAC_1","0.000"
"'010079'","HAC_1","0.291"
"'010083'","HAC_1","0.000"
"'010085'","HAC_1","0.000"
"'010086'","HAC_1","0.000"
"'010087'","HAC_1","0.000"
"'010089'","HAC_1","0.000"
"'010090'","HAC_1","0.000"
"'010091'","HAC_1","0.000"
"'010092'","HAC_1","0.000"
"'010095'","HAC_1","0.000"
"'010097'","HAC_1","0.000"
"'010099'","HAC_1","0.000"
"'010100'","HAC_1","0.000"
"'010101'","HAC_1","0.000"
"'010102'","HAC_1","0.000"
"'010103'","HAC_1","0.000"
"'010104'","HAC_1","0.089"
"'010108'","HAC_1","0.000"
"'010109'","HAC_1","0.000"
"'010110'","HAC_1","0.000"
"'010112'","HAC_1","0.000"
"'010113'","HAC_1","0.086"
"'010114'","HAC_1","0.000"
"'010118'","HAC_1","0.000"
"'010120'","HAC_1","0.000"
"'010125'","HAC_1","0.487"
"'010126'","HAC_1","0.000"
"'010128'","HAC_1","0.000"
"'010129'","HAC_1","0.000"
"'010130'","HAC_1","0.000"
"'010131'","HAC_1","0.000"
"'010138'","HAC_1","0.000"
"'010139'","HAC_1","0.161"
"'010144'","HAC_1","0.000"
"'010146'","HAC_1","0.000"
"'010148'","HAC_1","0.000"
"'010149'","HAC_1","0.204"
"'010150'","HAC_1","0.000"
"'010157'","HAC_1","0.000"
"'010158'","HAC_1","0.000"
"'010164'","HAC_1","0.000"
"'010168'","HAC_1","0.000"
"'010169'","HAC_1","0.000"
"'011300'","HAC_1","Not Available"
"'011302'","HAC_1","Not Available"
"'011304'","HAC_1","Not Available"
"'013301'","HAC_1","Not Available"
"'020001'","HAC_1","0.000"
"'020006'","HAC_1","0.000"
"'020008'","HAC_1","0.917"
"'020012'","HAC_1","0.000"
"'020017'","HAC_1","0.000"
"'020018'","HAC_1","0.000"
"'020024'","HAC_1","0.000"
"'020026'","HAC_1","0.328"
"'020027'","HAC_1","0.000"
"'021301'","HAC_1","Not Available"
"'021302'","HAC_1","Not Available"
"'021303'","HAC_1","Not Available"
"'021304'","HAC_1","Not Available"
"'021305'","HAC_1","Not Available"
"'021306'","HAC_1","Not Available"
"'021307'","HAC_1","Not Available"
"'021308'","HAC_1","Not Available"
"'021309'","HAC_1","Not Available"
"'021311'","HAC_1","Not Available"
"'021313'","HAC_1","Not Available"
"'030001'","HAC_1","0.000"
"'030002'","HAC_1","0.048"
"'030006'","HAC_1","0.000"
"'030007'","HAC_1","0.000"
"'030010'","HAC_1","0.000"
"'030011'","HAC_1","0.099"
"'030012'","HAC_1","0.249"
"'030013'","HAC_1","0.081"
"'030014'","HAC_1","0.000"
"'030016'","HAC_1","0.000"
"'030022'","HAC_1","0.000"
"'030023'","HAC_1","0.000"
"'030024'","HAC_1","0.070"
"'030030'","HAC_1","0.000"
"'030033'","HAC_1","0.000"
"'030036'","HAC_1","0.000"
"'030037'","HAC_1","0.328"
"'030038'","HAC_1","0.000"
"'030043'","HAC_1","0.000"
"'030055'","HAC_1","0.000"
"'030061'","HAC_1","0.000"
"'030062'","HAC_1","0.000"
"'030064'","HAC_1","0.080"
"'030065'","HAC_1","0.000"
"'030067'","HAC_1","0.000"
"'030068'","HAC_1","0.000"
"'030069'","HAC_1","0.000"
"'030071'","HAC_1","0.000"
"'030073'","HAC_1","0.000"
"'030074'","HAC_1","0.000"
"'030077'","HAC_1","0.000"
"'030078'","HAC_1","0.000"
"'030083'","HAC_1","0.000"
"'030084'","HAC_1","0.000"
"'030085'","HAC_1","0.000"
"'030087'","HAC_1","0.000"
"'030088'","HAC_1","0.000"
"'030089'","HAC_1","0.000"
"'030092'","HAC_1","0.000"
"'030093'","HAC_1","0.000"
"'030094'","HAC_1","0.000"
"'030101'","HAC_1","0.000"
"'030103'","HAC_1","0.133"
"'030105'","HAC_1","0.000"
"'030107'","HAC_1","0.000"
"'030108'","HAC_1","0.000"
"'030110'","HAC_1","0.253"
"'030111'","HAC_1","0.000"
"'030112'","HAC_1","0.000"
"'030113'","HAC_1","0.000"
"'030114'","HAC_1","0.000"
"'030115'","HAC_1","0.167"
"'030117'","HAC_1","0.000"
"'030118'","HAC_1","0.000"
"'030119'","HAC_1","0.000"
"'030120'","HAC_1","0.000"
"'030121'","HAC_1","0.177"
"'030122'","HAC_1","0.000"
"'030123'","HAC_1","0.000"
"'030126'","HAC_1","0.000"
"'030130'","HAC_1","0.000"
"'030131'","HAC_1","Not Available"
"'030132'","HAC_1","Not Available"
"'031300'","HAC_1","Not Available"
"'031301'","HAC_1","Not Available"
"'031302'","HAC_1","Not Available"
"'031303'","HAC_1","Not Available"
"'031304'","HAC_1","Not Available"
"'031305'","HAC_1","Not Available"
"'031309'","HAC_1","Not Available"
"'031311'","HAC_1","Not Available"
"'031312'","HAC_1","Not Available"
"'031313'","HAC_1","Not Available"
"'031314'","HAC_1","Not Available"
"'031315'","HAC_1","Not Available"
"'033302'","HAC_1","Not Available"
"'040001'","HAC_1","0.499"
"'040002'","HAC_1","0.000"
"'040004'","HAC_1","0.000"
"'040007'","HAC_1","0.000"
"'040010'","HAC_1","0.000"
"'040011'","HAC_1","0.000"
"'040014'","HAC_1","0.000"
"'040015'","HAC_1","0.000"
"'040016'","HAC_1","0.000"
"'040017'","HAC_1","0.000"
"'040018'","HAC_1","0.000"
"'040019'","HAC_1","0.000"
"'040020'","HAC_1","0.000"
"'040022'","HAC_1","0.000"
"'040026'","HAC_1","0.000"
"'040027'","HAC_1","0.097"
"'040029'","HAC_1","0.000"
"'040036'","HAC_1","0.000"
"'040039'","HAC_1","0.000"
"'040041'","HAC_1","0.000"
"'040042'","HAC_1","0.000"
"'040047'","HAC_1","0.000"
"'040050'","HAC_1","0.000"
"'040051'","HAC_1","0.000"
"'040055'","HAC_1","0.000"
"'040062'","HAC_1","0.000"
"'040067'","HAC_1","0.000"
"'040069'","HAC_1","0.000"
"'040071'","HAC_1","0.000"
"'040072'","HAC_1","0.000"
"'040074'","HAC_1","0.000"
"'040076'","HAC_1","0.000"
"'040078'","HAC_1","0.000"
"'040080'","HAC_1","0.000"
"'040084'","HAC_1","0.000"
"'040085'","HAC_1","0.000"
"'040088'","HAC_1","0.189"
"'040114'","HAC_1","0.039"
"'040118'","HAC_1","0.000"
"'040119'","HAC_1","0.000"
"'040132'","HAC_1","Not Available"
"'040134'","HAC_1","0.000"
"'040137'","HAC_1","0.000"
"'040147'","HAC_1","0.000"
"'040152'","HAC_1","0.000"
"'040153'","HAC_1","Not Available"
"'041300'","HAC_1","Not Available"
"'041302'","HAC_1","Not Available"
"'041303'","HAC_1","Not Available"
"'041304'","HAC_1","Not Available"
"'041305'","HAC_1","Not Available"
