"Provider ID","Hospital Name","State","Measure ID","Measure Name","Score","Footnote","Measure Start Date","Measure End Date"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","OP_10","Abdomen CT Use of Contrast Material","4.6",,"07/01/2012","06/30/2013"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","OP_11","Thorax CT Use of Contrast Material","2.5",,"07/01/2012","06/30/2013"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","8.0",,"07/01/2012","06/30/2013"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","2.9",,"07/01/2012","06/30/2013"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","OP_8","MRI Lumbar Spine for Low Back Pain","29.3",,"07/01/2012","06/30/2013"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","OP_9","Mammography Follow-up Rates","5.0",,"07/01/2012","06/30/2013"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","OP_10","Abdomen CT Use of Contrast Material","12.4",,"07/01/2012","06/30/2013"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","OP_11","Thorax CT Use of Contrast Material","9.7",,"07/01/2012","06/30/2013"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","6.9",,"07/01/2012","06/30/2013"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","4.1",,"07/01/2012","06/30/2013"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","OP_8","MRI Lumbar Spine for Low Back Pain","43.5",,"07/01/2012","06/30/2013"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","OP_9","Mammography Follow-up Rates","3.4",,"07/01/2012","06/30/2013"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","12.8",,"07/01/2012","06/30/2013"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","5.4",,"07/01/2012","06/30/2013"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","4.8",,"07/01/2012","06/30/2013"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","3.7",,"07/01/2012","06/30/2013"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","44.0",,"07/01/2012","06/30/2013"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","OP_9","Mammography Follow-up Rates","8.2",,"07/01/2012","06/30/2013"
"010007","MIZELL MEMORIAL HOSPITAL","AL","OP_10","Abdomen CT Use of Contrast Material","34.7",,"07/01/2012","06/30/2013"
"010007","MIZELL MEMORIAL HOSPITAL","AL","OP_11","Thorax CT Use of Contrast Material","1.5",,"07/01/2012","06/30/2013"
"010007","MIZELL MEMORIAL HOSPITAL","AL","OP_13","Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery","Not Available","1","07/01/2012","06/30/2013"
"010007","MIZELL MEMORIAL HOSPITAL","AL","OP_14","Outpatients with brain CT scans who got a sinus CT scan at the same time","Not Available","1","07/01/2012","06/30/2013"
"010007","MIZELL MEMORIAL HOSPITAL","AL","OP_8","MRI Lumbar Spine for Low Back Pain","Not Available","1","07/01/2012","06/30/2013"
