"Provider ID","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"010001","SPP_1","1.00",,"01/01/2012","12/31/2012"
"010005","SPP_1","1.00",,"01/01/2012","12/31/2012"
"010006","SPP_1","1.00",,"01/01/2012","12/31/2012"
"010007","SPP_1","1.00",,"01/01/2012","12/31/2012"
"010008","SPP_1","0.99",,"01/01/2012","12/31/2012"
"010011","SPP_1","0.98",,"01/01/2012","12/31/2012"
"010012","SPP_1","1.00",,"01/01/2012","12/31/2012"
"010016","SPP_1","1.01",,"01/01/2012","12/31/2012"
"010018","SPP_1","Not Available","1","01/01/2012","12/31/2012"
"010019","SPP_1","1.07",,"01/01/2012","12/31/2012"
"010021","SPP_1","0.93",,"01/01/2012","12/31/2012"
"010022","SPP_1","0.95",,"01/01/2012","12/31/2012"
"010023","SPP_1","1.04",,"01/01/2012","12/31/2012"
"010024","SPP_1","1.02",,"01/01/2012","12/31/2012"
"010025","SPP_1","0.87",,"01/01/2012","12/31/2012"
"010029","SPP_1","0.90",,"01/01/2012","12/31/2012"
"010032","SPP_1","0.86",,"01/01/2012","12/31/2012"
"010033","SPP_1","0.96",,"01/01/2012","12/31/2012"
"010034","SPP_1","0.90",,"01/01/2012","12/31/2012"
"010035","SPP_1","0.94",,"01/01/2012","12/31/2012"
"010036","SPP_1","0.99",,"01/01/2012","12/31/2012"
"010038","SPP_1","0.98",,"01/01/2012","12/31/2012"
"010039","SPP_1","1.01",,"01/01/2012","12/31/2012"
"010040","SPP_1","1.04",,"01/01/2012","12/31/2012"
"010044","SPP_1","0.86",,"01/01/2012","12/31/2012"
"010045","SPP_1","0.87",,"01/01/2012","12/31/2012"
"010046","SPP_1","1.06",,"01/01/2012","12/31/2012"
"010047","SPP_1","1.00",,"01/01/2012","12/31/2012"
"010049","SPP_1","0.92",,"01/01/2012","12/31/2012"
"010051","SPP_1","0.89",,"01/01/2012","12/31/2012"
"010054","SPP_1","1.01",,"01/01/2012","12/31/2012"
"010055","SPP_1","0.99",,"01/01/2012","12/31/2012"
"010056","SPP_1","1.04",,"01/01/2012","12/31/2012"
"010058","SPP_1","0.97",,"01/01/2012","12/31/2012"
"010059","SPP_1","0.90",,"01/01/2012","12/31/2012"
"010061","SPP_1","0.85",,"01/01/2012","12/31/2012"
"010062","SPP_1","0.94",,"01/01/2012","12/31/2012"
"010065","SPP_1","0.96",,"01/01/2012","12/31/2012"
"010069","SPP_1","0.98",,"01/01/2012","12/31/2012"
"010073","SPP_1","0.94",,"01/01/2012","12/31/2012"
"010078","SPP_1","0.98",,"01/01/2012","12/31/2012"
"010079","SPP_1","0.98",,"01/01/2012","12/31/2012"
