"Provider ID","Hospital Name","State","Measure ID","Measure Name","Measure Response","Footnote","Measure Start Date","Measure End Date"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","SM_PART_CARD","Cardiac surgery registry","Y",,"01/01/2012","12/31/2012"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","SM_PART_NURSE","Nursing care registry","Y",,"01/01/2012","12/31/2012"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","AL","SM_PART_STROKE","Stroke care registry","Y",,"01/01/2012","12/31/2012"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","No",,"01/01/2012","12/31/2012"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
"010005","MARSHALL MEDICAL CENTER SOUTH","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Y",,"01/01/2012","12/31/2012"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","SM_PART_NURSE","Nursing care registry","Y",,"01/01/2012","12/31/2012"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","AL","SM_PART_STROKE","Stroke care registry","N",,"01/01/2012","12/31/2012"
"010007","MIZELL MEMORIAL HOSPITAL","AL","OP_12","Able to receive lab results electronically","Yes",,"01/01/2012","12/31/2012"
"010007","MIZELL MEMORIAL HOSPITAL","AL","OP_17","Able to track patients’ lab results, tests, and referrals electronically between visits","Yes",,"01/01/2012","12/31/2012"
"010007","MIZELL MEMORIAL HOSPITAL","AL","OP_25","Safe Surgery Checklist Use","Yes",,"01/01/2012","12/31/2012"
"010007","MIZELL MEMORIAL HOSPITAL","AL","SM_PART_CARD","Cardiac surgery registry","Does not have a Cardiac Surgery Program",,"01/01/2012","12/31/2012"
"010007","MIZELL MEMORIAL HOSPITAL","AL","SM_PART_GEN_SURG","General Surgery Registry","N",,"01/01/2012","12/31/2012"
"010007","MIZELL MEMORIAL HOSPITAL","AL","SM_PART_NURSE","Nursing care registry","N",,"01/01/2012","12/31/2012"
