"Diagnosis Related Group ID","Diagnosis Related Group Name","Denominator","Footnote","Measure Start Date","Measure End Date"
"038","Extracranial procedures w CC","12547",,"10/01/2012","09/30/2013"
"039","Extracranial procedures w/o CC/MCC","35382",,"10/01/2012","09/30/2013"
"190","Chronic obstructive pulmonary disease w MCC","142691",,"10/01/2012","09/30/2013"
"191","Chronic obstructive pulmonary disease w CC","138190",,"10/01/2012","09/30/2013"
"192","Chronic obstructive pulmonary disease w/o CC/MCC","100017",,"10/01/2012","09/30/2013"
"193","Simple pneumonia and pleurisy w MCC","131265",,"10/01/2012","09/30/2013"
"219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","17271",,"10/01/2012","09/30/2013"
"220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","20755",,"10/01/2012","09/30/2013"
"221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","4822",,"10/01/2012","09/30/2013"
"224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","2400",,"10/01/2012","09/30/2013"
"225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","2998",,"10/01/2012","09/30/2013"
"226","Cardiac defibrillator implant w/o cardiac cath w MCC","5072",,"10/01/2012","09/30/2013"
"227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","17435",,"10/01/2012","09/30/2013"
"235","Coronary bypass w/o cardiac cath w MCC","8111",,"10/01/2012","09/30/2013"
"236","Coronary bypass w/o cardiac cath w/o MCC","19901",,"10/01/2012","09/30/2013"
"237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","19776",,"10/01/2012","09/30/2013"
"243","Permanent cardiac pacemaker implant w CC","32016",,"10/01/2012","09/30/2013"
"244","Permanent cardiac pacemaker implant w/o CC/MCC","28212",,"10/01/2012","09/30/2013"
"247","Perc cardiovasc proc w drug-eluting stent w/o MCC","102245",,"10/01/2012","09/30/2013"
"280","Acute myocardial infarction, discharged alive w MCC","67178",,"10/01/2012","09/30/2013"
"281","Acute myocardial infarction, discharged alive w CC","47460",,"10/01/2012","09/30/2013"
"282","Acute myocardial infarction, discharged alive w/o CC/MCC","29370",,"10/01/2012","09/30/2013"
"291","Heart failure and shock w MCC","185208",,"10/01/2012","09/30/2013"
"292","Heart failure and shock w CC","205584",,"10/01/2012","09/30/2013"
"293","Heart failure and shock w/o CC/MCC","80313",,"10/01/2012","09/30/2013"
"313","Chest Pain","106953",,"10/01/2012","09/30/2013"
"328","Stomach, esophageal duodenal proc w/o CC/MCC","9975",,"10/01/2012","09/30/2013"
"329","Major small and large bowel procedures w MCC","42342",,"10/01/2012","09/30/2013"
"330","Major small and large bowel procedures w CC","56029",,"10/01/2012","09/30/2013"
"331","Major small and large bowel procedures w/o CC/MCC","24968",,"10/01/2012","09/30/2013"
"353","Hernia procedures except inguinal and femoral w MCC","3612",,"10/01/2012","09/30/2013"
"354","Hernia procedures except inguinal and femoral w CC","9595",,"10/01/2012","09/30/2013"
"355","Hernia procedures except inguinal and femoral w/o CC/MCC","10056",,"10/01/2012","09/30/2013"
"414","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","3681",,"10/01/2012","09/30/2013"
"417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","17450",,"10/01/2012","09/30/2013"
"418","Laparoscopic cholecystectomy w/o c.d.e. w CC","26431",,"10/01/2012","09/30/2013"
"419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","23168",,"10/01/2012","09/30/2013"
"459","Spinal fusion except cervical w MCC","4465",,"10/01/2012","09/30/2013"
"460","Spinal fusion except cervical w/o MCC","71329",,"10/01/2012","09/30/2013"
"461","Bilateral or multiple major joint procs of lower extremity w MCC","447",,"10/01/2012","09/30/2013"
"462","Bilateral or multiple major joint procs of lower extremity w/o MCC","9762",,"10/01/2012","09/30/2013"
"466","Revision of hip or knee replacement w MCC","4098",,"10/01/2012","09/30/2013"
"467","Revision of hip or knee replacement w CC","23365",,"10/01/2012","09/30/2013"
"468","Revision of hip or knee replacement w/o CC/MCC","16671",,"10/01/2012","09/30/2013"
"469","Major joint replacement or reattachment of lower extremity w MCC","26670",,"10/01/2012","09/30/2013"
"470","Major joint replacement or reattachment of lower extremity w/o MCC","431358",,"10/01/2012","09/30/2013"
"471","Cervical spinal fusion w MCC","3357",,"10/01/2012","09/30/2013"
"472","Cervical spinal fusion w CC","10962",,"10/01/2012","09/30/2013"
"473","Cervical spinal fusion w/o CC/MCC","29130",,"10/01/2012","09/30/2013"
"477","Biopsies of musculoskeletal system and connective tissue w MCC","2657",,"10/01/2012","09/30/2013"
"478","Biopsies of musculoskeletal system and connective tissue w CC","7221",,"10/01/2012","09/30/2013"
"479","Biopsies of musculoskeletal system and connective tissue w/o CC/MCC","2969",,"10/01/2012","09/30/2013"
"490","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","18546",,"10/01/2012","09/30/2013"
"491","Back and neck proc exc spinal fusion w/o CC/MCC","31919",,"10/01/2012","09/30/2013"
"507","Major shoulder or elbow joint procedures w CC/MCC","616",,"10/01/2012","09/30/2013"
"508","Major shoulder or elbow joint procedures w/o CC/MCC","554",,"10/01/2012","09/30/2013"
"515","Other musculoskelet sys and conn tiss O.R. proc w MCC","3871",,"10/01/2012","09/30/2013"
"637","Diabetes w MCC","21668",,"10/01/2012","09/30/2013"
"656","Kidney and ureter procedures for neoplasm w MCC","3518",,"10/01/2012","09/30/2013"
"657","Kidney and ureter procedures for neoplasm w CC","8647",,"10/01/2012","09/30/2013"
"658","Kidney and ureter procedures for neoplasm w/o CC/MCC","7152",,"10/01/2012","09/30/2013"
"659","Kidney and ureter procedures for non-neoplasm w MCC","4246",,"10/01/2012","09/30/2013"
"668","Transurethral procedures w MCC","3595",,"10/01/2012","09/30/2013"
"673","Other kidney and urinary tract procedures w MCC","10824",,"10/01/2012","09/30/2013"
"674","Other kidney and urinary tract procedures w CC","7955",,"10/01/2012","09/30/2013"
