"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.209",,"10/01/2012","09/30/2013"
"AK","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.853",,"10/01/2012","09/30/2013"
"AK","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.449",,"10/01/2012","09/30/2013"
"AK","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.400",,"10/01/2012","09/30/2013"
"AK","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.256",,"10/01/2012","09/30/2013"
"AK","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","0.739",,"10/01/2012","09/30/2013"
"AK","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.727",,"10/01/2012","09/30/2013"
"AK","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","1.719",,"10/01/2012","09/30/2013"
"AK","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.144",,"10/01/2012","09/30/2013"
"AK","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","0.069",,"10/01/2012","09/30/2013"
"AK","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","1.351",,"10/01/2012","09/30/2013"
"AK","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","0.409",,"10/01/2012","09/30/2013"
"AK","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","0.003",,"01/01/2013","09/30/2013"
"AK","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","0.744",,"01/01/2013","09/30/2013"
"AK","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","0.133",,"01/01/2013","09/30/2013"
"AK","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","0.523",,"01/01/2013","09/30/2013"
"AK","C.diff Upper Confidence Limit","HAI_6_CI_UPPER","0.844",,"01/01/2013","09/30/2013"
"AK","Clostridium difficile (C.diff.) Laboratory-identified Events (Intestinal infections)","HAI_6_SIR","0.669",,"01/01/2013","09/30/2013"
"AL","CLABSI Lower Confidence Limit","HAI_1_CI_LOWER","0.525",,"10/01/2012","09/30/2013"
"AL","CLABSI Upper Confidence Limit","HAI_1_CI_UPPER","0.673",,"10/01/2012","09/30/2013"
"AL","Central line-associated blood stream infections (CLABSI)","HAI_1_SIR","0.596",,"10/01/2012","09/30/2013"
"AL","CAUTI Lower Confidence Limit","HAI_2_CI_LOWER","0.932",,"10/01/2012","09/30/2013"
"AL","CAUTI Upper Confidence Limit","HAI_2_CI_UPPER","1.098",,"10/01/2012","09/30/2013"
"AL","Catheter-Associated Urinary Tract Infections (CAUTI)","HAI_2_SIR","1.013",,"10/01/2012","09/30/2013"
"AL","SSI: Colon Lower Confidence Limit","HAI_3_CI_LOWER","0.461",,"10/01/2012","09/30/2013"
"AL","SSI: Colon Upper Confidence Limit","HAI_3_CI_UPPER","0.677",,"10/01/2012","09/30/2013"
"AL","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.561",,"10/01/2012","09/30/2013"
"AL","SSI: Abdominal Lower Confidence Limit","HAI_4_CI_LOWER","0.335",,"10/01/2012","09/30/2013"
"AL","SSI: Abdominal Upper Confidence Limit","HAI_4_CI_UPPER","0.651",,"10/01/2012","09/30/2013"
"AL","Surgical Site Infection from abdominal hysterectomy (SSI: Hysterectomy)","HAI_4_SIR","0.473",,"10/01/2012","09/30/2013"
"AL","MRSA Lower Confidence Limit","HAI_5_CI_LOWER","1.257",,"01/01/2013","09/30/2013"
"AL","MRSA Upper Confidence Limit","HAI_5_CI_UPPER","1.653",,"01/01/2013","09/30/2013"
"AL","Methicillin-resistant Staphylococcus Aureus (MRSA) Blood Laboratory-identified Events (Bloodstream infections)","HAI_5_SIR","1.445",,"01/01/2013","09/30/2013"
"AL","C.diff Lower Confidence Limit","HAI_6_CI_LOWER","0.618",,"01/01/2013","09/30/2013"
