"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Denominator","Footnote","Measure Start Date","Measure End Date"
"AK","038","Extracranial procedures w CC","15",,"10/01/2012","09/30/2013"
"AK","039","Extracranial procedures w/o CC/MCC","52",,"10/01/2012","09/30/2013"
"AK","190","Chronic obstructive pulmonary disease w MCC","123",,"10/01/2012","09/30/2013"
"AK","191","Chronic obstructive pulmonary disease w CC","133",,"10/01/2012","09/30/2013"
"AK","192","Chronic obstructive pulmonary disease w/o CC/MCC","134",,"10/01/2012","09/30/2013"
"AK","193","Simple pneumonia and pleurisy w MCC","91",,"10/01/2012","09/30/2013"
"AK","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","25",,"10/01/2012","09/30/2013"
"AK","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","32",,"10/01/2012","09/30/2013"
"AK","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","226","Cardiac defibrillator implant w/o cardiac cath w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","25",,"10/01/2012","09/30/2013"
"AK","235","Coronary bypass w/o cardiac cath w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","236","Coronary bypass w/o cardiac cath w/o MCC","36",,"10/01/2012","09/30/2013"
"AK","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","19",,"10/01/2012","09/30/2013"
"AK","243","Permanent cardiac pacemaker implant w CC","62",,"10/01/2012","09/30/2013"
"AK","244","Permanent cardiac pacemaker implant w/o CC/MCC","65",,"10/01/2012","09/30/2013"
"AK","247","Perc cardiovasc proc w drug-eluting stent w/o MCC","156",,"10/01/2012","09/30/2013"
"AK","280","Acute myocardial infarction, discharged alive w MCC","43",,"10/01/2012","09/30/2013"
"AK","281","Acute myocardial infarction, discharged alive w CC","46",,"10/01/2012","09/30/2013"
"AK","282","Acute myocardial infarction, discharged alive w/o CC/MCC","46",,"10/01/2012","09/30/2013"
"AK","291","Heart failure and shock w MCC","140",,"10/01/2012","09/30/2013"
"AK","292","Heart failure and shock w CC","210",,"10/01/2012","09/30/2013"
"AK","293","Heart failure and shock w/o CC/MCC","72",,"10/01/2012","09/30/2013"
"AK","313","Chest Pain","98",,"10/01/2012","09/30/2013"
"AK","328","Stomach, esophageal duodenal proc w/o CC/MCC","17",,"10/01/2012","09/30/2013"
"AK","329","Major small and large bowel procedures w MCC","60",,"10/01/2012","09/30/2013"
"AK","330","Major small and large bowel procedures w CC","92",,"10/01/2012","09/30/2013"
"AK","331","Major small and large bowel procedures w/o CC/MCC","58",,"10/01/2012","09/30/2013"
"AK","353","Hernia procedures except inguinal and femoral w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","354","Hernia procedures except inguinal and femoral w CC","13",,"10/01/2012","09/30/2013"
"AK","355","Hernia procedures except inguinal and femoral w/o CC/MCC","12",,"10/01/2012","09/30/2013"
"AK","414","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","17",,"10/01/2012","09/30/2013"
"AK","418","Laparoscopic cholecystectomy w/o c.d.e. w CC","33",,"10/01/2012","09/30/2013"
"AK","419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","30",,"10/01/2012","09/30/2013"
"AK","459","Spinal fusion except cervical w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","460","Spinal fusion except cervical w/o MCC","137",,"10/01/2012","09/30/2013"
"AK","462","Bilateral or multiple major joint procs of lower extremity w/o MCC","37",,"10/01/2012","09/30/2013"
"AK","466","Revision of hip or knee replacement w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","467","Revision of hip or knee replacement w CC","37",,"10/01/2012","09/30/2013"
"AK","468","Revision of hip or knee replacement w/o CC/MCC","50",,"10/01/2012","09/30/2013"
"AK","469","Major joint replacement or reattachment of lower extremity w MCC","14",,"10/01/2012","09/30/2013"
"AK","470","Major joint replacement or reattachment of lower extremity w/o MCC","670",,"10/01/2012","09/30/2013"
"AK","471","Cervical spinal fusion w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","472","Cervical spinal fusion w CC","21",,"10/01/2012","09/30/2013"
"AK","473","Cervical spinal fusion w/o CC/MCC","78",,"10/01/2012","09/30/2013"
"AK","477","Biopsies of musculoskeletal system and connective tissue w MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","478","Biopsies of musculoskeletal system and connective tissue w CC","Not Available","1","10/01/2012","09/30/2013"
"AK","479","Biopsies of musculoskeletal system and connective tissue w/o CC/MCC","Not Available","1","10/01/2012","09/30/2013"
"AK","490","Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","34",,"10/01/2012","09/30/2013"
"AK","491","Back and neck proc exc spinal fusion w/o CC/MCC","83",,"10/01/2012","09/30/2013"
