"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"AK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","7","0","1",,"07/01/2009","03/31/2012"
"AK","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","5","0","15",,"07/01/2009","06/30/2012"
"AK","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","9","0","12",,"07/01/2009","06/30/2012"
"AK","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","15","0","7",,"07/01/2009","06/30/2012"
"AK","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","8","0","1",,"07/01/2010","06/30/2012"
"AK","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","8","0","0",,"07/01/2010","06/30/2012"
"AK","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","2","7","0","0",,"07/01/2010","06/30/2012"
"AK","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","4","0","3",,"07/01/2010","06/30/2012"
"AK","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","0","9","0","0",,"07/01/2010","06/30/2012"
"AK","Serious complications","PSI_90_SAFETY","0","9","0","0",,"07/01/2010","06/30/2012"
"AK","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","5","0","14",,"07/01/2009","06/30/2012"
"AK","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","12","0","10",,"07/01/2009","06/30/2012"
"AK","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","8","0","0",,"07/01/2009","06/30/2012"
"AK","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","20","1","1",,"07/01/2011","06/30/2012"
"AK","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","15","0","6",,"07/01/2009","06/30/2012"
"AL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","4","46","0","11",,"07/01/2009","03/31/2012"
"AL","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","50","0","50",,"07/01/2009","06/30/2012"
"AL","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","2","89","1","8",,"07/01/2009","06/30/2012"
"AL","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","13","84","0","4",,"07/01/2009","06/30/2012"
"AL","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","3","72","1","5",,"07/01/2010","06/30/2012"
"AL","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","58","0","18",,"07/01/2010","06/30/2012"
"AL","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","8","89","0","0",,"07/01/2010","06/30/2012"
"AL","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","6","33","0","29",,"07/01/2010","06/30/2012"
"AL","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","2","95","0","0",,"07/01/2010","06/30/2012"
"AL","Serious complications","PSI_90_SAFETY","5","92","0","0",,"07/01/2010","06/30/2012"
"AL","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","39","0","58",,"07/01/2009","06/30/2012"
"AL","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","92","2","6",,"07/01/2009","06/30/2012"
"AL","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","52","0","9",,"07/01/2009","06/30/2012"
"AL","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","1","92","1","3",,"07/01/2011","06/30/2012"
"AL","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","96","0","5",,"07/01/2009","06/30/2012"
"AR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","28","1","7",,"07/01/2009","03/31/2012"
"AR","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","2","30","1","40",,"07/01/2009","06/30/2012"
"AR","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","11","59","0","7",,"07/01/2009","06/30/2012"
"AR","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","8","66","0","3",,"07/01/2009","06/30/2012"
"AR","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","0","41","3","2",,"07/01/2010","06/30/2012"
"AR","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","0","35","0","9",,"07/01/2010","06/30/2012"
"AR","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","0","45","1","0",,"07/01/2010","06/30/2012"
"AR","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","1","20","0","17",,"07/01/2010","06/30/2012"
"AR","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","45","0","0",,"07/01/2010","06/30/2012"
"AR","Serious complications","PSI_90_SAFETY","0","44","2","0",,"07/01/2010","06/30/2012"
"AR","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","27","0","46",,"07/01/2009","06/30/2012"
"AR","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","3","71","0","3",,"07/01/2009","06/30/2012"
"AR","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","1","28","1","7",,"07/01/2009","06/30/2012"
"AR","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","11","60","3","0",,"07/01/2011","06/30/2012"
"AR","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","5","68","1","3",,"07/01/2009","06/30/2012"
"AS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0",,"07/01/2009","03/31/2012"
"AS","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","0","0","1",,"07/01/2009","06/30/2012"
"AS","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","0","0","0","1",,"07/01/2009","06/30/2012"
"AS","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","1","0","0",,"07/01/2009","06/30/2012"
"AS","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"AS","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"AS","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"AS","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"AS","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"AS","Serious complications","PSI_90_SAFETY","Not Available","Not Available","Not Available","Not Available",,"07/01/2010","06/30/2012"
"AS","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","0","0","1",,"07/01/2009","06/30/2012"
"AS","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","0","0","1",,"07/01/2009","06/30/2012"
"AS","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","0","0","0",,"07/01/2009","06/30/2012"
"AS","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","1","0","0",,"07/01/2011","06/30/2012"
"AS","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","1","0","0",,"07/01/2009","06/30/2012"
"AZ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","48","1","6",,"07/01/2009","03/31/2012"
"AZ","Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT_30_AMI","0","49","1","19",,"07/01/2009","06/30/2012"
"AZ","Heart failure (HF) 30-Day Mortality Rate","MORT_30_HF","1","57","2","17",,"07/01/2009","06/30/2012"
"AZ","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","2","66","3","10",,"07/01/2009","06/30/2012"
"AZ","Serious blood clots after surgery","PSI_12_POSTOP_PULMEMB_DVT","1","58","3","1",,"07/01/2010","06/30/2012"
"AZ","A wound that splits open  after surgery on the abdomen or pelvis","PSI_14_POSTOP_DEHIS","1","49","0","9",,"07/01/2010","06/30/2012"
"AZ","Accidental cuts and tears from medical treatment","PSI_15_ACC_LAC","4","61","1","1",,"07/01/2010","06/30/2012"
"AZ","Deaths among Patients with Serious Treatable Complications after Surgery","PSI_4_SURG_COMP","0","39","3","15",,"07/01/2010","06/30/2012"
"AZ","Collapsed lung due to medical treatment","PSI_6_IAT_PTX","1","65","0","1",,"07/01/2010","06/30/2012"
"AZ","Serious complications","PSI_90_SAFETY","2","64","1","0",,"07/01/2010","06/30/2012"
"AZ","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","47","0","21",,"07/01/2009","06/30/2012"
"AZ","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","60","3","14",,"07/01/2009","06/30/2012"
"AZ","Rate of readmission after hip/knee surgery","READM_30_HIP_KNEE","0","48","1","7",,"07/01/2009","06/30/2012"
"AZ","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","3","64","9","5",,"07/01/2011","06/30/2012"
"AZ","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","72","0","9",,"07/01/2009","06/30/2012"
"CA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","4","196","7","89",,"07/01/2009","03/31/2012"
