"State","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","SPP_1","0.91","14","01/01/2012","12/31/2012"
"AL","SPP_1","0.98",,"01/01/2012","12/31/2012"
"AR","SPP_1","0.98",,"01/01/2012","12/31/2012"
"AS","SPP_1","Not Available","9","01/01/2012","12/31/2012"
"AZ","SPP_1","0.93",,"01/01/2012","12/31/2012"
"CA","SPP_1","0.98",,"01/01/2012","12/31/2012"
"CO","SPP_1","0.95",,"01/01/2012","12/31/2012"
"CT","SPP_1","1.02",,"01/01/2012","12/31/2012"
"DC","SPP_1","1.00","14","01/01/2012","12/31/2012"
"DE","SPP_1","1.00","14","01/01/2012","12/31/2012"
"FL","SPP_1","1.04",,"01/01/2012","12/31/2012"
"GA","SPP_1","0.95",,"01/01/2012","12/31/2012"
"GU","SPP_1","Not Available","9","01/01/2012","12/31/2012"
"HI","SPP_1","0.87",,"01/01/2012","12/31/2012"
"IA","SPP_1","0.91",,"01/01/2012","12/31/2012"
"ID","SPP_1","0.91",,"01/01/2012","12/31/2012"
"IL","SPP_1","1.00",,"01/01/2012","12/31/2012"
"IN","SPP_1","1.01",,"01/01/2012","12/31/2012"
"KS","SPP_1","0.94",,"01/01/2012","12/31/2012"
"KY","SPP_1","0.97",,"01/01/2012","12/31/2012"
"LA","SPP_1","1.04",,"01/01/2012","12/31/2012"
"MA","SPP_1","1.03",,"01/01/2012","12/31/2012"
"MD","SPP_1","Not Available","9","01/01/2012","12/31/2012"
"ME","SPP_1","0.95",,"01/01/2012","12/31/2012"
"MI","SPP_1","0.96",,"01/01/2012","12/31/2012"
"MN","SPP_1","0.90",,"01/01/2012","12/31/2012"
"MO","SPP_1","0.95",,"01/01/2012","12/31/2012"
"MP","SPP_1","Not Available","9","01/01/2012","12/31/2012"
"MS","SPP_1","0.95",,"01/01/2012","12/31/2012"
"MT","SPP_1","0.89",,"01/01/2012","12/31/2012"
"NC","SPP_1","0.94",,"01/01/2012","12/31/2012"
"ND","SPP_1","0.90","14","01/01/2012","12/31/2012"
"NE","SPP_1","0.97",,"01/01/2012","12/31/2012"
"NH","SPP_1","1.01","14","01/01/2012","12/31/2012"
"NJ","SPP_1","1.07",,"01/01/2012","12/31/2012"
"NM","SPP_1","0.85",,"01/01/2012","12/31/2012"
"NV","SPP_1","1.04",,"01/01/2012","12/31/2012"
"NY","SPP_1","0.96",,"01/01/2012","12/31/2012"
"OH","SPP_1","1.01",,"01/01/2012","12/31/2012"
"OK","SPP_1","0.93",,"01/01/2012","12/31/2012"
"OR","SPP_1","0.88",,"01/01/2012","12/31/2012"
"PA","SPP_1","1.01",,"01/01/2012","12/31/2012"
"PR","SPP_1","Not Available","9","01/01/2012","12/31/2012"
"RI","SPP_1","1.02",,"01/01/2012","12/31/2012"
"SC","SPP_1","0.98",,"01/01/2012","12/31/2012"
"SD","SPP_1","0.90","14","01/01/2012","12/31/2012"
"TN","SPP_1","1.00",,"01/01/2012","12/31/2012"
"TX","SPP_1","1.03",,"01/01/2012","12/31/2012"
"UT","SPP_1","0.98",,"01/01/2012","12/31/2012"
"VA","SPP_1","0.95",,"01/01/2012","12/31/2012"
"VI","SPP_1","Not Available","9","01/01/2012","12/31/2012"
"VT","SPP_1","1.01","14","01/01/2012","12/31/2012"
"WA","SPP_1","0.91","14","01/01/2012","12/31/2012"
"WI","SPP_1","0.94",,"01/01/2012","12/31/2012"
"WV","SPP_1","0.96",,"01/01/2012","12/31/2012"
"WY","SPP_1","0.93",,"01/01/2012","12/31/2012"
