"Measure_Name","Measure_ID","Measure_Start_Quarter","Measure_Start_Date","Measure_End_Quarter","Measure_End_Date"
"Statin Prescribed at Discharge","AMI-10","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Aspirin Prescribed at Discharge","AMI-2","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Fibrinolytic Therapy Received within 30 Minutes of Hospital Arrival","AMI-7a","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Primary PCI Received Within 90 Minutes of Hospital Arrival","AMI-8a","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Relievers for Inpatient Asthma","CAC-1","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Systemic Corticosteroids for Inpatient Asthma","CAC-2","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Home Management Plan of Care (HMPC) Document Given to Patient/Caregiver","CAC-3","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Complication Rate Following Elective Primary  Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty (TKA)","COMP-HIP-KNEE","3Q2009",7/1/2009 0:00:00,"1Q2012",3/31/2012 0:00:00
"Median Time from ED Arrival to ED Departure for Admitted ED Patients","ED-1b","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Admit Decision Time to ED Departure Time for Admitted Patients","ED-2b","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Central Line Associated Bloodstream Infection","HAI-1","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Catheter Associated Urinary Tract Infections","HAI-2","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"SSI - Colon Surgery","HAI-3","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"SSI - Abdominal Hysterectomy","HAI-4","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"MRSA Bacteremia","HAI-5","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Clostridium Difficile (C.Diff)","HAI-6","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Hours of physical-restraint use","HBIPS-2","4Q2012",10/1/2012 0:00:00,"1Q2013",3/31/2013 0:00:00
"Hours of seclusion","HBIPS-3","4Q2012",10/1/2012 0:00:00,"1Q2013",3/31/2013 0:00:00
"Patients discharged on multiple antipsychotic medications","HBIPS-4","4Q2012",10/1/2012 0:00:00,"1Q2013",3/31/2013 0:00:00
"Patients discharged on multiple antipsychotic medications with appropriate justification","HBIPS-5","4Q2012",10/1/2012 0:00:00,"1Q2013",3/31/2013 0:00:00
"Post-discharge continuing care plan created","HBIPS-6","4Q2012",10/1/2012 0:00:00,"1Q2013",3/31/2013 0:00:00
"Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","HBIPS-7","4Q2012",10/1/2012 0:00:00,"1Q2013",3/31/2013 0:00:00
"Patient satisfaction survey results","HCAHPS","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Discharge Instructions","HF-1","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Evaluation of LVS Function","HF-2","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"ACEI or ARB for LVSD","HF-3","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Pneumococcal Immunization","IMM-1a","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Influenza Immunization","IMM-2","4Q2012",10/1/2012 0:00:00,"1Q2013",3/31/2013 0:00:00
"Acute Myocardial Infarction (AMI) 30-Day Mortality Rate","MORT-30-AMI","3Q2009",7/1/2009 0:00:00,"2Q2012",6/30/2012 0:00:00
"Heart Failure (HF) 30-Day Mortality Rate","MORT-30-HF","3Q2009",7/1/2009 0:00:00,"2Q2012",6/30/2012 0:00:00
"Pneumonia (PN) 30-Day Mortality Rate","MORT-30-PN","3Q2009",7/1/2009 0:00:00,"2Q2012",6/30/2012 0:00:00
"Spending per Hospital Patient with Medicare (Medicare Spending per Beneficiary)","MSPB-1","1Q2012",1/1/2012 0:00:00,"4Q2012",12/31/2012 0:00:00
"MV","MV","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Median Time to Fibrinolysis","OP-1","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Abdomen CT - Use of Contrast Material","OP-10","3Q2012",7/1/2012 0:00:00,"2Q2013",6/30/2013 0:00:00
"Thorax CT - Use of Contrast Material","OP-11","3Q2012",7/1/2012 0:00:00,"2Q2013",6/30/2013 0:00:00
"The Ability for Providers with HIT to Receive Laboratory Data Electronically Directly into their ONC Certified EHR System as Discrete Searchable Data","OP-12","1Q2012",1/1/2012 0:00:00,"4Q2012",12/31/2012 0:00:00
"Cardiac imaging for preoperative risk assessment for non-cardiac low-risk surgery","OP-13","3Q2012",7/1/2012 0:00:00,"2Q2013",6/30/2013 0:00:00
"Simultaneous use of brain Computed Tomography (CT) and sinus Computed Tomography (CT)","OP-14","3Q2012",7/1/2012 0:00:00,"2Q2013",6/30/2013 0:00:00
"Tracking Clinical Results Between Visits","OP-17","1Q2012",1/1/2012 0:00:00,"4Q2012",12/31/2012 0:00:00
"Median Time from ED Arrival to ED Departure for Discharged ED Patients","OP-18b","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","OP-2","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Median Time from ED Arrival to Provider Contact for ED patients","OP-20","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Median Time to Pain Management for Long Bone Fracture","OP-21","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Left Without Being Seen","OP-22","1Q2012",1/1/2012 0:00:00,"4Q2012",12/31/2012 0:00:00
"Head CT Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 Minutes of ED Arrival","OP-23","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Safe Surgery Checklist Use","OP-25","1Q2012",1/1/2012 0:00:00,"4Q2012",12/31/2012 0:00:00
"Hospital Outpatient Volume Data on Selected Outpatient Surgical Procedures","OP-26","1Q2012",1/1/2012 0:00:00,"4Q2012",12/31/2012 0:00:00
"Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate","OP-3b","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Aspirin at Arrival","OP-4","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Median Time to ECG","OP-5","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Timing of Antibiotic Prophylaxis","OP-6","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Prophylactic Antibiotic Selection for Surgical Patients","OP-7","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"MRI Lumbar Spine for Low Back Pain","OP-8","3Q2012",7/1/2012 0:00:00,"2Q2013",6/30/2013 0:00:00
"Mammography Follow-up Rates","OP-9","3Q2012",7/1/2012 0:00:00,"2Q2013",6/30/2013 0:00:00
"Elective Delivery","PC-01","1Q2013",1/1/2013 0:00:00,"3Q2013",9/30/2013 0:00:00
"Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital","PN-3b","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Initial Antibiotic Selection for CAP in Immunocompetent Patient","PN-6","4Q2012",10/1/2012 0:00:00,"3Q2013",9/30/2013 0:00:00
"Post-Operative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT)","PSI-12","3Q2010",7/1/2010 0:00:00,"2Q2012",6/30/2012 0:00:00
"Postoperative wound dehiscence ","PSI-14","3Q2010",7/1/2010 0:00:00,"2Q2012",6/30/2012 0:00:00
"Accidental puncture or laceration  ","PSI-15","3Q2010",7/1/2010 0:00:00,"2Q2012",6/30/2012 0:00:00
