"Measure Name","Condition","Percentile","Score"
"Patients Given Aspirin at Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Patients Given Aspirin at Arrival","Heart Attack","National Average of Hospitals submitting data:","91%"
"Patients Given Aspirin at Discharge","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Patients Given Aspirin at Discharge","Heart Attack","National Average of Hospitals submitting data:","87%"
"Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Attack","National Average of Hospitals submitting data:","80%"
"Patients Given Beta Blocker at Discharge","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Patients Given Beta Blocker at Discharge","Heart Attack","National Average of Hospitals submitting data:","86%"
"Patients Given Beta Blocker at Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Patients Given Beta Blocker at Arrival","Heart Attack","National Average of Hospitals submitting data:","84%"
"Patients Given Assessment of Left Ventricular Function (LVF)","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","97%"
"Patients Given Assessment of Left Ventricular Function (LVF)","Heart Failure","National Average of Hospitals submitting data:","79%"
"Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Failure","National Average of Hospitals submitting data:","79%"
"Patients Given Oxygenation Assessment","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Patients Given Oxygenation Assessment","Pneumonia","National Average of Hospitals submitting data:","98%"
"Patients Assessed and Given Pneumococcal Vaccination","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","83%"
"Patients Assessed and Given Pneumococcal Vaccination","Pneumonia","National Average of Hospitals submitting data:","51%"
"Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","90%"
"Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","Pneumonia","National Average of Hospitals submitting data:","75%"
"Patients Given Smoking Cessation Advice/Counseling","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Patients Given Smoking Cessation Advice/Counseling","Heart Attack","National Average of Hospitals submitting data:","75%"
"Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","80%"
"Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","Heart Attack","National Average of Hospitals submitting data:","31%"
"Patients Given PCI Within 120 Minutes Of Arrival","Heart Attack","Top 10% of Hospitals submitting data scored equal to or higher than:","88%"
"Patients Given PCI Within 120 Minutes Of Arrival","Heart Attack","National Average of Hospitals submitting data:","61%"
"Patients Given Discharge Instructions","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","86%"
"Patients Given Discharge Instructions","Heart Failure","National Average of Hospitals submitting data:","48%"
"Patients Given Smoking Cessation Advice/Counseling","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than:","100%"
"Patients Given Smoking Cessation Advice/Counseling","Heart Failure","National Average of Hospitals submitting data:","68%"
"Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","93%"
"Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","Pneumonia","National Average of Hospitals submitting data:","82%"
"Patients Given Smoking Cessation Advice/Counseling","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","96%"
"Patients Given Smoking Cessation Advice/Counseling","Pneumonia","National Average of Hospitals submitting data:","66%"
"Patients Given the Most Appropriate Initial Antibiotic(s)","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than:","89%"
"Patients Given the Most Appropriate Initial Antibiotic(s)","Pneumonia","National Average of Hospitals submitting data:","76%"
"Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","93%"
"Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","Surgical Infection Prevention","National Average of Hospitals submitting data:","70%"
"Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","Surgical Infection Prevention","Top 10% of Hospitals submitting data scored equal to or higher than:","98%"
"Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","Surgical Infection Prevention","National Average of Hospitals submitting data:","66%"
