"State","Condition","Measure Name","State Average"
"AK","Heart Attack","Patients Given Aspirin at Arrival","96"
"AK","Heart Attack","Patients Given Aspirin at Discharge","83"
"AK","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","86"
"AK","Heart Attack","Patients Given Beta Blocker at Discharge","87"
"AK","Heart Attack","Patients Given Beta Blocker at Arrival","85"
"AK","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","88"
"AK","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","86"
"AK","Pneumonia","Patients Given Oxygenation Assessment","98"
"AK","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","62"
"AK","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","74"
"AK","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","70"
"AK","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","46"
"AK","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","55"
"AK","Heart Failure","Patients Given Discharge Instructions","37"
"AK","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","48"
"AK","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","90"
"AK","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","53"
"AK","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","69"
"AK","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","47"
"AK","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","60"
"AL","Heart Attack","Patients Given Aspirin at Arrival","89"
"AL","Heart Attack","Patients Given Aspirin at Discharge","87"
"AL","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","83"
"AL","Heart Attack","Patients Given Beta Blocker at Discharge","80"
"AL","Heart Attack","Patients Given Beta Blocker at Arrival","77"
"AL","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","75"
"AL","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","79"
"AL","Pneumonia","Patients Given Oxygenation Assessment","96"
"AL","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","53"
"AL","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","75"
"AL","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","78"
"AL","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","31"
"AL","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","55"
"AL","Heart Failure","Patients Given Discharge Instructions","49"
"AL","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","69"
"AL","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","79"
"AL","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","66"
"AL","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","74"
"AL","Surgical Infection Prevention","Surgery Patients Who Received Preventative Antibiotic(s) One Hour Before Incision","75"
"AL","Surgical Infection Prevention","Surgery Patients Whose Preventative Antibiotic(s) are Stopped Within 24 hours After Surgery","64"
"AR","Heart Attack","Patients Given Aspirin at Arrival","89"
"AR","Heart Attack","Patients Given Aspirin at Discharge","82"
"AR","Heart Attack","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","67"
"AR","Heart Attack","Patients Given Beta Blocker at Discharge","78"
"AR","Heart Attack","Patients Given Beta Blocker at Arrival","77"
"AR","Heart Failure","Patients Given Assessment of Left Ventricular Function (LVF)","72"
"AR","Heart Failure","Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","73"
"AR","Pneumonia","Patients Given Oxygenation Assessment","98"
"AR","Pneumonia","Patients Assessed and Given Pneumococcal Vaccination","50"
"AR","Pneumonia","Patients Given Initial Antibiotic(s) within 4 Hours After Arrival","80"
"AR","Heart Attack","Patients Given Smoking Cessation Advice/Counseling","78"
"AR","Heart Attack","Patients Given Thrombolytic Medication Within 30 Minutes Of Arrival","31"
"AR","Heart Attack","Patients Given PCI Within 120 Minutes Of Arrival","55"
"AR","Heart Failure","Patients Given Discharge Instructions","56"
"AR","Heart Failure","Patients Given Smoking Cessation Advice/Counseling","78"
"AR","Pneumonia","Patients Having a Blood Culture Performed Prior to First Antibiotic Received in Hospital","84"
"AR","Pneumonia","Patients Given Smoking Cessation Advice/Counseling","76"
"AR","Pneumonia","Patients Given the Most Appropriate Initial Antibiotic(s)","76"
