"Provider Number","Hospital Name","Address1","Address2","Address3","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Owner","Accreditation","Emergency Service"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE",,,"DOTHAN                        ","AL","36302","HOUSTON","3347938188","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH",,,"BOAZ                          ","AL","35957","MARSHALL","2565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET",,,"FLORENCE                      ","AL","35631","LAUDERDALE","2564689191","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST",,,"OPP                           ","AL","36467","COVINGTON","3344933541","Acute Care Hospitals","Voluntary non-profit - Private","No","Yes"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE",,,"LUVERNE                       ","AL","36049","CRENSHAW","3343353374","Acute Care Hospitals","Voluntary non-profit - Church","No","Yes"
"010009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST",,,"HARTSELLE                     ","AL","35640","MORGAN","2567736511","Acute Care Hospitals","Proprietary","Yes","Yes"
"010010","MARSHALL MEDICAL CENTER NORTH","8000 ALABAMA HIGHWAY 69",,,"GUNTERSVILLE                  ","AL","35976","MARSHALL","2565718000","Acute Care Hospitals","Government - Hospital District or Authority","Yes","Yes"
"010011","MEDICAL CENTER EAST","50 MEDICAL PARK EAST DRIVE",,,"BIRMINGHAM                    ","AL","35235","JEFFERSON","2058383122","Acute Care Hospitals","Voluntary non-profit - Private","Yes","Yes"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE",,,"FORT PAYNE                    ","AL","35968","DE KALB","2568453150","Acute Care Hospitals","Voluntary non-profit - Church","Yes","Yes"
"010015","SOUTHWEST ALABAMA MEDICAL CENTER","33700 HIGHWAY 43",,,"THOMASVILLE                   ","AL","36784","CLARKE","3346364431","Acute Care Hospitals","Proprietary","No","Yes"
