"State","HCAHPS Question","HCAHPS Answer Description","HCAHPS Answer Percent"
"AK","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",12
"AK","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",31
"AK","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",57
"AK","How often did doctors communicate well with patients?","Doctors always communicated well",77
"AK","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",5
"AK","How often did doctors communicate well with patients?","Doctors usually communicated well",18
"AK","How often did nurses communicate well with patients?","Nurses always communicated well",71
"AK","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",5
"AK","How often did nurses communicate well with patients?","Nurses usually communicated well",24
"AK","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",64
"AK","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",10
"AK","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",26
"AK","How often did staff explain about medicines before giving them to patients?","Staff always explained",61
"AK","How often did staff explain about medicines before giving them to patients?","Staff sometimes or never explained",19
"AK","How often did staff explain about medicines before giving them to patients?","Staff usually explained",20
"AK","How often was patients&#39; pain well controlled?","Pain was always well controlled",64
"AK","How often was patients&#39; pain well controlled?","Pain was sometimes or never well controlled",8
"AK","How often was patients&#39; pain well controlled?","Pain was usually well controlled",28
"AK","How often was the area around patients&#39; rooms kept quiet at night?","Always quiet at night",55
"AK","How often was the area around patients&#39; rooms kept quiet at night?","Sometimes or never quiet at night",12
"AK","How often was the area around patients&#39; rooms kept quiet at night?","Usually quiet at night",33
"AK","How often were the patients&#39; rooms and bathrooms kept clean?","Room was always clean",67
"AK","How often were the patients&#39; rooms and bathrooms kept clean?","Room was sometimes or never clean",11
"AK","How often were the patients&#39; rooms and bathrooms kept clean?","Room was usually clean",22
"AK","Were patients given information about what to do during their recovery at home?","No, staff did not give patients this information",17
"AK","Were patients given information about what to do during their recovery at home?","Yes, staff did give patients this information",83
"AK","Would patients recommend the hospital to friends and family?","NO, patients would not recommend the hospital (they probably would not or definitely would not recommend it)",6
"AK","Would patients recommend the hospital to friends and family?","YES, patients would definitely recommend the hospital",64
"AK","Would patients recommend the hospital to friends and family?","YES, patients would probably recommend the hospital",30
"AL","How do patients rate the hospital overall?","Patients who gave a rating of 6 or lower (low)",7
"AL","How do patients rate the hospital overall?","Patients who gave a rating of 7 or 8 (medium)",19
"AL","How do patients rate the hospital overall?","Patients who gave a rating of 9 or 10 (high)",74
"AL","How often did doctors communicate well with patients?","Doctors always communicated well",87
"AL","How often did doctors communicate well with patients?","Doctors sometimes or never communicated well",2
"AL","How often did doctors communicate well with patients?","Doctors usually communicated well",11
"AL","How often did nurses communicate well with patients?","Nurses always communicated well",81
"AL","How often did nurses communicate well with patients?","Nurses sometimes or never communicated well",4
"AL","How often did nurses communicate well with patients?","Nurses usually communicated well",15
"AL","How often did patients receive help quickly from hospital staff?","Patients always received help as soon as they wanted",66
"AL","How often did patients receive help quickly from hospital staff?","Patients sometimes or never received help as soon as they wanted",8
"AL","How often did patients receive help quickly from hospital staff?","Patients usually received help as soon as they wanted",26
"AL","How often did staff explain about medicines before giving them to patients?","Staff always explained",70
