"State","MS-DRG ID","MS-DRG Name","Medicare Payment Range","Number Of Cases"
"AK","038","Extracranial procedures w CC","10743 - 10763","26"
"AL","038","Extracranial procedures w CC","7404 - 8177","353"
"AR","038","Extracranial procedures w CC","7640 - 8504","235"
"AZ","038","Extracranial procedures w CC","1024 - 9117","321"
"CA","038","Extracranial procedures w CC","1357 - 11486","1105"
"CO","038","Extracranial procedures w CC","8092 - 9056","164"
"CT","038","Extracranial procedures w CC","9423 - 11232","172"
"DC","038","Extracranial procedures w CC","11282 - 11432","27"
"DE","038","Extracranial procedures w CC","8528 - 10053","69"
"FL","038","Extracranial procedures w CC","7552 - 8441","1399"
"GA","038","Extracranial procedures w CC","7879 - 9475","408"
"GU","038","Extracranial procedures w CC","5874 - 5874","*"
"HI","038","Extracranial procedures w CC","358 - 11574","19"
"IA","038","Extracranial procedures w CC","7835 - 8261","174"
"ID","038","Extracranial procedures w CC","8122 - 8720","47"
"IL","038","Extracranial procedures w CC","8285 - 9468","672"
"IN","038","Extracranial procedures w CC","7815 - 8728","430"
"KS","038","Extracranial procedures w CC","7427 - 8437","214"
"KY","038","Extracranial procedures w CC","7575 - 9042","331"
"LA","038","Extracranial procedures w CC","7404 - 8267","322"
"MA","038","Extracranial procedures w CC","9087 - 12151","380"
"MD","038","Extracranial procedures w CC","6046 - 13063","352"
"ME","038","Extracranial procedures w CC","8879 - 9602","84"
"MI","038","Extracranial procedures w CC","8325 - 9685","673"
"MN","038","Extracranial procedures w CC","8462 - 9178","293"
"MO","038","Extracranial procedures w CC","7523 - 9010","445"
"MS","038","Extracranial procedures w CC","7913 - 8668","178"
"MT","038","Extracranial procedures w CC","7751 - 8207","75"
"NC","038","Extracranial procedures w CC","8181 - 9927","491"
"ND","038","Extracranial procedures w CC","7257 - 7595","58"
"NE","038","Extracranial procedures w CC","7864 - 8100","118"
"NH","038","Extracranial procedures w CC","8666 - 12350","99"
"NJ","038","Extracranial procedures w CC","8965 - 10863","403"
"NM","038","Extracranial procedures w CC","8165 - 9341","34"
"NV","038","Extracranial procedures w CC","4558 - 9313","119"
"NY","038","Extracranial procedures w CC","7518 - 11932","766"
"OH","038","Extracranial procedures w CC","7648 - 8849","745"
"OK","038","Extracranial procedures w CC","7334 - 8474","305"
"OR","038","Extracranial procedures w CC","1024 - 9225","201"
"PA","038","Extracranial procedures w CC","1467 - 9038","789"
"PR","038","Extracranial procedures w CC","436 - 4874","17"
"RI","038","Extracranial procedures w CC","2260 - 9902","38"
"SC","038","Extracranial procedures w CC","7814 - 9093","279"
"SD","038","Extracranial procedures w CC","7733 - 8928","41"
"TN","038","Extracranial procedures w CC","7485 - 8638","377"
"TX","038","Extracranial procedures w CC","7985 - 9024","1206"
"UT","038","Extracranial procedures w CC","8590 - 8650","57"
"VA","038","Extracranial procedures w CC","7771 - 8865","340"
"VT","038","Extracranial procedures w CC","12238 - 12323","23"
"WA","038","Extracranial procedures w CC","9178 - 10285","265"
"WI","038","Extracranial procedures w CC","7811 - 9117","365"
"WV","038","Extracranial procedures w CC","7034 - 8451","183"
"WY","038","Extracranial procedures w CC","7935 - 8654","12"
"AK","039","Extracranial procedures w/o CC/MCC","7975 - 7995","38"
"AL","039","Extracranial procedures w/o CC/MCC","5500 - 6074","1128"
"AR","039","Extracranial procedures w/o CC/MCC","5715 - 6210","758"
"AZ","039","Extracranial procedures w/o CC/MCC","1024 - 6772","993"
"CA","039","Extracranial procedures w/o CC/MCC","1036 - 8466","3503"
"CO","039","Extracranial procedures w/o CC/MCC","5903 - 6674","450"
"CT","039","Extracranial procedures w/o CC/MCC","7092 - 8352","653"
"DC","039","Extracranial procedures w/o CC/MCC","8304 - 8492","56"
"DE","039","Extracranial procedures w/o CC/MCC","6759 - 7468","226"
"FL","039","Extracranial procedures w/o CC/MCC","5610 - 6181","4853"
"GA","039","Extracranial procedures w/o CC/MCC","5846 - 6903","1440"
"GU","039","Extracranial procedures w/o CC/MCC","3264 - 3753","*"
"HI","039","Extracranial procedures w/o CC/MCC","471 - 8619","58"
"IA","039","Extracranial procedures w/o CC/MCC","5815 - 6136","742"
"ID","039","Extracranial procedures w/o CC/MCC","5918 - 6486","179"
"IL","039","Extracranial procedures w/o CC/MCC","6062 - 6967","1730"
"IN","039","Extracranial procedures w/o CC/MCC","5805 - 6418","1451"
"KS","039","Extracranial procedures w/o CC/MCC","5517 - 6267","828"
"KY","039","Extracranial procedures w/o CC/MCC","5557 - 6716","939"
"LA","039","Extracranial procedures w/o CC/MCC","5500 - 6136","1066"
"MA","039","Extracranial procedures w/o CC/MCC","6697 - 8991","1214"
"MD","039","Extracranial procedures w/o CC/MCC","4897 - 8165","959"
"ME","039","Extracranial procedures w/o CC/MCC","6673 - 7133","315"
"MI","039","Extracranial procedures w/o CC/MCC","6153 - 7210","2254"
"MN","039","Extracranial procedures w/o CC/MCC","6286 - 6868","648"
"MO","039","Extracranial procedures w/o CC/MCC","5558 - 6406","1369"
"MS","039","Extracranial procedures w/o CC/MCC","5822 - 6410","767"
"MT","039","Extracranial procedures w/o CC/MCC","5600 - 6096","264"
"NC","039","Extracranial procedures w/o CC/MCC","6029 - 7340","1528"
"ND","039","Extracranial procedures w/o CC/MCC","5385 - 5702","207"
"NE","039","Extracranial procedures w/o CC/MCC","5843 - 6338","380"
"NH","039","Extracranial procedures w/o CC/MCC","6437 - 9174","245"
"NJ","039","Extracranial procedures w/o CC/MCC","6794 - 8098","1403"
"NM","039","Extracranial procedures w/o CC/MCC","6055 - 6864","163"
"NV","039","Extracranial procedures w/o CC/MCC","4818 - 6918","391"
"NY","039","Extracranial procedures w/o CC/MCC","5424 - 7770","2741"
"OH","039","Extracranial procedures w/o CC/MCC","5674 - 6597","2680"
"OK","039","Extracranial procedures w/o CC/MCC","5448 - 6597","829"
"OR","039","Extracranial procedures w/o CC/MCC","1752 - 6823","687"
"PA","039","Extracranial procedures w/o CC/MCC","1024 - 6598","2431"
"PR","039","Extracranial procedures w/o CC/MCC","3551 - 3743","91"
"RI","039","Extracranial procedures w/o CC/MCC","1742 - 8708","185"
"SC","039","Extracranial procedures w/o CC/MCC","5804 - 6643","1015"
"SD","039","Extracranial procedures w/o CC/MCC","5744 - 6336","179"
"TN","039","Extracranial procedures w/o CC/MCC","5533 - 6488","1492"
"TX","039","Extracranial procedures w/o CC/MCC","5861 - 6632","4111"
"UT","039","Extracranial procedures w/o CC/MCC","6169 - 6556","168"
"VA","039","Extracranial procedures w/o CC/MCC","5772 - 6641","1139"
"VT","039","Extracranial procedures w/o CC/MCC","9091 - 9187","55"
"WA","039","Extracranial procedures w/o CC/MCC","6805 - 7442","861"
"WI","039","Extracranial procedures w/o CC/MCC","5804 - 6833","1111"
"WV","039","Extracranial procedures w/o CC/MCC","5304 - 6282","602"
"WY","039","Extracranial procedures w/o CC/MCC","6027 - 6430","87"
"AK","328","Stomach, esophageal & duodenal proc w/o CC/MCC","16032 - 21525","*"
"AL","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9084 - 10424","247"
"AR","328","Stomach, esophageal & duodenal proc w/o CC/MCC","9774 - 10256","149"
