"MS-DRG ID","MS-DRG Name","Medicare Payment Range","Number Of Cases"
"038","Extracranial procedures w CC","7721 - 9546","16300"
"039","Extracranial procedures w/o CC/MCC","5693 - 6936","53668"
"190","Chronic obstructive pulmonary disease w MCC","5802 - 7163","142756"
"191","Chronic obstructive pulmonary disease w CC","4895 - 5999","152186"
"192","Chronic obstructive pulmonary disease w/o CC/MCC","4240 - 5185","171992"
"193","Simple pneumonia & pleurisy w MCC","6485 - 8216","127156"
"219","Cardiac valve & oth maj cardiothoracic proc w/o card cath w MCC","36687 - 55989","14801"
"220","Cardiac valve & oth maj cardiothoracic proc w/o card cath w CC","29488 - 40684","16611"
"221","Cardiac valve & oth maj cardiothoracic proc w/o card cath w/o CC/MCC","27261 - 35816","5898"
"224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","39909 - 54615","3420"
"225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","33688 - 44020","5553"
"226","Cardiac defibrillator implant w/o cardiac cath w MCC","32162 - 44457","9447"
"227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","27015 - 35815","38554"
"235","Coronary bypass w/o cardiac cath w MCC","24476 - 36136","12347"
"236","Coronary bypass w/o cardiac cath w/o MCC","18922 - 24875","29834"
"237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","24073 - 34500","28123"
"243","Permanent cardiac pacemaker implant w CC","13434 - 16796","43141"
"244","Permanent cardiac pacemaker implant w/o CC/MCC","11281 - 14031","58343"
"247","Perc cardiovasc proc w drug-eluting stent w/o MCC","11194 - 14375","172587"
"280","Acute myocardial infarction, discharged alive w MCC","8341 - 11354","90512"
"281","Acute myocardial infarction, discharged alive w CC","6538 - 8407","57008"
"282","Acute myocardial infarction, discharged alive w/o CC/MCC","4687 - 6677","47082"
"291","Heart failure & shock w MCC","6541 - 8397","233893"
"292","Heart failure & shock w CC","5253 - 6595","226741"
"293","Heart failure & shock w/o CC/MCC","4542 - 5696","156694"
"313","Chest Pain","2897 - 3751","217104"
"328","Stomach, esophageal & duodenal proc w/o CC/MCC","9584 - 12617","9345"
"329","Major small & large bowel procedures w MCC","22199 - 31370","57668"
"330","Major small & large bowel procedures w CC","14850 - 18919","68650"
"331","Major small & large bowel procedures w/o CC/MCC","9546 - 12089","30299"
"353","Hernia procedures except inguinal & femoral w MCC","10967 - 14443","4097"
"354","Hernia procedures except inguinal & femoral w CC","7531 - 9630","9903"
"355","Hernia procedures except inguinal & femoral w/o CC/MCC","5380 - 6859","15751"
"414","Cholecystectomy except by laparoscope w/o c.d.e. w MCC","15891 - 21517","6032"
"417","Laparoscopic cholecystectomy w/o c.d.e. w MCC","11359 - 14074","22020"
"418","Laparoscopic cholecystectomy w/o c.d.e. w CC","9025 - 10923","28881"
"419","Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","6512 - 7949","35576"
"459","Spinal fusion except cervical w MCC","23877 - 35299","4806"
"460","Spinal fusion except cervical w/o MCC","18334 - 23750","62955"
"461","Bilateral or multiple major joint procs of lower extremity w MCC","20367 - 27027","1180"
"462","Bilateral or multiple major joint procs of lower extremity w/o MCC","16485 - 21250","13879"
"466","Revision of hip or knee replacement w MCC","15526 - 24382","5204"
"467","Revision of hip or knee replacement w CC","13660 - 18292","19681"
"468","Revision of hip or knee replacement w/o CC/MCC","12725 - 16750","19609"
"469","Major joint replacement or reattachment of lower extremity w MCC","11345 - 16860","40495"
"470","Major joint replacement or reattachment of lower extremity w/o MCC","10305 - 12748","464290"
"471","Cervical spinal fusion w MCC","19360 - 28211","3206"
"472","Cervical spinal fusion w CC","13351 - 17629","8740"
"473","Cervical spinal fusion w/o CC/MCC","10282 - 12913","26486"
"477","Biopsies of musculoskeletal system & connective tissue w MCC","13371 - 17842","3701"
"478","Biopsies of musculoskeletal system & connective tissue w CC","10348 - 12869","9945"
"479","Biopsies of musculoskeletal system & connective tissue w/o CC/MCC","8875 - 10607","10237"
"490","Back & neck proc exc spinal fusion w CC/MCC or disc device/neurostim","7967 - 10186","27055"
"491","Back & neck proc exc spinal fusion w/o CC/MCC","5323 - 6651","55649"
"507","Major shoulder or elbow joint procedures w CC/MCC","7659 - 9828","1088"
"508","Major shoulder or elbow joint procedures w/o CC/MCC","5937 - 7517","2305"
"515","Other musculoskelet sys & conn tiss O.R. proc w MCC","12703 - 16812","5135"
"637","Diabetes w MCC","5683 - 7598","26083"
"656","Kidney & ureter procedures for neoplasm w MCC","14439 - 19751","5251"
"657","Kidney & ureter procedures for neoplasm w CC","10138 - 13413","8931"
"658","Kidney & ureter procedures for neoplasm w/o CC/MCC","8748 - 11640","8883"
"659","Kidney & ureter procedures for non-neoplasm w MCC","15072 - 22546","5790"
"668","Transurethral procedures w MCC","9194 - 11822","5533"
"673","Other kidney & urinary tract procedures w MCC","13792 - 18949","14848"
"674","Other kidney & urinary tract procedures w CC","11356 - 14715","10469"
"675","Other kidney & urinary tract procedures w/o CC/MCC","9122 - 11588","5683"
"713","Transurethral prostatectomy w CC/MCC","5229 - 6487","11933"
"714","Transurethral prostatectomy w/o CC/MCC","3547 - 4425","29313"
"743","Uterine & adnexa proc for non-malignancy w/o CC/MCC","4614 - 5865","33693"
"748","Female reproductive system reconstructive procedures","4166 - 5181","21796"
