"State","Condition","Measure Name","Category","Number of Hospitals"
"AL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"AK","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"AZ","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"AR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","5"
"CA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"CO","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"CT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"DE","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"DC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"FL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","4"
"GA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"HI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"ID","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"IL","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","19"
"IN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"IA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"KS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"KY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"LA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"ME","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"MD","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","7"
"MA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","6"
"MI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","4"
"MN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"MS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","6"
"MO","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"MT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NE","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NV","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NH","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NJ","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","8"
"NM","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"NY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","20"
"NC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"ND","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"OH","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","10"
"OK","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","4"
"OR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"PA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"PR","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","1"
"RI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"SC","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"SD","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"TN","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","6"
"TX","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"UT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"VT","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"VI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"VA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","3"
"WA","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"WV","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","2"
"WI","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"WY","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"AS","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"GU","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"MP","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","0"
"Nation","Pneumonia","Pneumonia (PN) 30-Day Readmission Rate","Worse than U.S. National Rate","132"
