"State","Diagnosis Related Group ID","Diagnosis Related Group Name","Medicare Average Payment Range","Number Of Cases"
"GU","191","Chronic obstructive pulmonary disease w CC","5265 - 14898","*"
"HI","193","Simple pneumonia and pleurisy w MCC","10496 - 13022","323"
"HI","191","Chronic obstructive pulmonary disease w CC","7099 - 9320","148"
"HI","637","Diabetes w MCC","9711 - 11279","66"
"HI","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","31140 - 37199","21"
"HI","313","Chest Pain","3945 - 5222","207"
"HI","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","56985 - 66788","25"
"HI","235","Coronary bypass w/o cardiac cath w MCC","42408 - 48184","43"
"HI","236","Coronary bypass w/o cardiac cath w/o MCC","25486 - 30595","67"
"HI","038","Extracranial procedures w CC","12445 - 15361","20"
"HI","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","43028 - 49097","*"
"HI","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","54256 - 63918","*"
"HI","039","Extracranial procedures w/o CC/MCC","7402 - 9103","39"
"HI","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","36287 - 42782","48"
"HI","226","Cardiac defibrillator implant w/o cardiac cath w MCC","46863 - 55520","20"
"HI","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","35999 - 43839","18"
"HI","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","36225 - 48187","64"
"IA","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","28672 - 32400","303"
"IA","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","30546 - 32848","178"
"IA","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","28073 - 30878","262"
"IA","039","Extracranial procedures w/o CC/MCC","5575 - 6184","619"
"IA","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","42174 - 50226","22"
"IA","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","32046 - 35646","29"
"IA","226","Cardiac defibrillator implant w/o cardiac cath w MCC","36319 - 40408","65"
"IA","038","Extracranial procedures w CC","8356 - 9297","178"
"IA","236","Coronary bypass w/o cardiac cath w/o MCC","20407 - 22583","261"
"IA","235","Coronary bypass w/o cardiac cath w MCC","33006 - 41200","134"
"IA","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","46881 - 64126","158"
"IA","313","Chest Pain","2998 - 3331","1413"
"IA","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","24336 - 27074","67"
"IA","637","Diabetes w MCC","7307 - 8339","224"
"IA","191","Chronic obstructive pulmonary disease w CC","5287 - 5931","1121"
"IA","193","Simple pneumonia and pleurisy w MCC","7648 - 8783","1688"
"ID","193","Simple pneumonia and pleurisy w MCC","8344 - 8905","394"
"ID","191","Chronic obstructive pulmonary disease w CC","5773 - 6182","196"
"ID","637","Diabetes w MCC","7720 - 8239","54"
"ID","221","Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","27127 - 27191","37"
"ID","313","Chest Pain","3270 - 3472","171"
"ID","219","Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","47699 - 57253","46"
"ID","235","Coronary bypass w/o cardiac cath w MCC","34136 - 35203","23"
"ID","236","Coronary bypass w/o cardiac cath w/o MCC","21860 - 22364","97"
"ID","038","Extracranial procedures w CC","8945 - 9152","48"
"ID","225","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","35760 - 36025","12"
"ID","224","Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","46612 - 77815","*"
"ID","039","Extracranial procedures w/o CC/MCC","6019 - 6211","132"
"ID","227","Cardiac defibrillator implant w/o cardiac cath w/o MCC","30567 - 31206","27"
"ID","226","Cardiac defibrillator implant w/o cardiac cath w MCC","39605 - 43062","*"
"ID","220","Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","31322 - 32062","60"
"ID","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","31097 - 37650","54"
"IL","237","Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","29292 - 40883","1134"
