"State","Condition","Measure Name","Measure Code","Score"
"AL","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"AK","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"AZ","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"AR","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"CA","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","100"
"CO","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"CT","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"DE","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"DC","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"FL","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","100"
"GA","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"HI","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"ID","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"IL","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"IN","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"IA","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"KS","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"KY","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"LA","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"ME","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"MD","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"MA","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"MI","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"MN","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"MS","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"MO","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"MT","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"NE","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"NV","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"NH","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"NJ","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"NM","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"NY","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"NC","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","100"
"ND","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"OH","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"OK","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"OR","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"PA","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"PR","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"RI","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"SC","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"SD","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
"TN","Children's Asthma Process of Care Measures","Children Who Received Reliever Medication While Hospitalized for Asthma    ","CAC_1","N/A"
