"Prvdr_id","PSI_4_SURG_COMP","PSI_4_SURG_COMP_F","PSI_6_IAT_PTX","PSI_6_IAT_PTX_F","PSI_11_POSTOP_RESPFAIL","PSI_11_POSTOP_RESPFAIL_F","PSI_12_POSTOP_PULMEMB_DVT","PSI_12_POSTOP_PULMEMB_DVT_F","PSI_14_POSTOP_DEHIS","PSI_14_POSTOP_DEHIS_F","PSI_15_ACC_LAC","PSI_15_ACC_LAC_F","PSI_90_SAFETY","PSI_90_SAFETY_F","IQI_11_AAA","IQI_11_AAA_F","IQI_19_HIP_FX","IQI_19_HIP_FX_F","IQI_91_CONDS","IQI_91_CONDS_F","PSI_4_SURG_COMP_NUM_DC","PSI_4_SURG_COMP_RATE","PSI_4_SURG_COMP_LOW_EST","PSI_4_SURG_COMP_HIGH_EST","PSI_6_IAT_PTX_NUM_DC","PSI_6_IAT_PTX_RATE","PSI_6_IAT_PTX_LOW_EST","PSI_6_IAT_PTX_HIGH_EST","PSI_11_POSTOP_RESPFAIL_NUM_DC","PSI_11_POSTOP_RESPFAIL__RATE","PSI_11_POSTOP_RESPFAIL_LOW_EST","PSI_11_POSTOP_RESPFAIL_HIGH_EST","PSI_12_POSTOP_PULMEMB_DVT_NUM_DC","PSI_12_POSTOP_PULMEMB_DVT_RATE","PSI_12_POSTOP_PULMEMB_DVT_LOW_EST","PSI_12_POSTOP_PULMEMB_DVT_HIGH_EST","PSI_14_POSTOP_DEHIS_NUM_DC","PSI_14_POSTOP_DEHIS_RATE","PSI_14_POSTOP_DEHIS_LOW_EST","PSI_14_POSTOP_DEHIS_HIGH_EST","PSI_15_ACC_LAC_NUM_DC","PSI_15_ACC_LAC_RATE","PSI_15_ACC_LAC_LOW_EST","PSI_15_ACC_LAC_HIGH_EST","PSI_90_SAFETY_NUM_DC","PSI_90_SAFETY_RATE","PSI_90_SAFETY_LOW_EST","PSI_90_SAFETY_HIGH_EST","IQI_11_AAA_NUM_DC","IQI_11_AAA_RATE","IQI_11_AAA_LOW_EST","IQI_11_AAA_HIGH_EST","IQI_19_HIP_FX_NUM_DC","IQI_19_HIP_FX_RATE","IQI_19_HIP_FX_LOW_EST","IQI_19_HIP_FX_HIGH_EST","IQI_91_CONDS_NUM_DC","IQI_91_CONDS_RATE","IQI_91_CONDS_LOW_EST","IQI_91_CONDS_HIGH_EST"
"010010","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"12","Not Available","Not Available","Not Available","3621","0.23","0.00","0.68","193","5.84","0.00","13.76","442","3.32","0.00","10.77","35","2.10","0.00","4.30","3753","0.70","0.00","2.62","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","71","2.54","1.17","3.91","Not Available","Not Available","Not Available","Not Available"
"010011","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"91","139.13","94.11","184.15","7471","0.48","0.13","0.83","1228","11.99","7.46","16.52","2615","5.66","2.01","9.31","234","2.29","0.25","4.33","7676","1.22","0.10","2.34","Not Available","Not Available","Not Available","Not Available","21","Not Available","Not Available","Not Available","208","2.73","1.26","4.20","Not Available","Not Available","Not Available","Not Available"
"010012","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"22","Not Available","Not Available","Not Available","3215","0.48","0.01","0.95","303","9.70","2.35","17.05","695","2.93","0.00","9.93","76","2.06","0.00","4.24","3329","2.62","0.90","4.34","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","78","3.02","1.33","4.71","Not Available","Not Available","Not Available","Not Available"
"010001","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"Better than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"120","115.78","77.87","153.69","13690","0.33","0.06","0.60","1987","13.92","10.74","17.10","4459","1.34","0.00","3.99","324","2.61","0.65","4.57","14305","3.17","2.31","4.03","Not Available","Not Available","Not Available","Not Available","75","4.17","1.64","6.70","288","2.96","1.59","4.33","Not Available","Not Available","Not Available","Not Available"
"010005","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"21","Not Available","Not Available","Not Available","3979","0.33","0.00","0.78","71","10.35","1.16","19.54","559","5.22","0.00","12.06","84","2.01","0.00","4.17","4073","0.63","0.00","2.45","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","105","2.36","0.81","3.91","Not Available","Not Available","Not Available","Not Available"
"010006","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"101","137.45","94.37","180.53","8824","0.28","0.00","0.63","Not Available","Not Available","Not Available","Not Available","2522","2.67","0.00","6.41","212","2.29","0.25","4.33","9417","1.62","0.54","2.70","Not Available","Not Available","Not Available","Not Available","67","4.82","2.62","7.02","201","3.64","2.09","5.19","Not Available","Not Available","Not Available","Not Available"
"010007","Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Worse than U.S. National Rate",,"8","Not Available","Not Available","Not Available","2125","0.30","0.00","0.83","143","9.26","0.56","17.96","237","9.48","0.27","18.69","29","2.10","0.00","4.30","2164","1.56","0.00","3.93","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","36","3.39","1.59","5.19","Not Available","Not Available","Not Available","Not Available"
"010008","Not Available","5","No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","636","0.37","0.00","0.94","6","Not Available","Not Available","Not Available","34","4.97","0.00","17.08","Not Available","Not Available","Not Available","Not Available","686","1.74","0.00","4.78","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","15","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010009","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Number of Cases Too Small","j","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"3","Not Available","Not Available","Not Available","1330","0.33","0.00","0.88","Not Available","Not Available","Not Available","Not Available","76","4.36","0.00","15.71","9","Not Available","Not Available","Not Available","1369","1.32","0.00","3.97","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","8","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010015","Not Available","5","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"Not Available","5","No Different than U.S. National Rate",,"No Different than U.S. National Rate",,"Not Available","5","Number of Cases Too Small","j","No Different than U.S. National Rate",,"Not Available","Not Available","Not Available","Not Available","900","0.36","0.00","0.93","Not Available","Not Available","Not Available","Not Available","26","5.26","0.00","17.73","Not Available","Not Available","Not Available","Not Available","911","1.64","0.00","4.58","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","3","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
