"State","Worse - Death from serious treatable complications after surgery","Same - Death from serious treatable complications after surgery","Better - Death from serious treatable complications after surgery","Too few - Death from serious treatable complications after surgery","Worse - Collapsed lung due to medical treatment","Same - Collapsed lung due to medical treatment","Better - Collapsed lung due to medical treatment","Too few - Collapsed lung due to medical treatment","Worse - Breathing failure after surgery","Same - Breathing failure after surgery","Better - Breathing failure after surgery","Too few - Breathing failure after surgery","Worse - Serious blood clots after surgery","Same - Serious blood clots after surgery","Better - Serious blood clots after surgery","Too few - Serious blood clots after surgery","Worse - A wound that splits open after surgery","Same - A wound that splits open after surgery","Better - A wound that splits open after surgery","Too few - A wound that splits open after surgery","Worse - Accidental cuts and tears from medical treatment","Same - Accidental cuts and tears from medical treatment","Better - Accidental cuts and tears from medical treatment","Too few - Accidental cuts and tears from medical treatment","Worse - Serious Complications","Same - Serious Complications","Better - Serious Complications","Too few - Serious Complications","Worse - Death after surgery to repair a weakness in the abdominal aorta","Same - Death after surgery to repair a weakness in the abdominal aorta","Better - Death after surgery to repair a weakness in the abdominal aorta","Too few - Death after surgery to repair a weakness in the abdominal aorta","Worse - Deaths after admission for broken hip","Same - Deaths after admission for broken hip","Better - Deaths after admission for broken hip","Too few - Deaths after admission for broken hip","Worse - Deaths from Certain Conditions","Same - Deaths from Certain Conditions","Better - Deaths from Certain Conditions","Too few - Deaths from Certain Conditions"
"AK","0","5","0","2","0","9","0","0","0","6","1","0","0","8","0","0","0","7","0","1","3","6","0","0","0","9","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AL","5","36","0","29","2","95","0","1","9","45","3","5","2","69","5","9","2","58","0","16","7","87","3","1","4","93","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AR","1","19","0","19","1","46","0","0","4","30","1","6","0","38","7","1","0","35","0","10","2","44","1","0","0","45","2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","0","40","6","12","2","63","0","0","2","47","5","3","2","52","6","2","1","51","0","7","9","54","2","0","8","55","2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CA","1","192","4","85","2","306","1","2","10","238","29","18","12","251","33","6","3","259","0","34","24","279","6","2","23","273","15","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CO","1","23","4","15","2","43","0","2","2","36","6","1","4","33","7","1","0","39","0","4","5","40","0","2","3","43","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"CT","0","25","0","4","2","29","0","1","6","20","3","0","4","24","1","0","0","29","0","0","3","27","1","1","6","24","2","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"DC","0","6","0","1","1","6","0","0","1","5","1","0","3","4","0","0","0","7","0","0","2","4","1","0","2","5","0","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"DE","0","5","0","0","0","5","0","0","1","3","1","0","1","4","0","0","0","5","0","0","0","3","2","0","0","4","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"FL","5","119","8","26","9","159","1","2","19","118","13","9","19","133","9","3","1","155","0","4","10","139","20","2","12","145","14","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"GA","4","53","0","37","2","106","0","0","8","62","8","9","5","91","4","6","1","82","0","18","8","99","1","0","7","100","1","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
