"State","Percent of patients who reported that their nurses 'Sometimes' or 'Never' communicated well.","Percent of patients who reported that their nurses 'Usually' communicated well.","Percent of patients who reported that their nurses 'Always' communicated well.","Percent of patients who reported that their doctors 'Sometimes' or 'Never' communicated well.","Percent of patients who reported that their doctors 'Usually' communicated well.","Percent of patients who reported that their doctors 'Always' communicated well.","Percent of patients who reported that they 'Sometimes' or 'Never' received help as soon as they wanted.","Percent of patients who reported that they 'Usually' received help as soon as they wanted.","Percent of patients who reported that they 'Always' received help as soon as they wanted.","Percent of patients who reported that their pain was 'Sometimes' or 'Never' well controlled.","Percent of patients who reported that their pain was 'Usually' well controlled.","Percent of patients who reported that their pain was 'Always' well controlled.","Percent of patients who reported that staff 'Sometimes' or 'Never' explained about medicines before giving it to them.","Percent of patients who reported that staff 'Usually' explained about medicines before giving it to them.","Percent of patients who reported that staff 'Always' explained about medicines before giving it to them.","Percent of patients who reported that their room and bathroom were 'Sometimes' or 'Never' clean.","Percent of patients who reported that their room and bathroom were 'Usually' clean.","Percent of patients who reported that their room and bathroom were 'Always' clean.","Percent of patients who reported that the area around their room was 'Sometimes' or 'Never' quiet at night.","Percent of patients who reported that the area around their room was 'Usually' quiet at night.","Percent of patients who reported that the area around their room was 'Always' quiet at night.","Percent of patients at each hospital who reported that YES they were given information about what to do during recovery.","Percent of patients who reported that they were not given information about what to do during their recovery at home.","Percent of patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest).","Percent of patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest).","Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest).","Percent of patients who reported NO they would not recommend the hospital.","Percent of patients who reported YES they would probably recommend the hospital.","Patients who reported YES they would definitely recommend the hospital."
"AK","4","19","77","4","16","80","9","24","67","7","25","68","16","18","66","9","21","70","10","30","60","85","15","9","25","66","4","26","70"
"AL","6","15","79","3","11","86","12","22","66","9","20","71","19","16","65","11","19","70","6","24","70","81","19","8","22","70","5","25","70"
"AR","5","17","78","4","13","83","10","24","66","7","23","70","20","18","62","10","18","72","8","27","65","81","19","9","22","69","6","25","69"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","5","19","76","6","17","77","10","25","65","7","24","69","20","18","62","10","20","70","12","32","56","84","16","9","23","68","6","24","70"
"CA","7","21","72","6","17","77","13","28","59","8","25","67","23","19","58","10","21","69","18","33","49","81","19","10","24","66","7","24","69"
"CO","4","18","78","4","15","81","7","24","69","6","23","71","17","19","64","7","19","74","7","30","63","86","14","7","20","73","4","20","76"
"CT","5","19","76","5","17","78","11","28","61","6","25","69","21","20","59","8","21","71","16","34","50","82","18","9","25","66","5","24","71"
"DC","10","21","69","6","18","76","21","28","51","12","24","64","26","18","56","17","23","60","15","30","55","77","23","13","29","58","9","28","63"
"DE","5","18","77","5","16","79","11","25","64","8","23","69","21","19","60","9","20","71","16","32","52","82","18","9","25","66","5","26","69"
"FL","7","20","73","7","16","77","14","26","60","9","24","67","25","17","58","11","21","68","13","30","57","81","19","11","24","65","8","24","68"
"GA","5","18","77","4","13","83","12","24","64","7","22","71","21","17","62","10","19","71","8","27","65","81","19","9","22","69","6","25","69"
"GU","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"HI","5","19","76","5","15","80","11","27","62","7","24","69","19","19","62","7","20","73","14","33","53","81","19","10","23","67","5","26","69"
"IA","3","17","80","3","13","84","6","25","69","5","24","71","15","21","64","6","16","78","7","30","63","85","15","6","20","74","3","22","75"
"ID","3","18","79","4","14","82","6","23","71","5","23","72","17","18","65","7","17","76","8","30","62","87","13","6","21","73","3","23","74"
"IL","5","18","77","4","16","80","11","25","64","7","24","69","21","19","60","9","19","72","12","31","57","83","17","9","24","67","5","27","68"
"IN","4","17","79","4","14","82","7","25","68","5","23","72","19","19","62","7","18","75","9","32","59","84","16","7","20","73","4","23","73"
"KS","3","17","80","3","14","83","6","24","70","5","24","71","17","19","64","7","18","75","7","28","65","85","15","6","20","74","3","21","76"
"KY","4","16","80","3","13","84","9","23","68","7","21","72","19","17","64","8","18","74","9","29","62","83","17","8","22","70","5","24","71"
"LA","4","14","82","3","11","86","10","20","70","7","18","75","17","15","68","9","17","74","6","21","73","83","17","8","18","74","4","21","75"
"MA","5","17","78","5","15","80","10","26","64","7","22","71","19","19","62","8","19","73","15","34","51","86","14","8","24","68","4","23","73"
"MD","7","19","74","6","16","78","14","28","58","9","24","67","24","19","57","13","22","65","14","31","55","82","18","10","26","64","6","27","67"
"ME","3","16","81","4","13","83","7","22","71","5","22","73","16","18","66","5","17","78","10","31","59","86","14","6","20","74","3","21","76"
"MI","4","18","78","4","17","79","8","24","68","6","23","71","20","19","61","9","20","71","12","31","57","86","14","8","22","70","5","25","70"
"MN","3","18","79","3","14","83","6","22","72","5","25","70","16","20","64","6","18","76","7","30","63","86","14","6","22","72","3","24","73"
"MO","5","18","77","4","15","81","9","26","65","7","24","69","21","18","61","9","19","72","11","31","58","84","16","9","23","68","5","27","68"
"MP","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MS","5","15","80","4","11","85","11","22","67","8","20","72","21","17","62","10","18","72","7","24","69","79","21","10","22","68","6","26","68"
"MT","5","20","75","5","15","80","7","24","69","8","24","68","20","18","62","8","20","72","11","31","58","82","18","11","23","66","5","28","67"
"NC","4","16","80","4","13","83","9","24","67","7","22","71","19","16","65","10","19","71","9","28","63","84","16","7","23","70","5","24","71"
"ND","4","19","77","4","18","78","7","28","65","6","25","69","18","21","61","8","20","72","10","34","56","84","16","9","24","67","4","27","69"
"NE","3","16","81","2","14","84","5","23","72","4","25","71","15","21","64","6","16","78","7","30","63","87","13","5","21","74","2","23","75"
"NH","3","17","80","4","15","81","7","23","70","6","22","72","16","19","65","6","17","77","11","34","55","88","12","7","21","72","4","21","75"
"NJ","7","19","74","6","17","77","15","27","58","9","24","67","24","18","58","11","21","68","16","32","52","79","21","12","26","62","7","28","65"
"NM","6","18","76","6","15","79","12","22","66","8","22","70","19","17","64","10","20","70","12","29","59","81","19","11","26","63","7","31","62"
"NV","8","21","71","8","18","74","15","27","58","9","24","67","24","18","58","12","20","68","14","31","55","82","18","11","24","65","8","24","68"
"NY","7","20","73","6","17","77","15","27","58","9","25","66","24","18","58","11","22","67","17","34","49","81","19","12","27","61","7","29","64"
"OH","4","17","79","5","16","79","8","25","67","6","24","70","20","18","62","7","19","74","11","32","57","85","15","8","22","70","4","25","71"
"OK","5","17","78","4","12","84","8","23","69","6","22","72","19","18","63","9","18","73","7","26","67","82","18","9","20","71","5","25","70"
"OR","4","19","77","4","16","80","8","26","66","6","24","70","19","19","62","8","20","72","12","34","54","84","16","8","23","69","4","24","72"
"PA","5","18","77","5","16","79","10","26","64","7","24","69","21","19","60","9","20","71","14","34","52","83","17","10","24","66","5","28","67"
"PR","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"RI","5","17","78","5","15","80","11","25","64","7","23","70","22","18","60","7","19","74","15","33","52","84","16","9","24","67","5","24","71"
"SC","5","15","80","4","12","84","10","22","68","7","21","72","19","16","65","9","19","72","8","25","67","85","15","8","22","70","5","25","70"
"SD","3","15","82","2","13","85","6","18","76","5","23","72","13","20","67","5","14","81","6","25","69","85","15","7","20","73","3","24","73"
"TN","5","16","79","4","13","83","10","23","67","7","22","71","21","16","63","10","18","72","8","26","66","82","18","9","23","68","6","25","69"
"TX","5","17","78","4","13","83","10","23","67","7","21","72","19","17","64","9","18","73","8","25","67","83","17","8","21","71","5","23","72"
"UT","3","19","78","2","15","83","6","25","69","5","23","72","17","19","64","7","20","73","8","32","60","89","11","6","20","74","3","21","76"
"VA","6","17","77","5","15","80","11","26","63","8","23","69","21","18","61","10","20","70","11","30","59","84","16","9","25","66","6","26","68"
"VI","7","17","76","5","14","81","12","28","60","9","21","70","23","20","57","12","23","65","15","28","57","74","26","11","36","53","5","30","65"
"VT","4","18","78","4","15","81","7","24","69","5","23","72","16","20","64","6","17","77","11","36","53","87","13","7","24","69","3","24","73"
"WA","4","20","76","4","17","79","9","27","64","7","24","69","19","20","61","8","20","72","13","34","53","85","15","8","23","69","4","23","73"
"WI","3","17","80","3","15","82","6","24","70","5","24","71","15","18","67","5","17","78","8","30","62","87","13","6","21","73","3","24","73"
"WV","6","17","77","4","14","82","12","23","65","8","23","69","20","18","62","9","18","73","13","32","55","83","17","11","24","65","6","29","65"
"WY","4","18","78","4","16","80","7","22","71","7","24","69","17","19","64","8","19","73","8","32","60","86","14","9","26","65","5","28","67"
