"Provider ID","Measure","Score","Footnote"
"AK","HAI_1_SIR","0.37",""
"FL","HAI_1_SIR","0.56",""
"GA","HAI_1_SIR","0.71",""
"HI","HAI_1_SIR","0.11",""
"IA","HAI_1_SIR","0.57",""
"ID","HAI_1_SIR","0.39",""
"IL","HAI_1_SIR","0.58",""
"IN","HAI_1_SIR","0.44",""
"KS","HAI_1_SIR","0.37",""
"KY","HAI_1_SIR","0.71",""
"LA","HAI_1_SIR","0.74",""
"AL","HAI_1_SIR","0.68",""
"MA","HAI_1_SIR","0.52",""
"MD","HAI_1_SIR","0.75",""
"ME","HAI_1_SIR","0.95",""
"MI","HAI_1_SIR","0.36",""
"MN","HAI_1_SIR","0.41",""
"MO","HAI_1_SIR","0.44",""
"MS","HAI_1_SIR","0.74",""
"MT","HAI_1_SIR","0.54",""
"NC","HAI_1_SIR","0.51",""
"ND","HAI_1_SIR","0.39",""
"AR","HAI_1_SIR","0.46",""
"NE","HAI_1_SIR","0.63",""
"NH","HAI_1_SIR","0.65",""
"NJ","HAI_1_SIR","0.71",""
"NM","HAI_1_SIR","0.52",""
"NV","HAI_1_SIR","0.48",""
"NY","HAI_1_SIR","0.70",""
"OH","HAI_1_SIR","0.47",""
"OK","HAI_1_SIR","0.52",""
"OR","HAI_1_SIR","0.40",""
"PA","HAI_1_SIR","0.48",""
"AZ","HAI_1_SIR","0.60",""
"PR","HAI_1_SIR","1.46",""
"RI","HAI_1_SIR","0.75",""
"SC","HAI_1_SIR","0.72",""
"SD","HAI_1_SIR","0.28",""
"TN","HAI_1_SIR","0.71",""
"TX","HAI_1_SIR","0.54",""
"UT","HAI_1_SIR","0.61",""
"VA","HAI_1_SIR","0.61",""
"VI","HAI_1_SIR","Not Available","No data are available for publication from the hospital for this measure because this hospital does not have ICU locations."
"VT","HAI_1_SIR","0.25",""
"CA","HAI_1_SIR","0.51",""
"WA","HAI_1_SIR","0.44",""
"WI","HAI_1_SIR","0.62",""
"WV","HAI_1_SIR","0.60",""
"WY","HAI_1_SIR","0.37",""
"CO","HAI_1_SIR","0.50",""
"GU","HAI_1_SIR","Not Available","No data are available from the hospital for this measure."
"AS","HAI_1_SIR","Not Available","No data are available from the hospital for this measure."
"MP","HAI_1_SIR","Not Available","No data are available from the hospital for this measure."
"CT","HAI_1_SIR","0.52",""
"DC","HAI_1_SIR","0.64",""
"DE","HAI_1_SIR","0.62",""
