"Measure Name","Measure Start Quarter","Measure Start Date","Measure End Quarter","Measure End Date"
"Aspirin at Arrival","1Q11","01/01/2011","4Q11","12/31/2011"
"Aspirin Prescribed at Discharge","1Q11","01/01/2011","4Q11","12/31/2011"
"ACEI or ARB for LVSD","1Q11","01/01/2011","4Q11","12/31/2011"
"Adult Smoking Cessation Advice/Counseling","1Q11","01/01/2011","4Q11","12/31/2011"
"Beta-Blocker Prescribed at Discharge","1Q11","01/01/2011","4Q11","12/31/2011"
"Fibrinolytic Therapy Received within 30 Minutes of Hospital Arrival","1Q11","01/01/2011","4Q11","12/31/2011"
"Primary PCI Received Within 90 Minutes of Hospital Arrival","1Q11","01/01/2011","4Q11","12/31/2011"
"Statin Prescribed at Discharge","1Q11","01/01/2011","4Q11","12/31/2011"
"Discharge Instructions","1Q11","01/01/2011","4Q11","12/31/2011"
"Evaluation of LVS Function","1Q11","01/01/2011","4Q11","12/31/2011"
"ACEI or ARB for LVSD","1Q11","01/01/2011","4Q11","12/31/2011"
"Adult Smoking Cessation Advice/Counseling","1Q11","01/01/2011","4Q11","12/31/2011"
"Pneumococcal Vaccination","1Q11","01/01/2011","4Q11","12/31/2011"
"Blood Cultures Performed in the Emergency Department Prior to Initial Antibiotic Received in Hospital","1Q11","01/01/2011","4Q11","12/31/2011"
"Adult Smoking Cessation Advice/Counseling","1Q11","01/01/2011","4Q11","12/31/2011"
"Initial Antibiotic Received within 6 hours of Hospital Arrival","1Q11","01/01/2011","4Q11","12/31/2011"
"Initial Antibiotic Selection for CAP in Immunocompetent Patient","1Q11","01/01/2011","4Q11","12/31/2011"
"Influenza Vaccination","1Q11","01/01/2011","4Q11","12/31/2011"
"Prophylactic Antibiotic Received Within 1 Hour Prior to Surgical Incision","1Q11","01/01/2011","4Q11","12/31/2011"
"Prophylactic Antibiotic Selection for Surgical Patients","1Q11","01/01/2011","4Q11","12/31/2011"
"Prophylactic Antibiotics Discontinued Within 24 hours After Surgery End Time","1Q11","01/01/2011","4Q11","12/31/2011"
"Cardiac Surgery Patients with Controlled 6 A.M. Postoperative Blood Glucose","1Q11","01/01/2011","4Q11","12/31/2011"
"Surgery Patients with Appropriate Hair Removal","1Q11","01/01/2011","4Q11","12/31/2011"
"Urinary  Catheter Removed on Postoperative Day 1 (POD 1) or Postoperative Day 2 (POD 2) with Day of Surgery being Day Zero","1Q11","01/01/2011","4Q11","12/31/2011"
"Surgery Patients with Perioperative Temperature Management","1Q11","01/01/2011","4Q11","12/31/2011"
"Surgery Patients on Beta-Blocker Therapy Prior to Arrival Who Received a Beta-Blocker During the Perioperative Period","1Q11","01/01/2011","4Q11","12/31/2011"
"Surgery Patients with Recommended Venous Thromboembolism Prophylaxis Ordered","1Q11","01/01/2011","4Q11","12/31/2011"
"Surgery Patients Who Received Appropriate Venous Thromboembolism Prophylaxis Within 24 Hours Prior to Surgery to 24 Hours After Surgery","1Q11","01/01/2011","4Q11","12/31/2011"
"Relievers or Inpatient Asthma","1Q11","01/01/2011","4Q11","12/31/2011"
"Systemic Corticosteroids for Inpatient Asthma","1Q11","01/01/2011","4Q11","12/31/2011"
