"Diagnosis Related Group","Medicare Average Payment Minimum","Medicare Average Payment Maximum","Number Of Cases"
"Acute myocardial infarction, discharged alive w/o CC/MCC","","","31069"
"Acute myocardial infarction, discharged alive w MCC","","","69641"
"Acute myocardial infarction, discharged alive w CC","","","48180"
"Heart failure and shock w/o CC/MCC","","","93489"
"Heart failure and shock w MCC","","","188525"
"Heart failure and shock w CC","","","223328"
"Chronic obstructive pulmonary disease w/o CC/MCC","","","118071"
"Chronic obstructive pulmonary disease w MCC","","","152206"
"Chronic obstructive pulmonary disease w CC","","","151233"
"Simple pneumonia and pleurisy w MCC","","","131486"
"Diabetes w MCC","","","21756"
"Chest Pain","","","135174"
"Cardiac valve and oth maj cardiothoracic proc w/o card cath w/o CC/MCC","","","4224"
"Cardiac valve and oth maj cardiothoracic proc w/o card cath w MCC","","","14654"
"Cardiac valve and oth maj cardiothoracic proc w/o card cath w CC","","","18186"
"Major cardiovasc procedures w MCC or thoracic aortic aneurysm repair","","","22690"
"Cardiac defibrillator implant w/o cardiac cath w/o MCC","","","21899"
"Cardiac defibrillator implant w/o cardiac cath w MCC","","","5703"
"Cardiac defib implant w cardiac cath w/o AMI/HF/shock w/o MCC","","","3497"
"Cardiac defib implant w cardiac cath w/o AMI/HF/shock w MCC","","","2575"
"Extracranial procedures w/o CC/MCC","","","37818"
"Extracranial procedures w CC","","","12753"
"Coronary bypass w/o cardiac cath w/o MCC","","","21947"
"Coronary bypass w/o cardiac cath w MCC","","","8876"
"Permanent cardiac pacemaker implant w/o CC/MCC","","","33668"
"Permanent cardiac pacemaker implant w CC","","","35099"
"Perc cardiovasc proc w drug-eluting stent w/o MCC","","","109511"
"Laparoscopic cholecystectomy w/o c.d.e. w/o CC/MCC","","","25235"
"Laparoscopic cholecystectomy w/o c.d.e. w MCC","","","17931"
"Laparoscopic cholecystectomy w/o c.d.e. w CC","","","26998"
"Cholecystectomy except by laparoscope w/o c.d.e. w MCC","","","4153"
"Hernia procedures except inguinal and femoral w/o CC/MCC","","","11342"
"Hernia procedures except inguinal and femoral w MCC","","","3532"
"Hernia procedures except inguinal and femoral w CC","","","9839"
"Major small and large bowel procedures w/o CC/MCC","","","24339"
"Major small and large bowel procedures w CC","","","57325"
"Major small and large bowel procedures w MCC","","","44183"
"Stomach, esophageal duodenal proc w/o CC/MCC","","","10131"
"Cervical spinal fusion w/o CC/MCC","","","28216"
"Cervical spinal fusion w MCC","","","3159"
"Cervical spinal fusion w CC","","","10196"
"Spinal fusion except cervical w/o MCC","","","68672"
"Spinal fusion except cervical w MCC","","","4339"
"Back and neck proc exc spinal fusion w/o CC/MCC","","","38626"
"Back and neck proc exc spinal fusion w CC/MCC or disc device/neurostim","","","19789"
"Major shoulder or elbow joint procedures w/o CC/MCC","","","693"
"Major shoulder or elbow joint procedures w CC/MCC","","","637"
"Bilateral or multiple major joint procs of lower extremity w/o MCC","","","10547"
"Bilateral or multiple major joint procs of lower extremity w MCC","","","472"
"Major joint replacement or reattachment of lower extremity w/o MCC","","","428263"
"Major joint replacement or reattachment of lower extremity w MCC","","","26744"
"Revision of hip or knee replacement w/o CC/MCC","","","16794"
"Revision of hip or knee replacement w MCC","","","3960"
"Revision of hip or knee replacement w CC","","","22752"
"Biopsies of musculoskeletal system and connective tissue w/o CC/MCC","","","3631"
"Biopsies of musculoskeletal system and connective tissue w MCC","","","2697"
"Biopsies of musculoskeletal system and connective tissue w CC","","","7532"
"Other musculoskelet sys and conn tiss O.R. proc w MCC","","","3876"
"Kidney and ureter procedures for neoplasm w/o CC/MCC","","","6968"
"Kidney and ureter procedures for neoplasm w MCC","","","3460"
"Kidney and ureter procedures for neoplasm w CC","","","8796"
"Kidney and ureter procedures for non-neoplasm w MCC","","","4214"
"Transurethral procedures w MCC","","","3515"
"Other kidney and urinary tract procedures w/o CC/MCC","","","1777"
"Other kidney and urinary tract procedures w MCC","","","11283"
"Other kidney and urinary tract procedures w CC","","","8089"
"Transurethral prostatectomy w/o CC/MCC","","","15105"
"Transurethral prostatectomy w CC/MCC","","","7845"
"Female reproductive system reconstructive procedures","","","12841"
"Uterine and adnexa proc for non-malignancy w/o CC/MCC","","","23693"
