"State","Diagnosis Related Group","Medicare Average Payment Minimum","Medicare Average Payment Maximum","Number Of Cases","Footnote"
"AK","Acute myocardial infarction, discharged alive w/o CC/MCC","","","42",""
"AL","Acute myocardial infarction, discharged alive w/o CC/MCC","","","642",""
"AR","Acute myocardial infarction, discharged alive w/o CC/MCC","","","377",""
"AZ","Acute myocardial infarction, discharged alive w/o CC/MCC","","","399",""
"CA","Acute myocardial infarction, discharged alive w/o CC/MCC","","","1980",""
"CO","Acute myocardial infarction, discharged alive w/o CC/MCC","","","246",""
"CT","Acute myocardial infarction, discharged alive w/o CC/MCC","","","371",""
"DC","Acute myocardial infarction, discharged alive w/o CC/MCC","","","65",""
"DE","Acute myocardial infarction, discharged alive w/o CC/MCC","","","101",""
"FL","Acute myocardial infarction, discharged alive w/o CC/MCC","","","2219",""
"GA","Acute myocardial infarction, discharged alive w/o CC/MCC","","","824",""
"GU","Acute myocardial infarction, discharged alive w/o CC/MCC","","","27",""
"HI","Acute myocardial infarction, discharged alive w/o CC/MCC","","","136",""
"IA","Acute myocardial infarction, discharged alive w/o CC/MCC","","","332",""
"ID","Acute myocardial infarction, discharged alive w/o CC/MCC","","","88",""
"IL","Acute myocardial infarction, discharged alive w/o CC/MCC","","","1199",""
"IN","Acute myocardial infarction, discharged alive w/o CC/MCC","","","683",""
"KS","Acute myocardial infarction, discharged alive w/o CC/MCC","","","238",""
"KY","Acute myocardial infarction, discharged alive w/o CC/MCC","","","652",""
"LA","Acute myocardial infarction, discharged alive w/o CC/MCC","","","428",""
"MA","Acute myocardial infarction, discharged alive w/o CC/MCC","","","901",""
"MD","Acute myocardial infarction, discharged alive w/o CC/MCC","","","849",""
"ME","Acute myocardial infarction, discharged alive w/o CC/MCC","","","342",""
"MI","Acute myocardial infarction, discharged alive w/o CC/MCC","","","1372",""
"MN","Acute myocardial infarction, discharged alive w/o CC/MCC","","","401",""
"MO","Acute myocardial infarction, discharged alive w/o CC/MCC","","","595",""
"MS","Acute myocardial infarction, discharged alive w/o CC/MCC","","","471",""
"MT","Acute myocardial infarction, discharged alive w/o CC/MCC","","","66",""
"NC","Acute myocardial infarction, discharged alive w/o CC/MCC","","","1223",""
"ND","Acute myocardial infarction, discharged alive w/o CC/MCC","","","67",""
"NE","Acute myocardial infarction, discharged alive w/o CC/MCC","","","202",""
"NH","Acute myocardial infarction, discharged alive w/o CC/MCC","","","196",""
"NJ","Acute myocardial infarction, discharged alive w/o CC/MCC","","","1393",""
"NM","Acute myocardial infarction, discharged alive w/o CC/MCC","","","166",""
"NV","Acute myocardial infarction, discharged alive w/o CC/MCC","","","166",""
"NY","Acute myocardial infarction, discharged alive w/o CC/MCC","","","1915",""
"OH","Acute myocardial infarction, discharged alive w/o CC/MCC","","","1086",""
"OK","Acute myocardial infarction, discharged alive w/o CC/MCC","","","452",""
"OR","Acute myocardial infarction, discharged alive w/o CC/MCC","","","284",""
"PA","Acute myocardial infarction, discharged alive w/o CC/MCC","","","1427",""
"PR","Acute myocardial infarction, discharged alive w/o CC/MCC","","","460",""
"RI","Acute myocardial infarction, discharged alive w/o CC/MCC","","","129",""
"SC","Acute myocardial infarction, discharged alive w/o CC/MCC","","","571",""
"SD","Acute myocardial infarction, discharged alive w/o CC/MCC","","","107",""
"TN","Acute myocardial infarction, discharged alive w/o CC/MCC","","","920",""
"TX","Acute myocardial infarction, discharged alive w/o CC/MCC","","","1850",""
"UT","Acute myocardial infarction, discharged alive w/o CC/MCC","","","75",""
"VA","Acute myocardial infarction, discharged alive w/o CC/MCC","","","902",""
