"State","Number of Hospitals whose 30-day Death (Mortality) Rates from Heart Attack are Better than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Attack are No different than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Attack are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Attack are Number of Cases Too Small","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Failure are Better than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Failure are No different than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Failure are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Heart Failure are Number of Cases Too Small","Number of Hospitals whose 30-Day Death (Mortality) Rates from Pneumonia are Better than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Pneumonia are No different than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Pneumonia are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Death (Mortality) Rates from Pneumonia are Number of Cases Too Small","Number of Hospitals whose 30-day Readmission Rates from Heart Attack are Better than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Attack are No different than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Attack are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Attack are Number of Cases Too Small","Number of Hospitals whose 30-Day Readmission Rates from Heart Failure are Better than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Failure are No different than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Failure are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Heart Failure are Number of Cases Too Small","Number of Hospitals whose 30-Day Readmission Rates from Pneumonia are Better than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Pneumonia are No different than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Pneumonia are Worse than U.S. National Rate","Number of Hospitals whose 30-Day Readmission Rates from Pneumonia are Number of Cases Too Small"
"WI","2","57","1","63","2","110","2","12","3","114","2","7","1","52","0","69","5","114","0","7","0","118","0","8"
"WY","0","3","0","25","0","17","0","13","0","23","1","6","0","2","0","25","0","21","0","9","0","26","0","4"
"AK","0","5","0","14","0","11","0","11","0","15","0","7","0","5","0","14","0","12","0","10","0","15","0","7"
"AL","0","50","1","51","0","92","4","6","1","90","6","5","0","39","0","62","2","96","0","4","1","94","0","8"
"AR","1","34","1","40","1","64","7","5","0","68","8","1","0","27","0","48","0","71","3","3","1","71","4","1"
"AS","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0"
"AZ","1","46","1","20","4","55","0","19","3","63","2","12","0","47","0","21","0","61","2","16","0","70","0","10"
"CA","6","224","0","107","26","259","9","52","27","258","17","49","2","201","2","126","7","291","4","46","0","297","3","52"
"CO","0","33","0","35","0","54","0","19","4","58","0","13","0","32","0","32","4","53","0","16","0","66","0","9"
"CT","3","27","0","1","5","25","2","0","7","24","1","0","0","29","0","2","0","32","0","0","1","30","1","0"
"DC","0","6","0","2","3","5","0","0","0","7","1","0","0","6","0","2","0","7","1","0","0","8","0","0"
"DE","0","5","0","1","1","5","0","0","0","6","0","0","0","5","0","1","1","5","0","0","0","6","0","0"
"FL","3","155","3","23","9","164","4","11","8","166","7","9","5","143","3","30","6","161","11","11","4","172","4","10"
"GA","0","76","1","64","3","126","2","13","2","125","12","4","2","65","0","72","2","131","0","11","2","136","1","5"
"GU","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0"
"HI","0","11","0","5","0","14","0","5","1","13","0","8","0","11","0","5","1","13","0","5","0","15","0","7"
"IA","0","36","0","79","1","93","3","21","3","107","4","4","1","29","0","82","3","97","0","18","0","115","0","3"
"ID","0","10","0","24","0","23","1","14","0","35","0","3","0","9","0","23","0","26","0","12","1","33","0","5"
"IL","8","115","1","57","22","150","5","8","17","153","10","5","1","106","2","73","1","163","15","6","0","170","11","5"
