"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Children Who Received Reliever Medication While Hospitalized for Asthma","Number of Patients 1","Footnote 1","Percent of Children Who Received Systemic Corticosteroid Medication While Hospitalized for Asthma","Number of Patients 2","Footnote 2","Percent of Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma","Number of Patients 3","Footnote 3"
"100246","LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE","1700 S 23RD ST","","","FORT PIERCE","FL","34950","SAINT LUCIE","7724614000","100","52","","100","52","","91","47",""
"130006","ST LUKES REGIONAL MEDICAL CENTER","190 EAST BANNOCK STREET","","","BOISE","ID","83712","ADA","2083812222","100","64","","100","64","","86","63",""
"100038","MEMORIAL REGIONAL HOSPITAL","3501 JOHNSON ST","","","HOLLYWOOD","FL","33021","BROWARD","9549872000","100","332","","100","331","","99","330",""
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","100","216","","100","216","","61","216",""
"020012","FAIRBANKS MEMORIAL HOSPITAL","1650 COWLES STREET","","","FAIRBANKS","AK","99701","FAIRBANKS NORTH STAR","9074528181","100","16","The number of cases is too small to reliably tell how well a hospital is performing","100","16","The number of cases is too small to reliably tell how well a hospital is performing","94","16","The number of cases is too small to reliably tell how well a hospital is performing"
"030064","UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE","1501 NORTH CAMPBELL AVENUE","","","TUCSON","AZ","85724","PIMA","5206940111","100","159","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","158","The hospital indicated that the data submitted for this measure were based on a sample of cases","78","160","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100088","BAPTIST MEDICAL CENTER","800 PRUDENTIAL DR","","","JACKSONVILLE","FL","32207","DUVAL","9042022000","100","442","","100","439","","96","442",""
"140053","ST JOHNS HOSPITAL","800 E CARPENTER ST","","","SPRINGFIELD","IL","62769","SANGAMON","2175446464","100","79","","100","79","","87","79",""
"140179","LITTLE COMPANY OF MARY HOSPITAL","2800 W 95TH ST","","","EVERGREEN PARK","IL","60805","COOK","7084226200","100","23","The number of cases is too small to reliably tell how well a hospital is performing","100","23","The number of cases is too small to reliably tell how well a hospital is performing","96","23","The number of cases is too small to reliably tell how well a hospital is performing"
"030065","BANNER DESERT MEDICAL CENTER","1400 SOUTH  DOBSON ROAD","","","MESA","AZ","85202","MARICOPA","4804123000","100","414","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","414","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","413","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"030073","TUBA CITY REGIONAL HEALTH CARE CORPORATION","PO BOX 600","","","TUBA CITY","AZ","86045","COCONINO","9282832501","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"040020","ST BERNARDS MEDICAL CENTER","225 E JACKSON","","","JONESBORO","AR","72401","CRAIGHEAD","8709724100","100","20","The number of cases is too small to reliably tell how well a hospital is performing","100","20","The number of cases is too small to reliably tell how well a hospital is performing","68","19","The number of cases is too small to reliably tell how well a hospital is performing"
"043300","ARKANSAS CHILDREN'S HOSPITAL","800 MARSHALL STREET SLOT 301","","","LITTLE ROCK","AR","72202","PULASKI","5013641100","100","156","","99","156","","83","156",""
"050104","SAINT FRANCIS MEDICAL CENTER","3630 EAST IMPERIAL HIGHWAY","","","LYNWOOD","CA","90262","LOS ANGELES","3109008900","100","63","","100","63","","100","59",""
"050327","LOMA LINDA UNIVERSITY MEDICAL CENTER","11234 ANDERSON ST","","","LOMA LINDA","CA","92354","SAN BERNARDINO","9095584000","100","174","","98","174","","64","171",""
"050454","UCSF MEDICAL CENTER","505 PARNASSUS AVE, BOX 0296","","","SAN FRANCISCO","CA","94143","SAN FRANCISCO","4153532733","100","36","","100","36","","83","36",""
"050599","UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER","2315 STOCKTON BOULEVARD","","","SACRAMENTO","CA","95817","SACRAMENTO","9167342011","100","112","","100","112","","77","111","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"053305","LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD","725 WELCH ROAD","","","PALO ALTO","CA","94304","SANTA CLARA","6504978000","100","123","","99","121","","96","121","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"053309","MILLER CHILDREN'S HOSPITAL","2801 ATLANTIC AVENUE","","","LONG BEACH","CA","90806","LOS ANGELES","5629338001","100","426","","100","425","","93","423",""
"110095","TIFT REGIONAL MEDICAL CENTER","901 E 18TH STREET","","","TIFTON","GA","31793","TIFT","2293827120","100","54","","100","54","","96","54",""
"450213","UNIVERSITY HEALTH SYSTEM","4502 MEDICAL DR","","","SAN ANTONIO","TX","78229","BEXAR","2103584000","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"063301","CHILDRENS HOSPITAL COLORADO","13123 EAST 16TH AVENUE","","","AURORA","CO","80045","ADAMS","7207771234","100","726","","100","726","","89","722",""
"070022","YALE-NEW HAVEN HOSPITAL","20 YORK ST","","","NEW HAVEN","CT","06504","NEW HAVEN","2036884242","100","303","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","301","The hospital indicated that the data submitted for this measure were based on a sample of cases","83","302","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"073300","CONNECTICUT CHILDRENS MEDICAL CENTER","282 WASHINGTON STREET","","","HARTFORD","CT","06106","HARTFORD","8605459000","100","339","","100","339","","88","339",""
"090003","HOWARD UNIVERSITY HOSPITAL","2041 GEORGIA AVE NW","","","WASHINGTON","DC","20060","DISTRICT OF COLUMBIA","2027456100","100","23","The hospital indicated that the data submitted for this measure were based on a sample of cases., The number of cases is too small to reliably tell how well a hospital is performing","100","23","The hospital indicated that the data submitted for this measure were based on a sample of cases., The number of cases is too small to reliably tell how well a hospital is performing","48","23","The number of cases is too small to reliably tell how well a hospital is performing"
"090004","GEORGETOWN UNIVERSITY HOSPITAL","3800 RESERVOIR RD","","","WASHINGTON","DC","20007","DISTRICT OF COLUMBIA","2027843000","100","45","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","45","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","45","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"093300","CHILDREN'S HOSPITAL NMC","111 MICHIGAN AVE, NW","","","WASHINGTON","DC","20010","DISTRICT OF COLUMBIA","2024765000","100","379","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","379","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","379","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"100006","ORLANDO HEALTH","1414 S KUHL AVE","","","ORLANDO","FL","32806","ORANGE","3218415111","99","277","","99","275","","93","274",""
"110034","MEDICAL COLLEGE OF GA HOSPITALS AND CLINICS","1120 15TH STREET","","","AUGUSTA","GA","30912","RICHMOND","7067216569","100","130","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","130","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","130","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"263302","CHILDRENS MERCY HOSPITAL","2401 GILLHAM ROAD","","","KANSAS CITY","MO","64108","JACKSON","8162343000","100","354","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","351","The hospital indicated that the data submitted for this measure were based on a sample of cases","80","352","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"283301","CHILDREN'S HOSPITAL & MEDICAL CENTER","8200 DODGE ST","","","OMAHA","NE","68114","DOUGLAS","4029555400","99","77","","99","77","","76","76",""
"290001","RENOWN REGIONAL MEDICAL CENTER","1155 MILL STREET","","","RENO","NV","89502","WASHOE","7759824100","100","52","","100","53","","100","53",""
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","","","NEW BRUNSWICK","NJ","08901","MIDDLESEX","7327458600","100","123","","100","123","","69","123",""
"320001","UNM HOSPITAL","2211 LOMAS BOULEVARD NE","","","ALBUQUERQUE","NM","87106","BERNALILLO","5052722111","100","105","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","105","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","105","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"320018","MEMORIAL MEDICAL CENTER INC","2450 SOUTH TELSHOR BLVD","","","LAS CRUCES","NM","88011","DONA ANA","5755228641","100","30","","100","30","","93","29",""
"330214","NYU HOSPITALS CENTER","550 FIRST AVENUE","","","NEW YORK","NY","10016","NEW YORK","2122637300","100","26","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","26","The hospital indicated that the data submitted for this measure were based on a sample of cases","28","25",""
"330393","UNIVERSITY HOSPITAL ( STONY BROOK )","HEALTH SCIENCES CENTER SUNY","","","STONY BROOK","NY","11794","SUFFOLK","6314444000","100","128","","93","129","","66","128","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"340001","CAROLINAS MEDICAL CENTER-NORTHEAST","920 CHURCH ST N","","","CONCORD","NC","28025","CABARRUS","7047833000","100","57","","98","56","","84","55",""
"440104","ERLANGER MEDICAL CENTER","975 E 3RD ST","","","CHATTANOOGA","TN","37403","HAMILTON","4237787000","100","37","","100","37","","76","37",""
"450237","CHRISTUS SANTA ROSA HOSPITAL","333 N SANTA ROSA STREET","","","SAN ANTONIO","TX","78207","BEXAR","2107042011","100","149","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","149","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","149","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"450388","METHODIST HOSPITAL","7700 FLOYD CURL DR","","","SAN ANTONIO","TX","78229","BEXAR","2105754000","100","500","","100","499","","98","499",""
"450647","MEDICAL CITY DALLAS HOSPITAL","7777 FOREST LANE","","","DALLAS","TX","75230","DALLAS","9725666222","100","356","","100","356","","97","354",""
"453300","COOK CHILDRENS MEDICAL CENTER","801 SEVENTH AVENUE","","","FORT WORTH","TX","76104","TARRANT","6828854000","100","287","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","287","The hospital indicated that the data submitted for this measure were based on a sample of cases","75","286","The hospital indicated that the data submitted for this measure were based on a sample of cases"
