"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Number of Patients 1","Footnote 1","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Number of Patients 2","Footnote 2","Percent of Heart Failure Patients Given Discharge Instructions","Number of Patients 3","Footnote 3","Percent of Heart Failure Patients Given Smoking Cessation Advice/Counseling","Number of Patients 4","Footnote 4"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","100","573","","97","183","","85","508","","99","135",""
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","94","136","","95","65","","82","94","","100","31",""
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","99","264","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","84","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","215","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","44","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","94","51","","100","11","","100","27","","Not Available","0",""
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","52","25","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","14","21","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010010","MARSHALL MEDICAL CENTER NORTH","8000 ALABAMA HIGHWAY 69","","","GUNTERSVILLE","AL","35976","MARSHALL","2565718000","98","61","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","98","42","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","100","374","","99","114","","99","328","","100","70",""
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","100","85","","100","25","","100","60","","100","16",""
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","100","268","","100","70","","100","235","","100","62",""
"010018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","100","155","","100","33","","96","110","","100","19",""
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","98","44","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","31","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","95","21","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","15","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","99","552","","98","195","","99","480","","100","120",""
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","100","494","","100","129","","93","412","","100","72",""
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","100","161","","95","74","","75","142","","100","31",""
"010027","ELBA GENERAL HOSPITAL","987 DRAYTON STREET","","","ELBA","AL","36323","COFFEE","3348972257","100","3","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","100","1","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","100","498","","100","198","","94","450","","100","121",""
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","64","14","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","0","11","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","99","843","","96","364","","86","776","","100","184",""
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","100","97","","100","20","","88","78","","100","16",""
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","98","243","","93","57","","97","186","","100","47",""
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","100","84","","73","11","","100","66","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","100","167","","97","68","","96","148","","100","37",""
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","97","325","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","100","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","263","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","68","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","100","301","","100","91","","84","244","","100","94",""
