"Condition","Category","Measure Name","National Process of Care Rate"
"Heart Attack Patients Given Aspirin at Arrival","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","99"
"Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes of Arrival","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","58"
"Heart Attack Patients Given PCI Within 90 Minutes of Arrival","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","94"
"Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","97"
"Heart Attack Patients Given Smoking Cessation Advice/Counseling","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","100"
"Heart Attack Patients Given Aspirin at Discharge","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","99"
"Heart Attack Patients Given Beta Blocker at Discharge","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","99"
"Heart Attack Patients Given a Prescription for a Statin at Discharge","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","97"
"Heart Failure Patients Given Discharge Instructions","Heart Failure","National Average of Hospitals submitting data:","92"
"Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Heart Failure","National Average of Hospitals submitting data:","99"
"Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Failure","National Average of Hospitals submitting data:","96"
"Heart Failure Patients Given Smoking Cessation Advice/Counseling","Heart Failure","National Average of Hospitals submitting data:","99"
"Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","Pneumonia","National Average of Hospitals submitting data:","96"
"Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose of Antibiotics","Pneumonia","National Average of Hospitals submitting data:","97"
"Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Pneumonia","National Average of Hospitals submitting data:","95"
"Pneumonia Patients Given Smoking Cessation Advice/Counseling","Pneumonia","National Average of Hospitals submitting data:","98"
"Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Pneumonia","National Average of Hospitals submitting data:","95"
"Pneumonia Patients Assessed and Given Influenza Vaccination","Pneumonia","National Average of Hospitals submitting data:","93"
"Surgery Patients Who were given an Antibiotic at the Right Time (Within One Hour Before Surgery) to Help Prevent Infection","Surgical Care Improvement Project","National Average of Hospitals submitting data:","98"
"Surgery Patients Whose Preventive Antibiotics were Stopped at the Right Time (Within 24 Hours After Surgery)","Surgical Care Improvement Project","National Average of Hospitals submitting data:","97"
"Patients Who got Treatment at the Right Time (Within 24 Hours Before or After Their Surgery) to Help Prevent Blood Clots After Certain Types of Surgery","Surgical Care Improvement Project","National Average of Hospitals submitting data:","97"
"Surgery Patients Who were Taking Heart Drugs called Beta Blockers Before Coming to the Hospital, Who were Kept on the Beta Blockers during the Period just Before and After their Surgery","Surgical Care Improvement Project","National Average of Hospitals submitting data:","96"
"Surgery Patients Who were Given the Right Kind of Antibiotic to Help Prevent Infection","Surgical Care Improvement Project","National Average of Hospitals submitting data:","98"
"Heart Surgery Patients Whose Blood Sugar (Blood Glucose) is Kept Under Good Control in the Days Right after Surgery","Surgical Care Improvement Project","National Average of Hospitals submitting data:","95"
"Surgery Patients Needing Hair Removed from the Surgical Area Before Surgery, who had Hair Removed Using a Safer Method (Electric Clippers or Hair Removal Cream – Not a Razor)","Surgical Care Improvement Project","National Average of Hospitals submitting data:","100"
"Patients having Surgery Who were Actively Warmed in the Operating Room or Whose Body Temperature was Near Normal by the End of Surgery.","Surgical Care Improvement Project","National Average of Hospitals submitting data:","100"
"Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots after Certain Types of Surgeries","Surgical Care Improvement Project","National Average of Hospitals submitting data:","98"
"Children Who Received Reliever Medication While Hospitalized for Asthma","Children's Asthma","National Average of Hospitals submitting data:","100"
"Children Who Received Systemic Corticosteroid Medication (Oral and IV Medication that Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma","Children's Asthma","National Average of Hospitals submitting data:","100"
"Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma","Children's Asthma","National Average of Hospitals submitting data:","84"
"Average Number of Minutes Before Outpatients with Chest Pain or Possible Heart Attack Who Needed Specialized Care were Transferred to Another Hospital A lower number of minutes is better","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","60"
"Average Number of Minutes Before Outpatients with Chest Pain or Possible Heart Attack got an ECG A lower number of minutes is better","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","8"
"Outpatients with Chest Pain or Possible Heart Attack who got Drugs to Break up Blood Clots Within 30 Minutes of Arrival Higher numbers are better","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","60"
"Outpatients with Chest Pain or Possible Heart Attack who got Aspirin Within 24 Hours of Arrival Higher numbers are better","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","96"
"Outpatients Having Surgery who got an Antibiotic at the Right Time - Within One Hour Before Surgery Higher numbers are better","Surgical Care Improvement Project","National Average of Hospitals submitting data:","96"
"Outpatients having Surgery Who got the Right Kind of Antibiotic","Surgical Care Improvement Project","National Average of Hospitals submitting data:","96"
"Median Time to Fibrinolysis","Heart Attack or Chest Pain","National Average of Hospitals submitting data:","28"
"Heart Attack Patients Given Aspirin at Arrival","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes of Arrival","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Attack Patients Given PCI Within 90 Minutes of Arrival","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Attack Patients Given Smoking Cessation Advice/Counseling","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Attack Patients Given Aspirin at Discharge","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Attack Patients Given Beta Blocker at Discharge","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Attack Patients Given a Prescription for a Statin at Discharge","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Failure Patients Given Discharge Instructions","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Failure Patients Given Smoking Cessation Advice/Counseling","Heart Failure","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose of Antibiotics","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Pneumonia Patients Given Smoking Cessation Advice/Counseling","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Pneumonia Patients Assessed and Given Influenza Vaccination","Pneumonia","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Surgery Patients Who were given an Antibiotic at the Right Time (Within One Hour Before Surgery) to Help Prevent Infection","Surgical Care Improvement Project","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Surgery Patients Whose Preventive Antibiotics were Stopped at the Right Time (Within 24 Hours After Surgery)","Surgical Care Improvement Project","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Patients Who got Treatment at the Right Time (Within 24 Hours Before or After Their Surgery) to Help Prevent Blood Clots After Certain Types of Surgery","Surgical Care Improvement Project","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Surgery Patients Who were Taking Heart Drugs called Beta Blockers Before Coming to the Hospital, Who were Kept on the Beta Blockers during the Period just Before and After their Surgery","Surgical Care Improvement Project","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Surgery Patients Who were Given the Right Kind of Antibiotic to Help Prevent Infection","Surgical Care Improvement Project","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Heart Surgery Patients Whose Blood Sugar (Blood Glucose) is Kept Under Good Control in the Days Right after Surgery","Surgical Care Improvement Project","Top 10% of Hospitals submitting data scored equal to or higher than","99"
"Surgery Patients Needing Hair Removed from the Surgical Area Before Surgery, who had Hair Removed Using a Safer Method (Electric Clippers or Hair Removal Cream – Not a Razor)","Surgical Care Improvement Project","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Patients having Surgery Who were Actively Warmed in the Operating Room or Whose Body Temperature was Near Normal by the End of Surgery.","Surgical Care Improvement Project","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Surgery Patients Whose Doctors Ordered Treatments to Prevent Blood Clots after Certain Types of Surgeries","Surgical Care Improvement Project","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Average Number of Minutes Before Outpatients with Chest Pain or Possible Heart Attack Who Needed Specialized Care were Transferred to Another Hospital A lower number of minutes is better","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","38"
"Average Number of Minutes Before Outpatients with Chest Pain or Possible Heart Attack got an ECG A lower number of minutes is better","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","3"
"Outpatients with Chest Pain or Possible Heart Attack who got Drugs to Break up Blood Clots Within 30 Minutes of Arrival Higher numbers are better","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Outpatients with Chest Pain or Possible Heart Attack who got Aspirin Within 24 Hours of Arrival Higher numbers are better","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Outpatients Having Surgery who got an Antibiotic at the Right Time - Within One Hour Before Surgery Higher numbers are better","Surgical Care Improvement Project","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Outpatients having Surgery Who got the Right Kind of Antibiotic","Surgical Care Improvement Project","Top 10% of Hospitals submitting data scored equal to or higher than","100"
"Median Time to Fibrinolysis","Heart Attack or Chest Pain","Top 10% of Hospitals submitting data scored equal to or higher than","20"
