"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Percent of Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","Number of Patients 1","Footnote 1","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Number of Patients 2","Footnote 2","Percent of Pneumonia Patients Given Smoking Cessation Advice/Counseling","Number of Patients 3","Footnote 3","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Number of Patients 4","Footnote 4","Percent of Pneumonia Patients Assessed and Given Influenza Vaccination","Number of Patients 5","Footnote 5","Percent of Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Number of Patients 6","Footnote 6"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","95","179","","85","185","","99","108","","91","116","","90","59","","97","196",""
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","99","70","","94","202","","98","127","","94","93","","94","112","","95","188",""
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","97","126","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","76","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","44","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","83","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","39","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","130","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","100","57","","94","49","","100","22","","94","35","","85","13","","97","62",""
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","100","22","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","91","11","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","67","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","68","19","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"010010","MARSHALL MEDICAL CENTER NORTH","8000 ALABAMA HIGHWAY 69","","","GUNTERSVILLE","AL","35976","MARSHALL","2565718000","97","135","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","96","109","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","96","52","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","89","47","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","Not Available","No data are available from the hospital for this measure","94","127","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","98","162","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","153","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","52","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","101","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","43","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","133","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","97","125","","100","132","","100","37","","98","66","","100","47","","100","104",""
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","100","257","","100","153","","100","127","","99","137","","100","80","","99","189",""
"010018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","99","185","","99","168","","100","73","","99","133","","98","64","","100","154",""
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","98","64","","95","55","","100","25","","95","37","","92","12","","100","65",""
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","98","41","","100","17","","100","22","","100","21","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","100","29",""
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","94","88","","90","122","","100","52","","98","46","","94","48","","95","111",""
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","100","160","","100","217","","100","92","","100","76","","100","78","","100","215",""
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","94","54","","100","44","","100","43","","90","20","","86","14","","91","58",""
"010027","ELBA GENERAL HOSPITAL","987 DRAYTON STREET","","","ELBA","AL","36323","COFFEE","3348972257","100","31","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","12","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","12","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","26","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","5","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","23","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","96","166","","99","139","","100","97","","96","112","","98","53","","99","156",""
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","94","16","","74","39","","39","28","","71","34","","25","12","","72","54",""
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","","","BIRMINGHAM","AL","35233","JEFFERSON","2059344011","95","558","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","597","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","241","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","260","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","174","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","371","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","","","TALLASSEE","AL","36078","ELMORE","3342836541","99","75","","91","34","","93","28","","97","36","","94","32","","95","81",""
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","","","CULLMAN","AL","35058","CULLMAN","2567372000","100","172","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","169","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","75","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","76","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","48","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","152","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010036","ANDALUSIA REGIONAL HOSPITAL","849 SOUTH THREE NOTCH STREET","","","ANDALUSIA","AL","36420","COVINGTON","3342228466","100","94","","100","80","","100","41","","95","81","","100","33","","99","99",""
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","","","ANNISTON","AL","36201","CALHOUN","2562358900","96","113","","100","94","","100","65","","99","80","","100","27","","98","87",""
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","","","HUNTSVILLE","AL","35801","MADISON","2562651000","95","462","","99","514","","100","313","","99","294","","97","190","","99","465",""
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","","","GADSDEN","AL","35903","ETOWAH","2564944000","97","318","","100","256","","100","153","","98","161","","99","85","","100","260",""
"010043","CHILTON MEDICAL CENTER","1010 LAY DAM ROAD","","","CLANTON","AL","35045","CHILTON","2057552500","91","47","","93","41","","95","22","","92","38","","73","11","","94","32",""
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","","","HAMILTON","AL","35570","MARION","2059216200","100","50","","95","40","","100","19","","83","41","","100","17","","100","49",""
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","","","FAYETTE","AL","35555","FAYETTE","2059325966","95","80","","97","90","","100","32","","95","63","","100","18","","99","75",""
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","","","GADSDEN","AL","35901","ETOWAH","2565435200","98","246","","98","231","","100","92","","95","154","","100","72","","100","240",""
"010047","GEORGIANA HOSPITAL","515 MIRANDA ST","","","GEORGIANA","AL","36033","BUTLER","3343762205","96","28","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","92","13","","92","24","","100","13","","82","33",""
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","","","ENTERPRISE","AL","36330","COFFEE","3343470584","99","109","","99","118","","100","33","","100","71","","94","18","","100","86",""
"010050","ST VINCENTS BLOUNT","150 GILBREATH DRIVE","","","ONEONTA","AL","35121","BLOUNT","2052743000","96","104","","99","94","","100","33","","95","58","","100","27","","97","76",""
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","","","EUTAW","AL","35462","GREENE","2053723388","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","","","DADEVILLE","AL","36853","TALLAPOOSA","2568257821","89","28","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","9","The hospital indicated that the data submitted for this measure were based on a sample of cases","89","9","The hospital indicated that the data submitted for this measure were based on a sample of cases","67","12","The hospital indicated that the data submitted for this measure were based on a sample of cases","18","11","The hospital indicated that the data submitted for this measure were based on a sample of cases","22","23","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010054","PARKWAY MEDICAL CENTER","1874 BELTLINE RD SW","","","DECATUR","AL","35601","MORGAN","2563502211","97","136","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","121","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","49","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","63","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","30","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","108","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","","","DOTHAN","AL","36305","HOUSTON","3347935000","100","183","","100","172","","100","62","","100","115","","100","61","","100","201",""
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","","","BIRMINGHAM","AL","35205","JEFFERSON","2059397000","97","156","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","158","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","45","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","95","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","44","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","115","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","","","CENTREVILLE","AL","35042","BIBB","2059264881","89","19","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","15","The hospital indicated that the data submitted for this measure were based on a sample of cases","80","5","The hospital indicated that the data submitted for this measure were based on a sample of cases","90","10","The hospital indicated that the data submitted for this measure were based on a sample of cases","25","4","The hospital indicated that the data submitted for this measure were based on a sample of cases","47","15","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","","","MOULTON","AL","35650","LAWRENCE","2569742200","98","55","","98","42","","100","50","","94","47","","100","22","","92","60",""
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","","","SCOTTSBORO","AL","35768","JACKSON","2562594444","96","129","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","83","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","64","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","112","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","44","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","121","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","","","GENEVA","AL","36340","GENEVA","3346843655","93","100","","91","77","","100","37","","79","67","","68","28","","96","78",""
"010065","RUSSELL HOSPITAL","3316 HIGHWAY 280","","","ALEXANDER CITY","AL","35010","TALLAPOOSA","2563297100","98","93","","99","80","","100","22","","96","47","","93","27","","100","71",""
"010066","FLORALA MEMORIAL HOSPITAL","24273 FIFTH AVENUE","","","FLORALA","AL","36442","COVINGTON","3348583287","100","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","67","6","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","88","8","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","75","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases","50","2","The hospital indicated that the data submitted for this measure were based on a sample of cases","75","16","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","","","EUFAULA","AL","36027","BARBOUR","3346887271","97","78","","87","70","","100","20","","81","69","","90","29","","84","55",""
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","","","ASHLAND","AL","36251","CLAY","2563542131","95","56","","82","28","","100","12","","76","25","","96","24","","91","47",""
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET","","","ANNISTON","AL","36207","CALHOUN","2562355121","98","239","","99","228","","100","110","","95","73","","98","63","","97","211",""
"010079","ATHENS-LIMESTONE HOSPITAL","700 WEST MARKET STREET","","","ATHENS","AL","35611","LIMESTONE","2562339292","100","170","","97","150","","100","80","","91","45","","100","51","","99","128",""
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","","","FOLEY","AL","36535","BALDWIN","2519493400","99","237","","100","203","","100","69","","98","134","","100","74","","100","192",""
"010085","DECATUR GENERAL HOSPITAL","1201 7TH STREET SE","","","DECATUR","AL","35609","MORGAN","2563412000","100","19","","98","168","","100","84","","97","157","","96","71","","99","151",""
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","","","WINFIELD","AL","35594","MARION","2054877736","96","124","","100","89","","100","48","","100","89","","100","31","","99","98",""
"010087","UNIV OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","","","MOBILE","AL","36617","MOBILE","2514717110","98","53","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","54","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","58","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","31","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","14","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","17","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","","","JASPER","AL","35502","WALKER","2053874000","100","258","","99","195","","100","116","","100","144","","100","68","","100","183",""
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","","","MOBILE","AL","36608","MOBILE","2516331000","98","311","","100","224","","100","131","","97","234","","100","115","","100","293",""
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","","","GROVE HILL","AL","36451","CLARKE","2512753191","87","30","","100","12","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","95","19","","69","13","","85","27",""
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","","","TUSCALOOSA","AL","35401","TUSCALOOSA","2057597111","96","301","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","262","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","143","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","155","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","99","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","269","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010095","HALE COUNTY HOSPITAL","508 GREEN STREET","","","GREENSBORO","AL","36744","HALE","3346243024","86","14","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","75","12","","Too few cases","Too few cases","The number of cases is too small to reliably tell how well a hospital is performing","46","13",""
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","","","WETUMPKA","AL","36092","ELMORE","3345674311","100","1","The hospital indicated that the data submitted for this measure were based on a sample of cases","81","27","The hospital indicated that the data submitted for this measure were based on a sample of cases","86","14","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","30","The hospital indicated that the data submitted for this measure were based on a sample of cases","70","10","The hospital indicated that the data submitted for this measure were based on a sample of cases","40","30","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","","","BREWTON","AL","36426","ESCAMBIA","2518678061","100","47","","100","16","","100","19","","95","38","","100","19","","92","51",""
"010100","THOMAS HOSPITAL","750 MORPHY AVENUE","","","FAIRHOPE","AL","36532","BALDWIN","2519282375","100","73","","100","94","","100","59","","100","60","","100","36","","100","107",""
"010101","CITIZENS BAPTIST MEDICAL CENTER","604 STONE AVENUE","","","TALLADEGA","AL","35161","TALLADEGA","2567614542","100","73","","99","79","","100","27","","95","59","","100","15","","100","48",""
"010102","J PAUL JONES HOSPITAL","317 MCWILLIAMS AVENUE","","","CAMDEN","AL","36726","WILCOX","3346824131","57","14","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Not Available","Not Available","No data are available from the hospital for this measure","0","12","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"010103","BAPTIST MEDICAL CENTER-PRINCETON","701 PRINCETON AVENUE SOUTHWEST","","","BIRMINGHAM","AL","35211","JEFFERSON","2057833800","99","271","","100","281","","100","157","","97","145","","100","94","","100","251",""
"010104","TRINITY MEDICAL CENTER","800 MONTCLAIR RD","","","BIRMINGHAM","AL","35213","JEFFERSON","2055921000","98","166","","100","123","","100","77","","97","90","","100","62","","100","180",""
"010108","PRATTVILLE BAPTIST HOSPITAL","124 S MEMORIAL DR","","","PRATTVILLE","AL","36067","AUTAUGA","3343614267","99","104","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","116","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","48","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","59","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","30","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","83","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010109","PICKENS COUNTY MEDICAL CENTER","241 ROBERT K WILSON","","","CARROLLTON","AL","35447","PICKENS","2053678111","97","86","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","75","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","25","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","61","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","16","The hospital indicated that the data submitted for this measure were based on a sample of cases","96","73","The hospital indicated that the data submitted for this measure were based on a sample of cases"
