"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Number of Patients 1","Footnote 1","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Number of Patients 2","Footnote 2","Surgery patients who were given the right kind of antibiotic to help prevent infection","Number of Patients 3","Footnote 3","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Number of Patients 4","Footnote 4","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Number of Patients 5","Footnote 5","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Number of Patients 6","Footnote 6","Surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method","Number of Patients 7","Footnote 7","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Number of Patients 11","Footnote 11","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on them","Number of Patients 8","Footnote 8","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Number of Patients 9","Footnote 9","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Number of Patients 10","Footnote 10","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal","Number of Patients 13","Footnote 13"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","99","343","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","332","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","349","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","261","The hospital indicated that the data submitted for this measure were based on a sample of cases","92","261","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","120","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","519","The hospital indicated that the data submitted for this measure were based on a sample of cases","85","315","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","203","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","390","","98","385","","100","382","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","97","182","","98","178","","99","184","","97","206","","96","208","","Not Available","0","","100","316","","99","157","","100","66","","95","63","","90","61","","100","317",""
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","100","325","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","303","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","325","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","236","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","237","The hospital indicated that the data submitted for this measure were based on a sample of cases","94","70","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","450","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","277","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","165","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","499","","100","497","","100","382","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","100","35","","100","35","","94","35","","86","42","","86","42","","Not Available","0","","100","52","","97","29","","100","12","","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","Too few cases","Too few cases","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure., The number of cases is too small to reliably tell how well a hospital is performing","100","51",""
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
"010010","MARSHALL MEDICAL CENTER NORTH","8000 ALABAMA HIGHWAY 69","","","GUNTERSVILLE","AL","35976","MARSHALL","2565718000","96","71","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","97","60","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","95","66","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","96","69","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","97","69","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","Not Available","0","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","138","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","100","66","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","85","20","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","88","51","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","96","48","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure","99","144","Data were collected during a shorter period (fewer quarters) than the maximum possible time for this measure"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","100","414","The hospital indicated that the data submitted for this measure were based on a sample of cases","97","395","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","419","The hospital indicated that the data submitted for this measure were based on a sample of cases","91","284","The hospital indicated that the data submitted for this measure were based on a sample of cases","93","284","The hospital indicated that the data submitted for this measure were based on a sample of cases","85","132","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","563","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","332","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","225","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","391","","94","392","","100","440","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","99","184","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","175","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","185","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","105","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","105","The hospital indicated that the data submitted for this measure were based on a sample of cases","Not Available","0","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","193","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","62","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","44","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","106","","98","106","","100","213","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","100","350","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","327","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","352","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","317","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","317","The hospital indicated that the data submitted for this measure were based on a sample of cases","95","117","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","577","The hospital indicated that the data submitted for this measure were based on a sample of cases","98","275","The hospital indicated that the data submitted for this measure were based on a sample of cases","100","224","The hospital indicated that the data submitted for this measure were based on a sample of cases","99","268","","94","268","","100","443","The hospital indicated that the data submitted for this measure were based on a sample of cases"
"010018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure","Not Available","Not Available","No data are available from the hospital for this measure"
