"State","Percent of Heart Attack Patients Given Aspirin at Arrival","Percent of Heart Attack Patients Given Aspirin at Discharge","Percent of Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Percent of Heart Attack Patients Given Beta Blocker at Discharge","Percent of Heart Attack Patients Given Smoking Cessation Advice/Counseling","Percent of Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival","Percent of Heart Attack Patients Given PCI Within 90 Minutes Of Arrival","Percent of Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function","Percent of Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)","Percent of Heart Failure Patients Given Discharge Instructions","Percent of Heart Failure Patients Given Smoking Cessation Advice/Counseling","Percent of Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival","Percent of Pneumonia Patients Whose Initial ER Blood Culture Was Performed Prior To Administration Of First Dose Of Antibiotics","Percent of Pneumonia Patients Given Smoking Cessation Advice/Counseling","Percent of Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)","Percent of Pneumonia Patients Assessed and Given Influenza Vaccination","Percent of Pneumonia Patients Assessed and Given Pneumococcal Vaccination","Surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","Surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)","Surgery patients who were given the right kind of antibiotic to help prevent infection","Patients who got treatment at the right time (within 24 hours before or after their surgery) to help prevent blood clots","Surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries","Heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery","Surgery patients needing hair removed from the surgical area before surgery, who had hair removed using a safer method","The percent of surgery patients whose urinary catheters were removed on the first or second day after surgery","Surgery patients who were taking heart drugs called beta blockers before coming to the hospital, who were kept on them","Percent of Children Who Received Reliever Medication While Hospitalized for Asthma","Percent of Children Who Received Systemic Corticosteroid Medication While Hospitalized for Asthma","Percent of Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma","Outpatients having surgery who got an antibiotic at the right time - within one hour before surgery (higher numbers are better)","Outpatients having surgery who got the right kind of antibiotic (higher numbers are better)","Average number of minutes before outpatients with chest pain or possible heart attack got an ECG","Average number of minutes before outpatients with chest pain or possible heart attack  were transferred to another hospital","Median Time to Fibrinolysis","Outpatients with chest pain or possible heart attack who got aspirin within 24 hours of arrival","Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival","Heart Attack Patients Given a Prescription for a Statin at Discharge","Patients having surgery who were actively warmed in the operating room or whose body temperature was near normal"
"AK","100","98","96","99","99","67","90","96","97","91","96","96","95","95","95","89","96","97","99","98","95","95","94","100","96","95","Not Available","Not Available","Not Available","95","97","8","122","28","97","58","98","100"
"AL","99","99","98","99","100","61","95","98","97","92","99","97","98","99","95","96","96","99","98","99","97","98","96","100","96","97","Not Available","Not Available","Not Available","97","97","7","60","25","97","74","97","100"
"AR","99","99","98","98","100","50","91","97","96","93","99","96","97","98","93","93","95","98","96","98","97","98","96","100","91","96","Not Available","Not Available","Not Available","97","96","8","50","28","96","63","95","100"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","99","99","98","99","100","79","93","99","97","90","100","96","97","98","96","93","95","98","97","98","96","97","95","100","94","96","Not Available","Not Available","Not Available","96","96","7","54","34","97","29","98","100"
"CA","99","99","97","99","100","72","94","99","96","93","99","96","97","98","96","94","96","98","96","98","96","97","95","100","94","96","100","99","86","95","95","8","64","27","97","65","97","100"
"CO","100","99","98","99","100","20","93","98","97","93","99","97","97","97","94","92","94","98","97","99","97","98","94","100","93","95","Not Available","Not Available","Not Available","96","97","8","52","26","98","59","99","100"
"CT","99","99","96","99","100","50","94","100","94","88","100","95","96","99","95","92","96","98","97","98","97","98","95","100","92","95","Not Available","Not Available","Not Available","95","95","9","73","38","97","27","97","99"
"DC","99","98","95","99","100","Not Available","79","97","91","84","99","87","90","99","97","81","77","96","95","98","96","97","92","100","94","92","Not Available","Not Available","Not Available","92","94","12","77","Not Available","96","Not Available","97","99"
"DE","99","100","97","99","100","Not Available","94","100","97","94","100","95","96","99","95","97","96","99","98","99","96","98","98","100","95","97","Not Available","Not Available","Not Available","95","97","7","67","30","97","100","98","100"
"FL","99","99","98","99","100","29","96","99","97","94","100","97","97","99","97","97","98","99","97","98","97","98","96","100","95","97","Not Available","Not Available","Not Available","98","96","8","58","30","98","52","98","100"
"GA","99","99","98","99","100","60","93","99","96","89","99","96","97","99","95","94","96","98","97","98","96","97","96","100","93","96","Not Available","Not Available","Not Available","96","97","8","58","27","96","60","98","99"
"GU","97","84","83","98","88","25","Not Available","91","85","98","100","88","68","88","82","56","32","29","100","100","67","40","Not Available","77","50","33","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","98","24"
