"State","Worse - Death from serious treatable complications after surgery","Same - Death from serious treatable complications after surgery","Better - Death from serious treatable complications after surgery","Too few - Death from serious treatable complications after surgery","Worse - Collapsed lung due to medical treatment","Same - Collapsed lung due to medical treatment","Better - Collapsed lung due to medical treatment","Too few - Collapsed lung due to medical treatment","Worse - Serious blood clots after surgery","Same - Serious blood clots after surgery","Better - Serious blood clots after surgery","Too few - Serious blood clots after surgery","Worse - A wound that splits open after surgery","Same - A wound that splits open after surgery","Better - A wound that splits open after surgery","Too few - A wound that splits open after surgery","Worse - Accidental cuts and tears from medical treatment","Same - Accidental cuts and tears from medical treatment","Better - Accidental cuts and tears from medical treatment","Too few - Accidental cuts and tears from medical treatment","Worse - Serious Complications","Same - Serious Complications","Better - Serious Complications","Too few - Serious Complications"
"AK","1","4","0","3","0","9","0","0","0","8","0","1","0","8","0","0","2","7","0","0","0","9","0","0"
"AL","6","33","0","29","2","95","0","0","3","72","1","5","0","58","0","18","8","89","0","0","5","92","0","0"
"AR","1","20","0","17","1","45","0","0","0","41","3","2","0","35","0","9","0","45","1","0","0","44","2","0"
"AS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"AZ","0","39","3","15","1","65","0","1","1","58","3","1","1","49","0","9","4","61","1","1","2","64","1","0"
"CA","3","164","1","116","7","302","1","0","8","274","16","5","2","245","0","49","22","280","7","1","15","287","8","0"
"CO","0","27","1","14","0","45","0","1","4","38","2","0","2","37","0","4","5","40","0","1","6","40","0","0"
"CT","0","22","0","7","0","31","0","1","5","23","1","0","0","29","0","0","4","27","0","1","6","26","0","0"
"DC","0","6","0","1","0","7","0","0","1","6","0","0","1","6","0","0","1","6","0","0","2","5","0","0"
"DE","1","4","0","1","0","6","0","0","1","5","0","0","0","6","0","0","0","5","1","0","0","6","0","0"
"FL","5","124","6","26","4","166","0","1","18","138","7","2","2","157","0","3","8","151","11","1","9","155","7","0"
"GA","5","50","2","41","2","106","0","0","6","92","2","4","2","83","0","15","6","100","2","0","4","101","3","0"
"GU","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"HI","0","5","0","9","0","14","0","0","0","14","0","0","1","11","0","2","1","13","0","0","0","14","0","0"
"IA","0","22","1","10","0","34","0","0","1","29","4","0","0","30","0","4","3","31","0","0","0","31","3","0"
"ID","0","8","0","4","0","13","0","1","1","10","2","1","1","10","0","1","0","13","0","1","1","13","0","0"
"IL","1","87","7","29","2","125","1","1","20","100","5","2","0","122","0","3","7","111","10","1","9","115","5","0"
"IN","0","54","1","29","0","89","0","1","1","79","8","1","0","72","0","11","4","83","2","1","0","83","7","0"
"KS","0","25","0","23","3","52","0","1","2","46","4","3","0","39","0","11","4","52","0","0","3","53","0","0"
"KY","3","31","0","25","2","62","1","0","2","57","4","2","2","51","0","10","3","61","1","0","1","61","3","0"
"LA","0","38","0","28","1","92","1","4","3","80","2","7","1","62","0","17","4","88","0","6","4","92","2","0"
"MA","1","42","0","15","3","58","0","0","2","52","4","2","0","57","0","1","4","54","3","0","3","55","3","0"
"MD","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ME","0","9","0","11","1","19","0","0","0","19","1","0","1","18","0","1","1","19","0","0","1","19","0","0"
"MI","0","56","4","28","2","92","1","0","13","74","5","0","4","80","0","6","7","85","3","0","8","81","6","0"
"MN","0","23","1","24","0","52","0","0","0","47","4","0","1","40","0","9","4","46","2","0","3","48","1","0"
"MO","1","44","2","23","4","72","0","2","5","62","3","5","1","61","0","10","5","71","0","2","4","72","2","0"
"MP","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"MS","3","20","0","16","0","64","0","3","3","39","1","9","0","37","0","7","2","61","1","3","3","62","2","0"
