"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County Name","Phone Number","Death from serious treatable complications after surgery","Footnote - Death from serious treatable complications after surgery","Collapsed lung due to medical treatment","Footnote - Collapsed lung due to medical treatment","Serious blood clots after surgery","Footnote - Serious blood clots after surgery","A wound that splits open after surgery","Footnote - A wound that splits open after surgery","Accidental cuts and tears from medical treatment","Footnote - Accidental cuts and tears from medical treatment","Serious Complications","Footnote - Serious Complications","Number of Patients - Death from serious treatable complications after surgery","Rate - Death from serious treatable complications after surgery","Lower Estimate - Death from serious treatable complications after surgery","Higher Estimate - Death from serious treatable complications after surgery","Number of Patients - Collapsed lung due to medical treatment","Rate - Collapsed lung due to medical treatment","Lower Estimate - Collapsed lung due to medical treatment","Higher Estimate - Collapsed lung due to medical treatment","Number of Patients - Serious blood clots after surgery","Rate - Serious blood clots after surgery","Lower Estimate - Serious blood clots after surgery","Higher Estimate - Serious blood clots after surgery","Number of Patients - A wound that splits open after surgery","Rate - A wound that splits open after surgery","Lower Estimate - A wound that splits open after surgery","Higher Estimate - A wound that splits open after surgery","Number of Patients - Accidental cuts and tears from medical treatment","Rate - Accidental cuts and tears from medical treatment","Lower Estimate - Accidental cuts and tears from medical treatment","Higher Estimate - Accidental cuts and tears from medical treatment","Number of Patients - Serious Complications","Rate - Serious Complications","Lower Estimate - Serious Complications","Higher Estimate - Serious Complications"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","182","133.33","100.52","166.14","14776","0.18","0.00","0.41","4863","2.51","0.81","4.21","376","0.39","0.00","1.90","15415","3.07","2.28","3.86","Not Available","0.68","0.52","0.84"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","30","127.84","77.98","177.69","4106","0.21","0.00","0.57","737","2.85","0.00","6.55","106","0.65","0.00","2.59","4224","1.58","0.08","3.09","Not Available","0.48","0.16","0.79"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Worse than U.S. National Rate","","No Different than U.S. National Rate","","108","143.26","102.69","183.84","10055","0.48","0.20","0.76","2662","4.35","1.94","6.75","223","1.24","0.00","2.97","10672","2.94","1.91","3.96","Not Available","0.80","0.59","1.02"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","6","Not Available","Not Available","Not Available","1828","0.28","0.00","0.70","133","3.43","0.00","8.15","30","0.84","0.00","3.05","1878","2.06","0.05","4.07","Not Available","0.64","0.23","1.05"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","733","0.30","0.00","0.73","30","3.97","0.00","9.04","3","Not Available","Not Available","Not Available","752","1.68","0.00","3.98","Not Available","0.57","0.10","1.04"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","Worse than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","120","157.58","117.64","197.52","7838","0.36","0.06","0.65","2714","3.25","0.91","5.58","242","1.09","0.00","2.71","8235","1.57","0.56","2.57","Not Available","0.53","0.32","0.74"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","Number of Cases Too Small","The number of cases/patients is too few to report.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","16","Not Available","Not Available","Not Available","2946","0.23","0.00","0.60","602","2.47","0.00","6.48","64","1.82","0.00","3.92","3079","2.71","1.12","4.29","Not Available","0.65","0.31","0.99"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","95","142.68","102.35","183.01","6631","0.20","0.00","0.50","2197","3.55","0.98","6.13","318","1.02","0.00","2.59","6951","1.93","0.91","2.95","Not Available","0.60","0.38","0.82"
"010018","CALLAHAN EYE HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","No cases met the criteria for this measure.","No Different than U.S. National Rate","","No Different than U.S. National Rate","","Not Available","Not Available","Not Available","Not Available","64","0.31","0.00","0.75","49","3.98","0.00","9.06","Not Available","Not Available","Not Available","Not Available","64","1.80","0.00","4.18","Not Available","0.59","0.11","1.08"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","No Different than U.S. National Rate","","75","113.97","70.40","157.54","5777","0.26","0.00","0.60","1491","4.26","1.29","7.23","210","0.51","0.00","2.24","5857","2.33","1.06","3.59","Not Available","0.65","0.39","0.91"
