"Provider ID","Measure","Rate (per 1,000 Discharges)","Footnote"
"AK","ED1","277",""
"AL","ED1","237",""
"AR","ED1","218",""
"AS","ED1","Not Available",""
"AZ","ED1","283",""
"CA","ED1","321",""
"CO","ED1","247",""
"CT","ED1","340",""
"DC","ED1","458",""
"DE","ED1","391",""
"FL","ED1","298",""
"GA","ED1","281",""
"GU","ED1","Not Available",""
"HI","ED1","315",""
"IA","ED1","202",""
"ID","ED1","236",""
"IL","ED1","261",""
"IN","ED1","241",""
"KS","ED1","185",""
"KY","ED1","236",""
"LA","ED1","262",""
"MA","ED1","310",""
"MD","ED1","351",""
"ME","ED1","286",""
"MI","ED1","290",""
"MN","ED1","199",""
"MO","ED1","236",""
"MP","ED1","Not Available",""
"MS","ED1","221",""
"MT","ED1","219",""
"NC","ED1","307",""
"ND","ED1","197",""
"NE","ED1","208",""
"NH","ED1","294",""
"NJ","ED1","351",""
"NM","ED1","297",""
"NV","ED1","343",""
"NY","ED1","366",""
"OH","ED1","267",""
"OK","ED1","211",""
"OR","ED1","231",""
"PA","ED1","272",""
"PR","ED1","698",""
"RI","ED1","329",""
"SC","ED1","273",""
"SD","ED1","178",""
"TN","ED1","242",""
"TX","ED1","268",""
"UT","ED1","217",""
"VA","ED1","283",""
"VI","ED1","1026",""
"VT","ED1","287",""
"WA","ED1","258",""
"WI","ED1","207",""
"WV","ED1","265",""
"WY","ED1","217",""
"AK","ED2","108",""
"AL","ED2","71",""
"AR","ED2","70",""
"AS","ED2","Not Available",""
"AZ","ED2","95",""
"CA","ED2","120",""
"CO","ED2","95",""
"CT","ED2","141",""
"DC","ED2","206",""
"DE","ED2","186",""
"FL","ED2","114",""
"GA","ED2","96",""
"GU","ED2","Not Available",""
"HI","ED2","124",""
"IA","ED2","55",""
"ID","ED2","79",""
"IL","ED2","90",""
"IN","ED2","80",""
"KS","ED2","57",""
"KY","ED2","76",""
"LA","ED2","86",""
"MA","ED2","116",""
"MD","ED2","142",""
"ME","ED2","109",""
"MI","ED2","103",""
"MN","ED2","60",""
"MO","ED2","78",""
"MP","ED2","Not Available",""
"MS","ED2","60",""
"MT","ED2","69",""
"NC","ED2","110",""
"ND","ED2","60",""
"NE","ED2","77",""
"NH","ED2","110",""
"NJ","ED2","143",""
"NM","ED2","107",""
"NV","ED2","157",""
"NY","ED2","147",""
"OH","ED2","88",""
"OK","ED2","62",""
"OR","ED2","80",""
"PA","ED2","97",""
"PR","ED2","195",""
"RI","ED2","115",""
"SC","ED2","92",""
"SD","ED2","39",""
"TN","ED2","78",""
"TX","ED2","96",""
"UT","ED2","65",""
"VA","ED2","97",""
"VI","ED2","640",""
"VT","ED2","122",""
"WA","ED2","95",""
"WI","ED2","65",""
"WV","ED2","80",""
"WY","ED2","65",""
"AK","OP 18","129",""
"AL","OP 18","140",""
"AR","OP 18","126",""
"AS","OP 18","Not Available",""
"AZ","OP 18","161",""
"CA","OP 18","172",""
"CO","OP 18","138",""
"CT","OP 18","131",""
"DC","OP 18","187",""
"DE","OP 18","158",""
"FL","OP 18","153",""
"GA","OP 18","145","There were discrepancies in the data collection process"
"GU","OP 18","Not Available",""
"HI","OP 18","135",""
"IA","OP 18","108",""
"ID","OP 18","129",""
"IL","OP 18","139",""
"IN","OP 18","130",""
"KS","OP 18","106",""
"KY","OP 18","128",""
"LA","OP 18","129",""
"MA","OP 18","153",""
"MD","OP 18","Not Available",""
"ME","OP 18","120",""
"MI","OP 18","127",""
"MN","OP 18","125",""
"MO","OP 18","138",""
"MP","OP 18","Not Available",""
"MS","OP 18","119",""
"MT","OP 18","127",""
"NC","OP 18","156",""
"ND","OP 18","114",""
"NE","OP 18","111",""
"NH","OP 18","148",""
"NJ","OP 18","147",""
"NM","OP 18","153",""
"NV","OP 18","157",""
"NY","OP 18","155",""
